TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
28 junio 2023 21:35 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
30,30,100.0000,30,100.0000,0,10647,7380,69.3153

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,CABAL,VAMOS,BIEN,UNE,VALOR UNIONISTA,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
8905,"Santa Rosa",6,"Santa Cruz Naranjo",12,1076,400,147,87,8,3,36,281,11,3,295,0,295,--,400,105,281,295,295,Algún campo sin dato,1,17d8b4aa0191296e74079ba2cefd82e747d8a8dfb98bb0b0f8fdb8959485bc26,26/06/2023 01:54:46,ESCANER
8906,"Santa Rosa",6,"Santa Cruz Naranjo",12,1076,400,111,112,10,3,39,275,14,2,291,0,291,1,400,109,275,291,291,,1,e31ec8a0a208a02628b7396d192b7cfdcf46ec52fc081cb8b268c43e1a144d9f,26/06/2023 00:56:35,ESCANER
8907,"Santa Rosa",6,"Santa Cruz Naranjo",12,1076,400,127,104,8,1,40,280,13,5,298,0,298,--,398,503,280,298,298,Algún campo sin dato,1,80072ca518ba5b8d56ccc32e4dd2437b012a1979ab357821fc49ba6433952855,26/06/2023 01:42:14,ESCANER
8908,"Santa Rosa",6,"Santa Cruz Naranjo",12,1076,400,113,91,9,4,33,250,4,1,255,0,255,--,400,145,250,255,255,Algún campo sin dato,1,9425a08d1189011f17238316aa0ad4b7161d824380a7856c34c2aa10dd78fd60,26/06/2023 02:17:52,ESCANER
8909,"Santa Rosa",6,"Santa Cruz Naranjo",12,1076,400,114,107,11,1,27,260,6,2,268,0,268,--,400,132,260,268,268,Algún campo sin dato,1,df1099dcd68d57520ed03f08e9b1cc0e165f15492c01a6e15e6d5ef444600d51,26/06/2023 00:37:48,ESCANER
8910,"Santa Rosa",6,"Santa Cruz Naranjo",12,1076,265,100,55,4,1,30,190,0,0,190,0,190,--,265,75,190,190,190,Algún campo sin dato,1,b54f146074823b9423050c7e4c1aa403128aac7c8e8e6c96023e920d66d134dd,25/06/2023 23:21:09,ESCANER
8911,"Santa Rosa",6,"Santa Cruz Naranjo",12,1076,264,83,62,5,0,17,167,1,0,168,0,168,1,264,96,167,168,168,,1,4ccff901fffa406eb74b46325d943fa3b87fb8f692fe95648d9c84f647d32dbc,26/06/2023 00:00:27,ESCANER
8912,"Santa Rosa",6,"Santa Cruz Naranjo",12,1077,400,139,114,10,3,38,304,13,1,318,0,318,--,400,82,304,318,318,Algún campo sin dato,1,bb98a9c01d9875ef4ddd16a3efcf91c27620ccccc260f90fffda360422c041e7,26/06/2023 03:08:22,ESCANER
8913,"Santa Rosa",6,"Santa Cruz Naranjo",12,1077,400,116,130,7,7,31,291,16,6,313,0,313,--,400,87,291,313,313,Algún campo sin dato,1,50c8252e113364259b381fde8ff5c5cef929c69961c375fc835f8d117cf31940,25/06/2023 23:48:40,ESCANER
8914,"Santa Rosa",6,"Santa Cruz Naranjo",12,1077,357,108,84,9,1,31,233,6,2,241,0,241,--,--,--,233,241,241,Algún campo sin dato,1,987d8a6662a2a1ced703662a3999c4941c1957a9fcc19c931122c121c36f1a92,25/06/2023 23:15:15,ESCANER
8915,"Santa Rosa",6,"Santa Cruz Naranjo",12,1077,357,120,83,6,2,31,242,3,2,247,0,247,--,357,110,242,247,247,Algún campo sin dato,1,08f67d39a168512e8e5b85b7b7439ad895b9a6f08bbdc237b0b106d5be771e0d,26/06/2023 01:31:49,ESCANER
8916,"Santa Rosa",6,"Santa Cruz Naranjo",12,1078,380,152,79,5,2,16,254,19,7,280,0,280,--,380,100,254,280,280,Algún campo sin dato,1,8233255cdbe71b4893f441f74017c631d02323356263c644ca97e72c6152be95,25/06/2023 22:16:56,ESCANER
