TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
46,46,100.0000,46,100.0000,0,16633,10682,64.2217

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,CABAL,MLP,UNE,AZUL,PHG,VIVA,FCN-NACION,VAMOS,PODEMOS,VICTORIA,VALOR UNIONISTA,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
8935,"Santa Rosa",6,"Pueblo Nuevo Viñas",13,1081,400,67,1,40,13,0,1,15,93,0,1,32,263,14,3,280,0,280,--,404,124,263,280,280,Algún campo sin dato,1,bac8d4b8768eff7e9a08fd4a54f2c40e646768108e325b210dfd2d6355568dfc,25/06/2023 23:29:08,ESCANER
8936,"Santa Rosa",6,"Pueblo Nuevo Viñas",13,1081,400,43,4,40,14,0,3,17,87,0,2,30,240,25,10,275,0,275,--,403,128,240,275,275,Algún campo sin dato,1,e72945b9460eeeafd8e5ee85f1897cc7568d5473c5ad94c97f04061e3374945a,26/06/2023 00:10:55,ESCANER
8937,"Santa Rosa",6,"Pueblo Nuevo Viñas",13,1081,400,61,2,36,11,0,1,5,115,0,5,39,275,18,3,296,0,296,--,404,108,275,296,296,Algún campo sin dato,1,2c92a489569056fab2b17632454e01283f296a65cd9419a3445966649ba60f72,26/06/2023 00:14:09,ESCANER
8938,"Santa Rosa",6,"Pueblo Nuevo Viñas",13,1081,400,51,--,43,10,1,--,7,104,1,2,29,248,21,4,273,--,--,--,404,131,248,273,273,Algún campo sin dato,1,c636afe43cc739c07df8857c57f28782369a32bc08c2df44bcfefecd6c0e386c,26/06/2023 00:16:55,ESCANER
8939,"Santa Rosa",6,"Pueblo Nuevo Viñas",13,1081,400,54,2,45,12,2,1,7,97,0,1,15,252,13,3,252,0,252,--,408,156,236,252,252,Sumas Asentadas sin cuadrar,1,43fc64a3768c6c4a1700f701d4345ae758c9f22bc4c6542e0beaa70b6cf15a99,25/06/2023 23:08:40,ESCANER
8940,"Santa Rosa",6,"Pueblo Nuevo Viñas",13,1081,400,64,2,40,10,0,2,6,83,1,1,34,243,10,0,253,0,253,--,404,151,243,253,253,Algún campo sin dato,1,a40d7d848454ca68ecf62b4618bbf2afb8374b82a12a81873d9bbf80b8857f31,26/06/2023 00:55:12,ESCANER
8941,"Santa Rosa",6,"Pueblo Nuevo Viñas",13,1082,400,43,1,37,7,0,1,12,81,0,0,30,212,18,4,234,0,234,--,404,170,212,234,234,Algún campo sin dato,1,7c0158d1b14f2bd65c4e67305f10dca1d56de857f595894ac922ad6567ec58bb,25/06/2023 22:58:28,ESCANER
8942,"Santa Rosa",6,"Pueblo Nuevo Viñas",13,1082,400,57,2,51,7,0,0,5,90,0,0,21,233,12,1,246,1,247,--,408,161,233,246,247,Algún campo sin dato,1,f22ff8a499cfccb805706b5fe0e6856e4716a26e46ff3866486ae6c85eda0bd3,25/06/2023 23:56:53,ESCANER
8943,"Santa Rosa",6,"Pueblo Nuevo Viñas",13,1082,324,63,1,40,11,0,0,6,65,0,1,23,210,8,2,220,0,220,--,328,108,210,220,220,Algún campo sin dato,1,2537e76f5d0a1177b3d6aa7571d7cf45a98b03c5c22d1071f5309877228c6343,25/06/2023 22:31:13,ESCANER
8944,"Santa Rosa",6,"Pueblo Nuevo Viñas",13,1082,324,40,0,32,12,0,0,2,69,0,0,29,184,7,0,191,0,191,--,328,137,184,191,191,Algún campo sin dato,1,9f2e7dc74647b7a16272780b472a43065ab4ac1e6a53189d9246244a7c0cf9dd,25/06/2023 21:37:57,ESCANER
8945,"Santa Rosa",6,"Pueblo Nuevo Viñas",13,1083,228,31,1,34,3,1,1,4,62,0,1,21,159,14,2,175,0,175,--,231,56,159,175,175,Algún campo sin dato,1,55b6bad49348b487c4ec1f747b9766ce6a6810de8c073a647cb638476f7a02fc,25/06/2023 22:05:28,ESCANER
8946,"Santa Rosa",6,"Pueblo Nuevo Viñas",13,1083,227,40,0,21,3,1,0,3,50,0,0,17,135,12,3,150,0,150,--,131,81,135,150,150,Algún campo sin dato,1,74a0429c2624fb62e4ccbb21157b99171fe8680301aee9be5e898abad562159b,25/06/2023 22:06:55,ESCANER
8947,"Santa Rosa",6,"Pueblo Nuevo Viñas",13,1084,400,34,2,27,6,0,0,13,102,1,2,69,256,30,5,291,0,291,--,400,109,256,291,291,Algún campo sin dato,1,1635552fdc8295db5df1c8f4dd31e7799ee6f42e3687604b4bde5d70e80fdbe5,25/06/2023 23:57:02,ESCANER
8948,"Santa Rosa",6,"Pueblo Nuevo Viñas",13,1084,400,50,2,27,8,1,4,7,95,1,1,67,263,18,6,287,118,405,--,405,118,263,287,405,Algún campo sin dato,1,9cc7044d9e08a3153f06a21db3da4eea503a6a3ce2d8ff4d27deb0bdd6c0b4c5,26/06/2023 00:44:31,ESCANER
8949,"Santa Rosa",6,"Pueblo Nuevo Viñas",13,1084,400,55,2,22,15,1,2,8,104,0,2,74,285,13,5,303,0,303,--,400,97,285,303,303,Algún campo sin dato,1,446c4de155c2063f1f41e36916fc99736b8d599258bed81c2b3006ac37da2e10,26/06/2023 01:30:58,ESCANER
8950,"Santa Rosa",6,"Pueblo Nuevo Viñas",13,1084,400,45,3,32,14,0,0,2,102,0,5,60,263,11,7,281,0,281,--,408,127,263,281,281,Algún campo sin dato,1,3ad95213badcefc757fc691c02db9473b2688ac8e02d2a27fb99c892af5d4121,26/06/2023 00:43:30,ESCANER
8951,"Santa Rosa",6,"Pueblo Nuevo Viñas",13,1084,209,33,2,12,7,0,0,4,45,0,0,40,143,7,0,150,0,150,--,213,63,143,150,150,Algún campo sin dato,1,15f0d6d0daa3148c36d0ee558d160c08b370b9b46235912523bc69f736f6b188,25/06/2023 21:07:30,ESCANER
8952,"Santa Rosa",6,"Pueblo Nuevo Viñas",13,1084,208,20,1,7,6,0,0,3,67,1,2,33,140,2,1,143,0,143,--,212,69,140,143,143,Algún campo sin dato,1,db74189958997756ce41e6cea97dfbda0b8cce82c69422b08a9ebc3f4e1be762,25/06/2023 21:50:19,ESCANER
8953,"Santa Rosa",6,"Pueblo Nuevo Viñas",13,1085,400,73,2,21,6,0,1,17,86,0,1,37,244,30,4,278,0,278,--,--,--,244,278,278,Algún campo sin dato,1,b2c87608af86517b9812bf0dea77b52a179fa1b0fc3c73cf71a1dd339762b916,25/06/2023 23:58:39,ESCANER
8954,"Santa Rosa",6,"Pueblo Nuevo Viñas",13,1085,400,69,3,38,9,0,1,13,79,0,1,45,258,22,4,284,0,284,--,408,124,258,284,284,Algún campo sin dato,1,223e9f2a712d1e075bea081a6bc16e8da8f13372a023f131ffc976c12187d220,25/06/2023 23:23:27,ESCANER
8955,"Santa Rosa",6,"Pueblo Nuevo Viñas",13,1085,386,64,0,22,6,0,1,5,76,1,1,38,214,20,1,235,0,235,--,386,151,214,235,235,Algún campo sin dato,1,b3489bc76217306e7e67fa826e8c6a616c870d0ce92c1182fddb577930cae753,25/06/2023 23:56:27,ESCANER
8956,"Santa Rosa",6,"Pueblo Nuevo Viñas",13,1085,386,86,0,17,8,1,0,17,64,2,0,36,231,6,2,239,0,239,--,386,147,231,239,239,Algún campo sin dato,1,18d7b3ef44a70e25592e4371158306b47c404577d402c4e1d2bb3b1e7d4a5200,25/06/2023 23:20:11,ESCANER
8957,"Santa Rosa",6,"Pueblo Nuevo Viñas",13,1086,400,77,0,32,12,1,4,12,64,0,5,54,261,26,6,293,0,293,--,404,111,261,293,293,Algún campo sin dato,1,7ce6baa5042f6422b1ab7dfcc98dd0c3fda83d75f84d73fa9180234d25d25916,25/06/2023 23:58:57,ESCANER
8958,"Santa Rosa",6,"Pueblo Nuevo Viñas",13,1086,400,91,1,37,18,2,2,10,63,0,8,58,290,32,5,327,0,327,--,400,73,290,327,327,Algún campo sin dato,1,e8f7212b3d8df802472356efc777a9bbdbac117012143459eafc14c684ba39af,25/06/2023 23:38:24,ESCANER
8959,"Santa Rosa",6,"Pueblo Nuevo Viñas",13,1086,400,86,1,38,16,1,3,7,46,0,8,65,271,30,7,308,0,308,0,404,96,271,308,308,,1,b61aa5704d42ae5c7a813c2e9b3b2b697af38fc7518f75c43a09170d2f795183,26/06/2023 02:22:13,ESCANER
8960,"Santa Rosa",6,"Pueblo Nuevo Viñas",13,1086,400,76,4,26,14,1,1,7,53,0,3,53,238,16,4,258,0,258,--,404,146,238,258,258,Algún campo sin dato,1,568dad925cec2a3d3a9adfc83e83a892173ba1517f986191901c93b0a5683718,25/06/2023 22:31:07,ESCANER
