TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
62,62,100.0000,62,100.0000,0,23084,11898,51.5421

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,CABAL,UNE,VAMOS,TODOS,BIEN,PPN,MI FAMILIA,AZUL,VALOR UNIONISTA,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
8981,"Santa Rosa",6,"Nueva Santa Rosa",14,1093,400,149,27,31,5,2,2,3,12,8,239,13,4,256,0,256,--,404,148,239,256,256,Algún campo sin dato,1,5d99fd56c8a37f1ec416b140810e0a2447bb414667b3cb7b6637b5d2719e44e3,26/06/2023 00:25:33,ESCANER
8982,"Santa Rosa",6,"Nueva Santa Rosa",14,1093,400,134,27,30,3,2,1,1,16,8,222,23,2,247,0,247,--,404,157,222,247,247,Algún campo sin dato,1,48814324e5e02eaa7f470eb972fa1a5f69bee75429f0662180780890acfe091f,26/06/2023 00:04:26,ESCANER
8983,"Santa Rosa",6,"Nueva Santa Rosa",14,1093,400,133,28,36,1,1,4,3,11,8,225,23,2,250,0,250,--,397,147,225,250,250,Algún campo sin dato,1,f7a94af6c6a231762e2d6b435dc3f1b8de85078c5beb9e3dfa5a20cb4652a41b,26/06/2023 01:35:46,ESCANER
8984,"Santa Rosa",6,"Nueva Santa Rosa",14,1093,400,136,31,26,4,0,5,0,8,11,221,23,0,244,0,244,--,394,150,221,244,244,Algún campo sin dato,1,4c6a0ae7625b42f1e2d2ca90b4b0d59a912eb6e541bdbe5018cf903133d219c9,26/06/2023 00:39:00,ESCANER
8985,"Santa Rosa",6,"Nueva Santa Rosa",14,1093,400,150,23,18,1,3,4,0,6,9,214,11,0,225,0,225,--,400,175,214,225,225,Algún campo sin dato,1,07674fe1a4b48b71939d20684deb3e850a526f23c50923b3e8f8dea4b6d8f8fd,25/06/2023 23:34:10,ESCANER
8986,"Santa Rosa",6,"Nueva Santa Rosa",14,1093,400,111,24,27,2,3,6,0,20,14,207,18,3,228,0,228,--,400,172,207,228,228,Algún campo sin dato,1,3119cf82043d1bbf0c1d7447629df226ebe132f6e46295192fcfd6f26d1bb4cf,26/06/2023 01:23:48,ESCANER
8987,"Santa Rosa",6,"Nueva Santa Rosa",14,1093,400,129,18,27,2,4,5,1,12,6,204,18,0,222,--,222,--,400,178,204,222,222,Algún campo sin dato,1,97cadf8072baa9e7c72adcdc722c83a803b7db14ba9d57a28e3fb72a821efd56,25/06/2023 23:40:54,ESCANER
8988,"Santa Rosa",6,"Nueva Santa Rosa",14,1093,400,146,26,18,2,0,1,0,16,7,216,8,0,224,0,224,--,400,176,216,224,224,Algún campo sin dato,1,89eccd28b8fcb91bb88bb3bfaa4ab668c30f67ad5b6ff3c2144612b514d1c8a7,26/06/2023 01:16:37,ESCANER
8989,"Santa Rosa",6,"Nueva Santa Rosa",14,1093,226,78,11,16,0,0,2,0,11,7,125,10,91,226,0,226,--,226,91,125,226,226,Algún campo sin dato,1,b13e386f01ca612a467b5c68c2e58c008b32e0a99aa1ed688a00b7b25164d9f3,25/06/2023 22:45:10,ESCANER
8990,"Santa Rosa",6,"Nueva Santa Rosa",14,1093,226,54,9,6,1,1,0,0,0,4,75,0,0,75,0,75,--,226,151,75,75,75,Algún campo sin dato,1,87475173d8bf8711a1f936f22b5b763af6cd48850dfdfffa5b1784e7f6ca0be5,25/06/2023 22:13:47,ESCANER
8991,"Santa Rosa",6,"Nueva Santa Rosa",14,1094,400,110,24,19,6,3,3,1,1,3,170,20,6,196,0,196,--,400,204,170,196,196,Algún campo sin dato,1,1415f97220c065aeb1812d77e9077090e74a8d45656c51a61952a112b4036602,25/06/2023 21:57:48,ESCANER
8992,"Santa Rosa",6,"Nueva Santa Rosa",14,1094,400,138,21,19,9,2,0,0,2,2,193,18,5,216,0,216,--,--,--,193,216,216,Algún campo sin dato,1,efb3e96d7f8a30ed43390a3770e1427938237c41e32ffcf8291e957d37f13942,25/06/2023 23:22:30,ESCANER
8993,"Santa Rosa",6,"Nueva Santa Rosa",14,1094,400,132,38,22,10,1,2,0,2,5,212,23,4,239,0,239,--,400,161,212,239,239,Algún campo sin dato,1,e014bae641e9a3480a3f90516cc9d0c3ef7150f092ae53b1dc9f20d8b2df7bf6,25/06/2023 22:31:18,ESCANER
8994,"Santa Rosa",6,"Nueva Santa Rosa",14,1094,400,115,23,24,9,1,3,0,3,2,180,20,5,205,0,205,--,397,192,180,205,205,Algún campo sin dato,1,f93831fd65f0e0bac25485a525dca173a91f43b4b85a4c99d7685c7da02d63be,25/06/2023 23:26:07,ESCANER
8995,"Santa Rosa",6,"Nueva Santa Rosa",14,1094,400,98,26,26,3,1,1,1,6,7,169,10,6,185,0,185,--,400,215,169,185,185,Algún campo sin dato,1,6d7e75361e26761a8fb8ee658aab250b5349c15cec4c35b739ab40408c28e77e,25/06/2023 23:04:47,ESCANER
8996,"Santa Rosa",6,"Nueva Santa Rosa",14,1094,400,92,24,18,4,1,2,0,7,5,153,11,3,167,0,167,--,400,233,153,167,167,Algún campo sin dato,1,536dd29c4c86f63ea7118c64a1d4e774a89b51edec258ae8281b2d6196d72036,25/06/2023 22:15:31,ESCANER
8997,"Santa Rosa",6,"Nueva Santa Rosa",14,1094,220,69,10,6,6,0,1,2,7,3,104,2,0,106,0,106,--,220,114,104,106,106,Algún campo sin dato,1,85e03010d09247b4f9c80f6877cc1eb886b35d193bdf92bbf1ccce7750a2a1ee,25/06/2023 22:26:39,ESCANER
8998,"Santa Rosa",6,"Nueva Santa Rosa",14,1094,220,42,18,4,2,1,1,0,2,2,72,7,0,79,0,79,--,--,--,72,79,79,Algún campo sin dato,1,5924e594ae03666c5c005036b7ea16381c05a0ee07a7b9b77da64b6223abfbbb,25/06/2023 20:44:21,ESCANER
8999,"Santa Rosa",6,"Nueva Santa Rosa",14,1095,400,99,30,42,4,2,2,2,8,7,196,19,5,220,0,220,--,397,177,196,220,220,Algún campo sin dato,1,7e8f89b11f3dd02131bf8948d1df8676202094a1b3199e627a9f95bf75b553e9,25/06/2023 23:12:29,ESCANER
9000,"Santa Rosa",6,"Nueva Santa Rosa",14,1095,400,123,18,28,1,3,5,1,12,8,199,32,1,232,1,233,--,404,171,199,232,233,Algún campo sin dato,1,77b0ffb476a17a079c859684619161e06d8fcc8af85d198340794cad79f43db6,25/06/2023 21:45:31,ESCANER
9001,"Santa Rosa",6,"Nueva Santa Rosa",14,1095,400,97,28,18,5,2,3,0,7,12,172,21,1,194,0,194,--,399,205,172,194,194,Algún campo sin dato,1,9a7a3de69b7fa3545d674f5c03bb27d94f06dc2c1a16e944c458b04741db1dbc,25/06/2023 23:05:20,ESCANER
9002,"Santa Rosa",6,"Nueva Santa Rosa",14,1095,268,65,18,10,0,2,3,0,7,11,116,14,1,131,4,135,--,268,133,116,131,135,Algún campo sin dato,1,f3120e7710464607cc4fff58cdd654449170bb3555815e35303aa72f7c4af5f3,25/06/2023 22:37:23,ESCANER
9003,"Santa Rosa",6,"Nueva Santa Rosa",14,1095,268,61,10,5,1,3,2,3,7,10,102,8,0,110,0,110,--,268,158,102,110,110,Algún campo sin dato,1,a54f7b5cccd251aa96423dcb65e8a07f1c053d2a47253e32d0dbbe5ed9de9be0,25/06/2023 23:43:03,ESCANER
