TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
28 junio 2023 21:35 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
138,138,100.0000,138,100.0000,0,52409,37118,70.8237

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,VAMOS,SUD,U R N G - MAIZ,TICC,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
9043,"Sololá",7,"Sololá",1,1103,400,44,137,100,11,292,9,1,302,0,302,--,400,98,292,302,302,Algún campo sin dato,1,cad2c723ef6fde0f64e46dd9b7f74203e4e3e46032e32ed97fcc8a15c1dc0bc7,25/06/2023 22:24:59,MOVIL
9044,"Sololá",7,"Sololá",1,1103,400,46,115,115,9,285,6,9,300,0,300,--,400,100,285,300,300,Algún campo sin dato,1,178142fedb14ec39bc55afbc147c2da40dafbfb2af9a01c69b1f5fc79f3b15e0,26/06/2023 02:54:44,ESCANER
9045,"Sololá",7,"Sololá",1,1103,400,33,120,130,8,291,16,3,310,0,310,--,400,90,291,310,310,Algún campo sin dato,1,b89c2e0a64ed96914cce749e1c92ffbf0b614cba1abfae5d72a97a45596a5225,26/06/2023 03:32:17,ESCANER
9046,"Sololá",7,"Sololá",1,1103,400,45,109,131,15,300,12,3,315,0,315,--,400,85,300,315,315,Algún campo sin dato,1,75fcf2744a73446ec0e175713b6368df0150f3d90043968e1b5b6bc6160d976a,26/06/2023 03:02:48,ESCANER
9047,"Sololá",7,"Sololá",1,1103,400,36,136,130,17,319,8,1,328,0,328,--,400,72,319,328,328,Algún campo sin dato,1,4abec972aadcb6acf6e3a5bc75cf180a9980852aa4a2ba4048642f6f7a030922,26/06/2023 03:00:35,ESCANER
9048,"Sololá",7,"Sololá",1,1103,400,46,134,94,25,299,9,1,309,0,309,--,400,91,299,309,309,Algún campo sin dato,1,71827157ec44f1a102d4a150e187546fb8d4ae52c16a67f8c6fb42547eca662f,26/06/2023 03:48:40,ESCANER
9049,"Sololá",7,"Sololá",1,1103,400,38,138,90,16,282,7,1,290,0,290,--,400,110,282,290,290,Algún campo sin dato,1,e4fa556630686cd4d4c20ca419e0c3ab6f621748d084b9cc61a498f4341ecb56,26/06/2023 00:25:10,ESCANER
9050,"Sololá",7,"Sololá",1,1103,400,43,118,116,7,284,5,1,290,0,290,--,400,110,284,290,290,Algún campo sin dato,1,b929c751baec4b21c90ff57e538eb2fa3c32c3b51832b4b7736e3bdebb4d4895,26/06/2023 02:44:01,ESCANER
9051,"Sololá",7,"Sololá",1,1103,400,32,149,75,15,271,5,4,280,1,281,--,400,119,271,280,281,Algún campo sin dato,1,309a03d3bf67d80729f40328f04358035485e599cb3fa79dae1c908dad5c1aef,26/06/2023 00:06:17,ESCANER
9052,"Sololá",7,"Sololá",1,1103,400,32,135,116,11,294,13,2,309,0,309,--,400,91,294,309,309,Algún campo sin dato,1,6adb734dd678a1791da0c7063396b413c8f2237449408c952dcf88c6c6ebf846,26/06/2023 03:48:11,ESCANER
9053,"Sololá",7,"Sololá",1,1103,400,31,137,99,13,280,13,2,295,0,295,--,400,105,280,295,295,Algún campo sin dato,1,83764d6ed5e1e6836d60b72c8f175b20b322d55454bbd9917502a5aaae78ab11,25/06/2023 23:26:47,ESCANER
9054,"Sololá",7,"Sololá",1,1103,400,38,136,96,12,282,12,2,296,0,296,--,400,104,282,296,296,Algún campo sin dato,1,e940375405ceed0daa76df6b89720e4902c65ac1b84e375571b75fe0b27e3f66,26/06/2023 03:10:13,ESCANER
