TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
34,34,100.0000,34,100.0000,0,13239,9373,70.7983

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,VAMOS,U R N G - MAIZ,UNE,CABAL,MLP,TODOS,VICTORIA,AZUL,VALOR UNIONISTA,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
9195,"Sololá",7,"Santa Lucía Utatlán",4,1123,400,111,28,76,52,4,6,4,7,10,298,7,5,311,0,311,1,400,89,298,310,310,Sumas Asentadas sin cuadrar,1,dd599ed6665adb677211d7deb4aa497a834117cd0a1d79987af8fe9ee7c10a7c,26/06/2023 01:10:34,ESCANER
9196,"Sololá",7,"Santa Lucía Utatlán",4,1123,400,128,20,82,51,4,8,2,7,10,312,6,5,323,0,323,--,400,77,312,323,323,Algún campo sin dato,1,53f66df362df604047a3db41b0c4ead495862e4567d38b708c9feb71923a2c0f,26/06/2023 02:16:28,ESCANER
9197,"Sololá",7,"Santa Lucía Utatlán",4,1123,400,93,22,64,83,7,5,2,13,11,300,11,7,318,0,318,--,400,82,300,318,318,Algún campo sin dato,1,31424ecd597a3a0dd473db61d896f733601e3fe88e01c02a2df48f7cd25082ec,26/06/2023 02:32:52,ESCANER
9198,"Sololá",7,"Santa Lucía Utatlán",4,1123,400,104,38,65,66,14,8,1,6,3,305,11,2,318,0,318,--,400,82,305,318,318,Algún campo sin dato,1,b31ee59599335c277ecee086602466893c519cd6406f954ffac9ae968de573a3,25/06/2023 23:42:20,ESCANER
9199,"Sololá",7,"Santa Lucía Utatlán",4,1123,400,138,25,68,65,2,8,2,3,6,317,7,5,329,0,329,--,400,71,317,329,329,Algún campo sin dato,1,055d44675975fe8dea3c1bdf74fa5012c1289e902f8e688dc68e7786bb4ecc97,26/06/2023 00:23:51,ESCANER
9200,"Sololá",7,"Santa Lucía Utatlán",4,1123,400,123,41,89,32,1,6,1,7,9,309,11,4,324,0,324,--,400,76,309,324,324,Algún campo sin dato,1,0ae8c30ad6f2085fff5025df86715207bb1cabd60c813fee85565286ca1f9b92,26/06/2023 00:36:19,ESCANER
9201,"Sololá",7,"Santa Lucía Utatlán",4,1123,400,94,33,127,42,2,4,0,8,7,317,5,2,324,0,324,--,400,76,317,324,324,Algún campo sin dato,1,99bf46c397825fb7f52190183dfdb70de1326c850cd13de6f16c8722d70d9970,26/06/2023 00:43:17,ESCANER
9202,"Sololá",7,"Santa Lucía Utatlán",4,1123,400,143,29,55,53,4,6,2,5,9,306,9,8,323,0,323,--,400,77,306,323,323,Algún campo sin dato,1,7d781cb967f22d704b4848b9bfdfb2ddf313c9e63329d5f6b8cfe8b689119749,26/06/2023 00:49:35,ESCANER
9203,"Sololá",7,"Santa Lucía Utatlán",4,1123,400,115,33,70,38,5,6,3,9,14,293,2,0,295,0,295,--,400,105,293,295,295,Algún campo sin dato,1,039bc83072b6cd8d609f6d75595c8817b50ec1894af21a68c613c66e953961c1,26/06/2023 02:05:10,ESCANER
9204,"Sololá",7,"Santa Lucía Utatlán",4,1123,400,86,21,61,48,5,5,3,10,7,246,6,3,255,0,255,--,400,145,246,255,255,Algún campo sin dato,1,b6fe3aac4920196a173e083fb2950acedc305411cec1b42cf80dee62a79d3c04,26/06/2023 00:16:51,ESCANER
9205,"Sololá",7,"Santa Lucía Utatlán",4,1124,400,99,31,65,50,7,10,6,9,6,283,1,2,286,0,286,--,400,114,283,286,286,Algún campo sin dato,1,641fb0c44f2a61eb81fc61b5291115d7be9f0023ffc4a494d8efe84a58b1a366,26/06/2023 00:08:14,ESCANER
9206,"Sololá",7,"Santa Lucía Utatlán",4,1124,400,105,38,56,53,6,8,4,8,13,291,2,1,294,0,294,--,400,106,291,294,294,Algún campo sin dato,1,2be09f8834451d549713468bbf62da4ec1e93981a1d57a47c7dce2c27d2eee23,26/06/2023 00:14:36,ESCANER
9207,"Sololá",7,"Santa Lucía Utatlán",4,1124,400,98,25,66,41,5,3,1,9,6,254,0,4,258,0,258,--,400,142,254,258,258,Algún campo sin dato,1,3d48069135a960da0227fbfff7357b97c05e8ac973932bde608f1d17133f75b1,26/06/2023 01:12:38,ESCANER
9208,"Sololá",7,"Santa Lucía Utatlán",4,1124,400,99,34,89,28,2,4,1,8,8,273,0,1,274,0,274,--,400,126,273,274,274,Algún campo sin dato,1,2df1eaf2ec8e04806fa6ec9f03dadabfa1298409f9cb47c286938e5ed9af6ee4,26/06/2023 01:30:07,ESCANER
9209,"Sololá",7,"Santa Lucía Utatlán",4,1124,400,91,37,81,36,2,7,4,4,7,269,0,0,269,0,269,--,400,131,269,269,269,Algún campo sin dato,1,9c7ad058f4dafe9b3281d4cc7e24dd6831569e14954c3b89425de7010f7185bd,26/06/2023 01:55:42,ESCANER
9210,"Sololá",7,"Santa Lucía Utatlán",4,1124,348,74,25,72,52,5,3,1,4,12,248,0,1,249,1,250,--,348,98,248,249,250,Algún campo sin dato,1,903fb7c2280dc38ecdbd1902eea967727e9432593d73d055826e1cc1ee439f03,26/06/2023 01:22:09,ESCANER
9211,"Sololá",7,"Santa Lucía Utatlán",4,1124,347,73,14,53,47,2,2,6,2,12,211,1,2,214,0,214,--,347,133,211,214,214,Algún campo sin dato,1,e74228552f01c95ed81aef751fa2acb66888b8c2fc6a6fc4d208f7d83f58b680,25/06/2023 22:39:20,MOVIL
9212,"Sololá",7,"Santa Lucía Utatlán",4,1125,380,99,22,57,34,4,4,2,29,8,259,10,6,275,0,275,--,380,105,259,275,275,Algún campo sin dato,1,4f881ba905bab933af2f5a8dc294b554c9698ae5e3e315f7bac2fb50cf2f04ef,26/06/2023 00:12:28,ESCANER
9213,"Sololá",7,"Santa Lucía Utatlán",4,1125,380,101,19,73,17,8,3,1,38,4,264,5,2,271,0,271,--,380,109,264,271,271,Algún campo sin dato,1,630b87d44432565ece6c1ac8c2b54be896105f9785f77c9b8a5c672fca3865cd,26/06/2023 01:00:01,ESCANER
9214,"Sololá",7,"Santa Lucía Utatlán",4,1125,380,113,16,66,18,3,6,0,38,9,269,9,6,284,0,284,--,380,96,269,284,284,Algún campo sin dato,1,226a8e5529ad5280b204fa3210eed0529e5fc732d4dbc5796b030b25e1d87285,26/06/2023 01:59:16,ESCANER
9215,"Sololá",7,"Santa Lucía Utatlán",4,1125,380,88,33,74,27,4,4,2,52,8,292,4,9,305,0,305,--,380,75,292,305,305,Algún campo sin dato,1,c373e4d979b44a7377137bd2d888073bdf0104fa90ad8edb619bef13c43d3208,26/06/2023 02:34:53,ESCANER
9216,"Sololá",7,"Santa Lucía Utatlán",4,1125,380,96,10,57,25,7,6,0,48,17,266,10,5,281,0,281,--,380,99,266,281,281,Algún campo sin dato,1,646e79f1829ead6b8cb029e18ecb2ec2b3fd2fd0124433d0997ce59d1db1a959,26/06/2023 01:16:20,ESCANER
9217,"Sololá",7,"Santa Lucía Utatlán",4,1125,380,99,21,82,20,1,9,1,35,16,284,6,3,293,0,293,--,380,87,284,293,293,Algún campo sin dato,1,68d08f98c5c3dec00b32a076a959cfec582e84024dd878c02d8a3d46b4469c94,26/06/2023 02:27:10,ESCANER
9218,"Sololá",7,"Santa Lucía Utatlán",4,1125,380,131,16,52,52,2,8,1,9,11,282,10,9,301,0,301,--,380,79,282,301,301,Algún campo sin dato,1,721a3fe28b5cd01ade213498e9f22d3156d2a1a20b736b547a3f775a70fcdcc1,26/06/2023 00:41:51,ESCANER
9219,"Sololá",7,"Santa Lucía Utatlán",4,1125,380,129,14,53,60,2,7,1,9,8,283,6,5,294,0,294,--,380,86,283,294,294,Algún campo sin dato,1,5a0e778ad19e2a9f192bc01c5e957615d5fb1e90013d9a2c1176613c8057627b,26/06/2023 02:19:05,ESCANER
9220,"Sololá",7,"Santa Lucía Utatlán",4,1125,380,79,24,52,51,11,10,2,15,12,256,6,5,267,0,267,--,380,113,256,267,267,Algún campo sin dato,1,c75ea4df058676b2daa09e8cbf892854c7f7c8905e46a935a3cc397e0bf220b1,26/06/2023 02:31:24,ESCANER
9221,"Sololá",7,"Santa Lucía Utatlán",4,1125,380,93,16,53,25,10,7,1,34,11,250,3,0,253,0,253,--,380,127,250,253,253,Algún campo sin dato,1,536d3ba1aa9a24a5855e95e948e5e24e6fdfdab2e8e3deffcc65888593f72c2d,26/06/2023 02:24:03,ESCANER
9222,"Sololá",7,"Santa Lucía Utatlán",4,1125,380,78,21,60,29,7,5,0,32,16,248,4,0,252,0,252,--,380,128,248,252,252,Algún campo sin dato,1,f6732d3aca0b8e97f7bfad34afd64ce6b6e55c6f2c7a7162d6f3330e70af6301,25/06/2023 23:58:00,ESCANER
9223,"Sololá",7,"Santa Lucía Utatlán",4,1125,380,91,21,54,18,6,3,0,32,9,334,10,2,246,0,246,--,383,137,234,246,246,Sumas Asentadas sin cuadrar,1,559e5b5d963ab80bb0d3c570ae756cb59dc6c13a3fa9855542fba6c52abde203,26/06/2023 01:24:16,ESCANER
9224,"Sololá",7,"Santa Lucía Utatlán",4,1125,380,82,23,50,27,2,2,0,39,13,238,6,1,245,0,245,--,380,135,238,245,245,Algún campo sin dato,1,e3c0cea1806862e5f1838919f28e054a0646a1ae28e13886a5488a966f183d43,26/06/2023 00:18:12,ESCANER
9225,"Sololá",7,"Santa Lucía Utatlán",4,1125,380,94,14,66,26,4,10,1,25,13,253,1,1,255,0,255,1,380,124,253,255,255,,1,02b95b2c7f2b4313513e999c61530a8bb48fc9be1c85f2c06603e2b9317fa270,26/06/2023 01:27:05,ESCANER
9226,"Sololá",7,"Santa Lucía Utatlán",4,1125,339,69,25,54,21,2,1,2,32,8,214,1,0,215,0,215,--,335,120,214,215,215,Algún campo sin dato,1,e5bd36eba3402c6cda615e5ca7e63aa3be04ce343573d155fc5781b2063caf3e,26/06/2023 00:37:50,ESCANER
9227,"Sololá",7,"Santa Lucía Utatlán",4,1125,338,72,22,37,21,5,5,1,20,6,189,1,0,190,0,190,--,338,148,189,190,190,Algún campo sin dato,1,bb97d1b436bb60ee4fd86bba424a001e25d52739b234816ffcdbf0b81e560ac0,25/06/2023 23:36:44,ESCANER
9228,"Sololá",7,"Santa Lucía Utatlán",4,1126,547,62,10,50,21,4,6,3,16,6,178,4,1,183,--,--,--,544,361,178,183,183,Algún campo sin dato,1,a6113eb27734c4fccf70fb161959c613548a093339774faeea0909a87ff5b62d,25/06/2023 23:48:06,ESCANER
