TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
28 junio 2023 21:35 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
130,130,100.0000,130,100.0000,0,46814,35012,74.7895

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,VAMOS,UNE,TODOS,CABAL,VIVA,SEMILLA,VOS,MLP,VALOR UNIONISTA,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
9229,"Sololá",7,"Nahualá",5,1127,400,165,6,4,131,4,1,5,6,2,324,8,5,337,0,337,--,400,63,324,337,337,Algún campo sin dato,1,87a45c707b090eaae02fbdbe3295cbd5d389218ad2c3dc83a65a15c35b2ec305,25/06/2023 23:41:26,ESCANER
9230,"Sololá",7,"Nahualá",5,1127,400,154,6,5,140,4,3,6,13,1,332,10,5,347,0,347,--,400,53,332,347,347,Algún campo sin dato,1,808a82881c2ae37ebccfea6843843de5feb01efa66eaca3d9862f8026e823988,25/06/2023 22:56:06,ESCANER
9231,"Sololá",7,"Nahualá",5,1127,400,165,6,4,125,5,1,5,7,2,320,14,16,350,0,350,--,400,50,320,350,350,Algún campo sin dato,1,08002e8123668f0b0808ea9a6b318fb618e3b1261403e813fc4dfd90eb1c1ec9,25/06/2023 22:48:05,ESCANER
9232,"Sololá",7,"Nahualá",5,1127,400,153,5,3,166,7,2,2,13,1,352,11,8,371,0,371,--,400,29,352,371,371,Algún campo sin dato,1,7c88c3ab8ecc2206d9192dae061dfde533bdaa152fda66f4e154980aa4571f25,25/06/2023 22:49:02,ESCANER
9233,"Sololá",7,"Nahualá",5,1127,400,137,4,8,133,9,2,16,17,2,328,13,5,346,0,346,--,400,54,328,346,346,Algún campo sin dato,1,e60d2679bff17700a0db0078a112ec1519de19a2f6e2394705e4deac4ba2bfe1,26/06/2023 00:26:02,ESCANER
9234,"Sololá",7,"Nahualá",5,1127,400,163,6,13,99,5,2,14,10,0,312,10,18,340,0,340,--,400,60,312,340,340,Algún campo sin dato,1,067bda2b7467d14b31fc5f37e4840a8fe6751a28ef9a0481b2baeea6aaf258d3,25/06/2023 23:24:08,ESCANER
9235,"Sololá",7,"Nahualá",5,1127,400,143,10,4,138,11,3,5,7,1,322,14,8,344,0,344,--,399,55,322,344,344,Algún campo sin dato,1,37965966dd5ac0f65f1206376232dc043e2cabf5e42999785e1355beb9f8185a,25/06/2023 23:28:58,ESCANER
9236,"Sololá",7,"Nahualá",5,1127,400,139,28,6,126,6,2,5,12,0,324,8,8,340,0,340,--,400,60,324,340,340,Algún campo sin dato,1,f7903476d3d1b1bd9a93d8a1fe8fcf132b691e59cd17ae9be56894d3375053d6,25/06/2023 22:51:01,ESCANER
9237,"Sololá",7,"Nahualá",5,1127,400,121,10,1,164,2,1,14,6,2,321,7,9,337,0,337,--,400,63,321,337,337,Algún campo sin dato,1,653b7dcc2685c8a273c29e39b595ff36f5992605908640f6285546fd5fc6837e,25/06/2023 23:06:13,ESCANER
9238,"Sololá",7,"Nahualá",5,1127,400,166,11,2,125,5,1,1,1,4,316,8,4,328,0,328,--,400,72,316,328,328,Algún campo sin dato,1,ab00c5c4fc2a7128ec139f663c1b43bba30384b06263c96ae7a83bd1c2aa7dad,26/06/2023 00:13:54,ESCANER
