TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
87,87,100.0000,87,100.0000,0,31273,23207,74.2077

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,VAMOS,CABAL,UNE,MLP,VALOR UNIONISTA,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
9359,"Sololá",7,"Santa Catarina Ixtahuacán",6,1152,400,182,112,10,2,0,306,9,5,320,0,320,0,400,80,306,320,320,,1,28e39fdfd96b20650f0b6140d84126c840f9c84af8a08698ab2b7d24155dd069,26/06/2023 02:01:46,ESCANER
9360,"Sololá",7,"Santa Catarina Ixtahuacán",6,1152,400,192,107,5,0,3,307,6,5,318,0,318,0,400,82,307,318,318,,1,22b75d5f4de35c61672c528c5cad763fde841263e162f3841026f956bc938526,26/06/2023 00:29:45,ESCANER
9361,"Sololá",7,"Santa Catarina Ixtahuacán",6,1152,400,160,156,5,0,2,323,13,7,343,0,343,2,400,57,323,343,343,,1,4db913916c9b42abdec5ddb9a1cfa3d59c9c9a6b63204072b34451196ebcfc47,25/06/2023 23:55:42,ESCANER
9362,"Sololá",7,"Santa Catarina Ixtahuacán",6,1152,400,172,142,3,0,1,318,4,8,330,0,330,--,400,70,318,330,330,Algún campo sin dato,1,a04b1455208519193c0acaf67a4eecfc95981d66a9f1423f5d0424e5b5414559,26/06/2023 01:35:37,ESCANER
9363,"Sololá",7,"Santa Catarina Ixtahuacán",6,1152,400,123,96,5,0,3,227,6,2,235,0,235,--,400,165,227,235,235,Algún campo sin dato,1,58a18cfc20bf133aafcf6b306822649bd21c22163afef42f7e310cf0efcc3f62,26/06/2023 00:15:19,ESCANER
9364,"Sololá",7,"Santa Catarina Ixtahuacán",6,1152,400,126,121,1,2,1,251,4,1,256,0,256,0,400,144,251,256,256,,1,698a637f231ba6905043b96c9376cac8da617508b1eb4078f719585a4157fb8d,25/06/2023 23:03:42,ESCANER
9365,"Sololá",7,"Santa Catarina Ixtahuacán",6,1152,224,86,50,1,0,0,137,1,0,138,0,138,0,224,86,137,138,138,,1,aef96dee6c03fb11fee38638df788c53051c5f0c7bd4260fc99a01997926c1df,25/06/2023 21:32:27,ESCANER
9366,"Sololá",7,"Santa Catarina Ixtahuacán",6,1152,223,77,53,0,0,1,131,3,0,134,0,134,0,223,89,131,134,134,,1,fbee5ea7b9f5133ce3898f30b7673f088eddde9b34952a9105df73b0bc93c0e2,25/06/2023 21:44:09,ESCANER
9367,"Sololá",7,"Santa Catarina Ixtahuacán",6,1153,380,184,106,2,3,2,296,6,3,--,--,--,1,380,71,297,306,306,Sumas Asentadas sin cuadrar,1,538fd547a87242a09683f6f76cedded71ec923e009d50a33ea22c5cc1c00157e,26/06/2023 01:34:36,ESCANER
9368,"Sololá",7,"Santa Catarina Ixtahuacán",6,1153,380,188,91,2,1,0,282,3,4,289,1,290,--,380,90,282,289,290,Algún campo sin dato,1,2ed395e42c121baf7c1b99dc05db99e37172ffe9ef339a75d75d651d381cd9b5,25/06/2023 23:10:08,ESCANER
