TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
28 junio 2023 21:35 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
16,16,100.0000,16,100.0000,0,6100,4958,81.2786

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,VAMOS,CABAL,VICTORIA,UNE,TODOS,VALOR UNIONISTA,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
9446,"Sololá",7,"Santa Clara La Laguna",7,1168,400,110,38,77,73,8,21,328,4,7,338,0,338,--,400,62,327,338,338,Sumas Asentadas sin cuadrar,1,b2d87f657fa5c81658768bb5f43c87d23c9c67532c478897d4e1853368ffe267,26/06/2023 03:08:53,ESCANER
9447,"Sololá",7,"Santa Clara La Laguna",7,1168,400,88,46,91,88,9,14,336,4,4,344,0,344,--,--,--,336,344,344,Algún campo sin dato,1,88ac7603601e0e004b607c5540bd9f5e651a1dfe4f9bb2d58a467f861c4948c4,26/06/2023 03:20:56,ESCANER
9448,"Sololá",7,"Santa Clara La Laguna",7,1168,400,122,44,83,52,7,20,328,9,3,340,0,340,--,400,60,328,340,340,Algún campo sin dato,1,72a45254e7a1e1dd30ddff9c692812804753f040c4c24a6a399a0d479a8fa10c,26/06/2023 03:48:11,ESCANER
9449,"Sololá",7,"Santa Clara La Laguna",7,1168,400,111,39,90,62,11,12,325,7,2,334,0,334,--,400,66,325,334,334,Algún campo sin dato,1,c5eef23c0d98bcabbe4d72225cfff17341e6829ed52e50301161da0ced90191f,26/06/2023 02:34:13,ESCANER
9450,"Sololá",7,"Santa Clara La Laguna",7,1168,400,130,55,77,63,11,14,350,9,1,360,0,360,--,401,41,350,360,360,Algún campo sin dato,1,655b8d2b78db07c9b2c4db5ada0cbc3665489b494b89ddae0baaf74a7a427002,26/06/2023 02:40:32,ESCANER
9451,"Sololá",7,"Santa Clara La Laguna",7,1168,400,117,57,88,66,5,13,346,9,5,360,0,360,--,400,40,346,360,360,Algún campo sin dato,1,4db552638e38b0fb400fd5b9ba187b7509483357c8fad47e55fc340403bd1644,26/06/2023 00:24:06,ESCANER
9452,"Sololá",7,"Santa Clara La Laguna",7,1168,400,117,44,92,85,5,4,347,6,5,358,0,358,--,400,42,347,358,358,Algún campo sin dato,1,0f564f513b58e9efc1145516328afa5479ea79430cfe7de5b94a1f067f2c1e47,26/06/2023 02:51:01,ESCANER
9453,"Sololá",7,"Santa Clara La Laguna",7,1168,400,95,50,74,55,12,16,302,2,1,305,0,305,--,400,95,302,305,305,Algún campo sin dato,1,0630d59073011aa4e2bd9f3dc357899096930808e1c3e1ec8fd872cc01a57366,26/06/2023 02:25:26,ESCANER
9454,"Sololá",7,"Santa Clara La Laguna",7,1168,400,97,44,71,53,6,20,291,2,4,297,--,--,--,400,104,291,297,297,Algún campo sin dato,1,cea829f8995bb88659d226314da0a5be3b0b915a1afb75cf476775e73d9f826c,26/06/2023 02:59:06,ESCANER
9455,"Sololá",7,"Santa Clara La Laguna",7,1169,400,109,36,72,61,9,11,298,1,4,303,0,303,--,400,97,298,303,303,Algún campo sin dato,1,ba21f5ea18561a9f23eb21e5b9977e10ee04b7f1237f44c2f9294e982eae1eca,26/06/2023 03:15:47,ESCANER
9456,"Sololá",7,"Santa Clara La Laguna",7,1169,400,106,44,79,49,8,15,301,7,1,309,0,309,--,401,90,301,309,309,Algún campo sin dato,1,6f35fbbaa8425f565531a756ce68e6fa756c4ba76d15c123a6b070c1ed2392e7,26/06/2023 01:37:51,ESCANER
9457,"Sololá",7,"Santa Clara La Laguna",7,1169,400,95,55,96,59,9,6,320,1,2,323,0,323,--,400,77,320,323,323,Algún campo sin dato,1,8915275c3130eb068cc71206f70c75b6fb7fcbd38b9cab1e3a2e26724e20f771,26/06/2023 03:35:58,ESCANER
9458,"Sololá",7,"Santa Clara La Laguna",7,1169,400,81,46,102,60,7,15,311,1,2,314,0,314,--,400,86,311,314,314,Algún campo sin dato,1,f2f76f83b5c98e51ba46ecf1da2dfebbd09c8cf65eed2b8dae89f71cfe5aa50a,26/06/2023 01:46:02,ESCANER
9459,"Sololá",7,"Santa Clara La Laguna",7,1169,400,87,51,80,54,5,17,294,0,0,294,1,295,1,380,84,294,294,295,,1,8a0fb68bb97ca483baec8512bb5134da278731adfb8fb589b73f8cf6ffae2e2a,26/06/2023 01:26:25,ESCANER
