TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
23,23,100.0000,23,100.0000,0,8023,5994,74.7102

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,VAMOS,UNE,U R N G - MAIZ,TODOS,VIVA,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
9473,"Sololá",7,"San Andrés Semetabaj",9,1171,400,171,23,79,27,9,309,12,6,327,0,327,--,400,73,309,327,327,Algún campo sin dato,1,5c4840cba04b2374edd5cba1ff415af34aa75fde51764f0f07b3466dfbcc88c4,26/06/2023 01:52:19,ESCANER
9474,"Sololá",7,"San Andrés Semetabaj",9,1171,400,170,26,75,31,8,310,9,2,321,0,321,--,400,79,310,321,321,Algún campo sin dato,1,8f2c0d2e9ca6394071957881bf43741d007a78953c6e5c3c7f6c95a785b8d61c,26/06/2023 00:53:59,ESCANER
9475,"Sololá",7,"San Andrés Semetabaj",9,1171,400,148,36,89,21,13,307,12,3,322,0,322,--,400,78,307,322,322,Algún campo sin dato,1,ea042f8ab093bfa5197e95baa08234614b8ee9b7d93aa77fb53759bdc3d03a74,25/06/2023 23:41:16,ESCANER
9476,"Sololá",7,"San Andrés Semetabaj",9,1171,400,140,40,68,34,12,294,9,2,305,0,--,--,400,95,294,305,305,Algún campo sin dato,1,c3b4a5ab2c72e42a7f9840dcc700c45708b6f60944766cd0ae1729e119782287,25/06/2023 23:26:20,ESCANER
9477,"Sololá",7,"San Andrés Semetabaj",9,1171,400,155,22,75,17,12,281,3,2,286,0,286,--,400,114,281,286,286,Algún campo sin dato,1,6dd88d94e37ebe05c17cceab93f3bf23fbd492e7b6d1537492b490184e1034ce,26/06/2023 03:37:06,ESCANER
9478,"Sololá",7,"San Andrés Semetabaj",9,1171,400,162,19,79,22,11,293,10,3,306,0,306,--,400,94,293,306,306,Algún campo sin dato,1,11e68f44f1c5f9437679b1d324735e549011905d3aa5a7a53598307c2a5f38d8,25/06/2023 23:57:51,ESCANER
9479,"Sololá",7,"San Andrés Semetabaj",9,1172,400,123,34,81,23,18,279,4,0,283,0,283,--,--,--,279,283,283,Algún campo sin dato,1,6b1b7f76f8d36f65ea7091d17105b1ab1f64dda2917a025733619ad21431846d,26/06/2023 00:25:07,ESCANER
9480,"Sololá",7,"San Andrés Semetabaj",9,1172,400,139,18,82,25,12,276,3,0,279,0,279,1,400,121,276,279,279,,1,b365ffeb5f69f17a5557c43b08f506fcdbc18c6f73a24b727b6a478b1397bb91,25/06/2023 23:35:31,ESCANER
9481,"Sololá",7,"San Andrés Semetabaj",9,1172,225,74,10,37,13,7,141,0,0,141,0,141,--,225,84,141,141,141,Algún campo sin dato,1,4e1c5050935f8eefe46c60050a787107c33f4c8bf65d2529ac69e1f5628ca401,25/06/2023 22:50:54,ESCANER
9482,"Sololá",7,"San Andrés Semetabaj",9,1172,225,62,22,31,19,6,140,2,0,142,0,142,--,225,83,140,142,142,Algún campo sin dato,1,fc063a3f66e8ca75dc31fae20572cccb7548c396ab255d4069149f5fe5622159,25/06/2023 22:17:23,ESCANER
