TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
28 junio 2023 21:35 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
25,25,100.0000,25,100.0000,0,9667,7089,73.3319

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,VAMOS,VIVA,PR,UNE,U R N G - MAIZ,VICTORIA,MLP,PHG,CABAL,TODOS,VOS,AZUL,VALOR UNIONISTA,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
9496,"Sololá",7,"Panajachel",10,1177,400,54,16,19,7,16,29,54,16,39,2,2,0,21,275,16,3,294,0,294,--,400,106,275,294,294,Algún campo sin dato,1,5cecd815121abba81788199a610f478ac78ea029c2ac60004246b0a34224a1bf,25/06/2023 23:50:47,ESCANER
9497,"Sololá",7,"Panajachel",10,1177,400,48,11,23,17,9,22,71,12,46,2,5,1,17,301,8,2,311,0,311,--,400,89,284,294,294,Sumas Asentadas sin cuadrar,1,32f02604ccd6161d5f081252063200c9871e29bb73c17037c2b1b9a9ba50c72a,26/06/2023 00:18:35,ESCANER
9498,"Sololá",7,"Panajachel",10,1177,400,49,9,37,16,15,18,63,9,45,1,2,0,28,292,22,2,316,0,316,--,400,84,292,316,316,Algún campo sin dato,1,071d917ba4a7e6265e194ce69bbf967410aa655087f91156e3c3948ed67418e2,26/06/2023 01:12:56,ESCANER
9499,"Sololá",7,"Panajachel",10,1177,400,50,13,31,11,12,20,66,19,43,4,1,1,24,295,8,4,307,0,307,--,400,93,295,307,307,Algún campo sin dato,1,1cea2967b95b382764674031892f6bc6b4eb362a62ccc82ef07a6881b9f3459f,25/06/2023 23:29:34,ESCANER
9500,"Sololá",7,"Panajachel",10,1177,400,62,13,34,12,19,18,68,9,32,3,3,2,34,309,13,1,323,0,323,--,400,77,309,323,323,Algún campo sin dato,1,b5566296e6c19a50adb936533250e2ff2474ced313eb7b3cebd60c66a10359ce,26/06/2023 00:56:54,ESCANER
9501,"Sololá",7,"Panajachel",10,1177,400,58,12,33,15,15,29,56,7,48,3,2,1,26,305,14,4,323,77,400,--,400,77,305,323,400,Algún campo sin dato,1,11e8373e35ecf8dbd1b68e5a564c2802e44edfcd6b849d587362d22574213c56,26/06/2023 00:53:50,ESCANER
9502,"Sololá",7,"Panajachel",10,1177,400,70,10,23,18,16,20,58,8,38,1,1,0,29,292,13,4,309,0,309,--,400,91,292,309,309,Algún campo sin dato,1,3f252c9adbf69d6fe60f0264c99b5b0cadc58c8f9d31ecf0836c47fc8875f92e,26/06/2023 00:55:57,ESCANER
9503,"Sololá",7,"Panajachel",10,1177,400,58,21,18,7,25,22,60,17,37,6,3,0,25,299,16,4,319,0,319,2,400,79,299,319,319,,1,d4e96f764c871684fab1872f5f6d694f991744eb9dabcddc24a5e88efd41ffa8,26/06/2023 00:35:49,ESCANER
9504,"Sololá",7,"Panajachel",10,1177,400,39,17,17,9,32,21,63,12,34,1,2,0,32,279,8,0,287,0,287,--,400,113,279,287,287,Algún campo sin dato,1,3268ac8b038bc5ca88c6c6db4ba7db118382f150bf75cf3b15698295647e33d3,26/06/2023 00:57:37,ESCANER
9505,"Sololá",7,"Panajachel",10,1177,400,53,13,17,11,26,24,55,4,34,5,2,0,16,260,13,4,277,0,277,--,403,126,260,277,277,Algún campo sin dato,1,07cf60cfe97be53a8f0bfb5ac81be0e2a10927497e35b42d7cf0e5add64ebc24,25/06/2023 23:45:58,ESCANER
9506,"Sololá",7,"Panajachel",10,1177,400,46,13,13,10,17,32,57,13,35,0,4,1,31,272,13,1,286,--,287,1,--,--,272,286,286,Sumas Asentadas sin cuadrar,1,414fb3347545fad4400ab1fb5f71773a3222a27cc4f26fe16385aa3ef35bd2f5,25/06/2023 23:54:49,ESCANER
9507,"Sololá",7,"Panajachel",10,1177,400,56,20,18,5,31,22,48,9,37,7,5,3,20,281,6,1,288,0,288,--,400,112,281,288,288,Algún campo sin dato,1,86608476f2c1a71f493d7205477a9eda30449e1de403fe7d739a87c84776aa1e,26/06/2023 01:08:35,ESCANER
9508,"Sololá",7,"Panajachel",10,1177,400,48,17,38,7,21,25,59,13,39,3,4,0,26,300,2,1,303,0,--,--,400,94,300,303,303,Algún campo sin dato,1,39287bb89f6446e8125bf0a452154475afb5cc535bc611e0f3db6a69e3256d22,26/06/2023 00:19:23,ESCANER
9509,"Sololá",7,"Panajachel",10,1177,400,63,10,31,6,22,18,64,8,36,3,5,0,42,308,9,0,317,0,317,--,403,86,308,317,317,Algún campo sin dato,1,33cfc4e01569c90dab64b131efeabe6bbbc7e88563194449795d6a04a663b22b,25/06/2023 22:57:32,ESCANER
9510,"Sololá",7,"Panajachel",10,1178,400,65,13,24,7,20,17,74,10,44,1,4,1,26,306,11,1,318,0,318,--,400,82,306,318,318,Algún campo sin dato,1,ed045a96f5603d284e1ab0e20f8c958fd6344c24a887742c0acce06414245e76,26/06/2023 01:45:31,ESCANER
9511,"Sololá",7,"Panajachel",10,1178,400,60,14,16,4,24,22,62,4,35,1,5,1,36,284,8,2,294,0,294,--,400,106,284,294,294,Algún campo sin dato,1,583085c20321d1241f94d77aee5ae99e8f7f6210ec09646a360facfd47b67877,26/06/2023 01:22:42,ESCANER
9512,"Sololá",7,"Panajachel",10,1178,400,48,14,17,9,14,20,64,12,42,3,6,2,35,286,8,3,297,0,297,--,400,103,286,297,297,Algún campo sin dato,1,97b833d7b95ca0e19ab8987f778922d62635944d1efdfcc7829b04b5859610d9,26/06/2023 01:50:22,ESCANER
9513,"Sololá",7,"Panajachel",10,1178,400,54,12,27,9,25,18,43,9,27,5,3,2,36,270,6,2,278,0,278,--,403,125,270,278,278,Algún campo sin dato,1,65387c619eedee3f2f5d2288dfc83bebafc85b04dde0642b2f930357f3df616e,26/06/2023 02:08:05,ESCANER
9514,"Sololá",7,"Panajachel",10,1179,400,60,14,19,3,31,23,53,14,28,1,3,1,29,279,8,2,289,0,289,--,400,111,279,289,289,Algún campo sin dato,1,418815a22461b076a645872de96105d86333b57867c3614edf3ed7ec829c3e72,26/06/2023 00:40:10,ESCANER
9515,"Sololá",7,"Panajachel",10,1179,400,62,11,19,10,22,24,51,12,37,1,2,0,32,283,4,1,288,0,288,--,400,112,283,288,288,Algún campo sin dato,1,97cc337c5134fd36de4037efefc6cc293d41b134af9490c1a6a87b10ef21e1c5,25/06/2023 23:46:48,ESCANER
9516,"Sololá",7,"Panajachel",10,1179,400,62,10,21,10,29,19,51,15,48,3,4,0,39,311,3,0,314,0,314,--,400,86,311,314,314,Algún campo sin dato,1,34a1b3c5702f6b93ec20209f4c2661386cfbe10b187da7919dcc0f29ead8e64e,26/06/2023 01:03:18,ESCANER
9517,"Sololá",7,"Panajachel",10,1179,400,62,15,16,10,33,30,53,16,37,1,5,0,30,308,2,0,310,0,310,--,400,87,308,310,310,Algún campo sin dato,1,556a1ad8b691c28b7d7e7e0db8c2810be944592bb3a61daad1fe76d2a3bb72f3,26/06/2023 01:42:25,ESCANER
9518,"Sololá",7,"Panajachel",10,1180,204,34,5,6,8,9,10,21,7,12,2,4,0,15,133,2,0,135,0,135,--,204,69,133,135,135,Algún campo sin dato,1,303cf71c0b0b7354be2e6ce28720751700a56cc013bf5a628415dc31e02f3e30,25/06/2023 22:04:24,ESCANER
9519,"Sololá",7,"Panajachel",10,1180,204,25,8,12,3,7,7,27,3,7,0,0,2,11,112,0,1,113,0,113,25,204,91,112,113,113,,1,7a18a03513e547598393266aed5d3d11eff66dc50c4d2bc8392fad3840ae441f,25/06/2023 22:40:02,ESCANER
9520,"Sololá",7,"Panajachel",10,1181,459,38,8,12,13,9,18,43,6,30,0,1,0,22,200,8,2,210,0,210,--,459,249,200,210,210,Algún campo sin dato,1,85e4eb3a93fb79534e8d415c1d9287440012708694e25b186970ff20fe68f1ac,26/06/2023 00:02:06,ESCANER
