TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
24,24,100.0000,24,100.0000,0,8676,6003,69.1908

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,VAMOS,UNE,VICTORIA,CABAL,VALOR UNIONISTA,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
9529,"Sololá",7,"San Antonio Palopó",12,1183,400,82,90,21,27,13,233,7,2,242,0,242,--,400,158,233,242,242,Algún campo sin dato,1,8918f733cc159cfb8ed5d67835106ef55d1a625bb1c91d5665729ba7e31838c9,25/06/2023 23:04:42,ESCANER
9530,"Sololá",7,"San Antonio Palopó",12,1183,400,86,139,19,45,11,300,6,8,314,0,314,--,400,86,300,314,314,Algún campo sin dato,1,dc4e708d50128a1f09512fb9c363cb0fd5c7d99c1eaaa396d7590789c30327b8,26/06/2023 00:34:32,ESCANER
9531,"Sololá",7,"San Antonio Palopó",12,1183,400,101,112,21,32,13,279,7,5,291,0,291,--,400,106,279,291,291,Algún campo sin dato,1,5e89f4374943bd79e5464b9b1342a834f90c50fa205b40ddd66aa9648d2e75ae,25/06/2023 22:46:58,ESCANER
9532,"Sololá",7,"San Antonio Palopó",12,1184,400,100,104,40,37,17,298,7,9,314,0,314,--,400,86,298,314,314,Algún campo sin dato,1,f1e55dc32833d76c44b610cee67f4d2c3cc790b7df3202b198ea50128673fa10,26/06/2023 00:25:37,ESCANER
9533,"Sololá",7,"San Antonio Palopó",12,1184,400,87,89,38,52,21,287,5,3,295,0,295,--,400,105,287,295,295,Algún campo sin dato,1,061132ea6c3de3cf644797f7e0b0b8c285ea56607e0e8482535626d8e18956b5,26/06/2023 00:00:22,ESCANER
9534,"Sololá",7,"San Antonio Palopó",12,1184,400,78,90,31,30,20,249,5,1,255,0,255,--,400,145,249,255,255,Algún campo sin dato,1,a721882ff78e61ea7af1b8c960353f38edae450eae3f06d7a44b6e6766340cb1,25/06/2023 23:30:00,ESCANER
9535,"Sololá",7,"San Antonio Palopó",12,1185,293,48,82,20,27,17,194,2,1,197,0,197,--,293,96,194,197,197,Algún campo sin dato,1,073cbeb744bd05b3cd26fab9782786aeae521bef2f3166ed390d43902ddcebba,25/06/2023 22:07:04,ESCANER
9536,"Sololá",7,"San Antonio Palopó",12,1185,292,69,56,24,17,11,177,1,0,178,0,178,--,292,111,177,178,178,Algún campo sin dato,1,303e78d513885cbaf704d38f29904053284edea924e7c25e6d2f89d3f8b19113,25/06/2023 22:22:57,ESCANER
9537,"Sololá",7,"San Antonio Palopó",12,1186,380,110,39,10,1,95,255,11,3,269,0,269,--,376,108,255,269,269,Algún campo sin dato,1,91e9282c33121b7349d33d964db04a502e6e176cd309d58754e4f82b7054b181,26/06/2023 00:11:13,ESCANER
9538,"Sololá",7,"San Antonio Palopó",12,1186,380,130,58,7,3,79,277,12,5,294,0,294,--,380,83,277,294,294,Algún campo sin dato,1,26030f4d4801689768854e01767dd68cc2b4cc3be0e3b68ebc9ba0d1deb824b7,26/06/2023 01:06:47,ESCANER
9539,"Sololá",7,"San Antonio Palopó",12,1186,380,138,44,15,1,74,272,9,4,285,0,285,--,380,95,272,285,285,Algún campo sin dato,1,a3bb0eb26b34622c9ceb2e983c14dcf0ad20bfbac7f4d8c680f7ef7d8d4f8f67,26/06/2023 00:22:17,ESCANER
9540,"Sololá",7,"San Antonio Palopó",12,1186,380,87,47,21,4,109,268,19,5,292,0,292,--,380,88,268,292,292,Algún campo sin dato,1,28df42569c31642f026324e28c8152bb1b81744f34a8d3e07c38f1878feca3ac,25/06/2023 23:31:49,ESCANER
9541,"Sololá",7,"San Antonio Palopó",12,1186,380,114,57,10,1,75,257,15,5,277,0,277,--,380,103,257,277,277,Algún campo sin dato,1,57d09cfde60ec7c0b0d6b1795f93a7d6019970cc5001a39fda5780a8473c9d12,25/06/2023 23:12:23,ESCANER
9542,"Sololá",7,"San Antonio Palopó",12,1186,380,95,81,16,4,77,273,12,3,288,0,288,--,380,92,273,288,288,Algún campo sin dato,1,c810e755f0abcc09ac740cb3770f21d37dc36cfacac30d15fc140de625780bd7,26/06/2023 00:50:10,ESCANER
9543,"Sololá",7,"San Antonio Palopó",12,1186,380,109,84,16,8,73,290,11,5,306,0,306,--,380,74,290,306,306,Algún campo sin dato,1,7e775718b84e1af19ebf7fa17f9da6c2b89be8c7c11a3c2835ba9c4a70ee37e0,25/06/2023 23:17:39,ESCANER
9544,"Sololá",7,"San Antonio Palopó",12,1186,380,108,80,17,3,66,274,8,5,287,0,287,--,--,--,274,287,287,Algún campo sin dato,1,adf7eac8a76af8999d0f650c4441778f0723a68605fdd3725275d7992d8811e5,25/06/2023 23:22:14,ESCANER
9545,"Sololá",7,"San Antonio Palopó",12,1187,380,99,51,5,1,73,229,2,1,232,--,--,--,380,148,229,232,232,Algún campo sin dato,1,cd92feea41a0104ee706d6f2b71bb6f374851088e92fb7a65e42fa6246c93527,26/06/2023 00:36:38,ESCANER
9546,"Sololá",7,"San Antonio Palopó",12,1187,380,106,50,5,2,74,237,5,3,245,0,245,--,380,135,237,245,245,Algún campo sin dato,1,b146e7821c9dace413d41540078ea703dbb1bb3f3c3ab40c46200d5c43b9aa6f,25/06/2023 23:08:35,ESCANER
9547,"Sololá",7,"San Antonio Palopó",12,1187,380,96,46,10,2,64,218,3,2,223,--,223,--,380,157,218,223,223,Algún campo sin dato,1,5a32a6c54466d1acc30caa7622581422e970aa556c582821710baa11b3770c73,25/06/2023 23:44:51,ESCANER
9548,"Sololá",7,"San Antonio Palopó",12,1187,380,110,52,13,0,95,270,3,0,273,0,273,--,380,107,270,273,273,Algún campo sin dato,1,40e50020f825abb69037dc297adca609c3b9a8426c538da8906895d8a88d39fc,26/06/2023 00:59:02,ESCANER
9549,"Sololá",7,"San Antonio Palopó",12,1187,380,120,33,17,1,101,272,3,0,275,0,275,--,380,105,272,275,275,Algún campo sin dato,1,7c7f36d289513eb9ee69c50529bf1994369ab1ee884b538f6aaf0df29f604df5,26/06/2023 00:43:51,ESCANER
9550,"Sololá",7,"San Antonio Palopó",12,1187,247,74,37,11,2,46,170,1,0,171,0,171,--,247,76,170,171,171,Algún campo sin dato,1,37c1c73398e7c4f476d7c3ae587afb8536256cb08157504ff3ef962258a4583f,25/06/2023 22:39:25,ESCANER
9551,"Sololá",7,"San Antonio Palopó",12,1187,247,43,33,9,1,57,143,2,0,145,0,145,1,247,102,143,145,145,,1,c578fae6fd8b881c7104980a8889571cf0f5fb1321891ad30216d555835b941e,25/06/2023 22:52:29,ESCANER
9552,"Sololá",7,"San Antonio Palopó",12,1188,257,14,14,6,1,13,48,5,2,55,0,55,--,257,202,48,55,55,Algún campo sin dato,1,2005f4a77712807272f9e4223d761e64092dfce14cefa08dd42487a87ae64a3d,25/06/2023 22:00:15,ESCANER
