TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
51,51,100.0000,51,100.0000,0,19179,15018,78.3043

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,VAMOS,CABAL,UNE,MLP,TODOS,AZUL,VICTORIA,SEMILLA,VOS,VIVA,PODEMOS,PPN,CCEA,CCSP,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
9553,"Sololá",7,"San Lucas Tolimán",13,1189,400,56,27,19,31,23,4,30,2,3,15,3,53,8,23,297,12,6,315,0,315,--,404,89,297,315,315,Algún campo sin dato,1,790e3070eb9b747141df0bbfbb50ef44d260b6579f97a7173a6ae0becf348847,26/06/2023 02:23:19,ESCANER
9554,"Sololá",7,"San Lucas Tolimán",13,1189,400,61,32,31,27,14,1,28,3,7,9,7,58,7,28,313,8,1,322,0,322,--,400,78,313,322,322,Algún campo sin dato,1,be239bacca0af649b20f51a85945ffe317a3f139c6ba8c88edb44691207658a0,26/06/2023 02:29:56,ESCANER
9555,"Sololá",7,"San Lucas Tolimán",13,1189,400,57,17,21,35,26,7,20,3,2,14,8,43,22,26,301,8,6,315,0,315,--,404,89,301,315,315,Algún campo sin dato,1,df97cca0a964a196c10550fec420a268f9cb1f99a82930f14641ae19fb04a226,26/06/2023 02:40:32,ESCANER
9556,"Sololá",7,"San Lucas Tolimán",13,1189,400,65,18,35,43,24,1,16,1,5,6,6,62,3,25,310,7,6,323,0,323,--,400,77,310,323,323,Algún campo sin dato,1,75de2945d5565cc03087f795d240b4839c37ad35f93db3d6dba6d9b9cad5b73e,26/06/2023 03:07:44,ESCANER
9557,"Sololá",7,"San Lucas Tolimán",13,1189,400,54,34,24,35,23,4,18,2,1,17,4,47,9,23,295,16,7,318,0,318,--,400,82,295,318,318,Algún campo sin dato,1,929b0ff75b80212152292ecc6a7cf81dc619b22877ffc3243ad54f59307b2867,26/06/2023 03:00:50,ESCANER
9558,"Sololá",7,"San Lucas Tolimán",13,1189,400,57,16,33,39,19,2,22,0,5,9,4,61,6,32,305,18,7,330,0,330,--,400,70,305,330,330,Algún campo sin dato,1,62223c353ac6cddee231d246f88913a757dbd93ef401239052b456ee6f1420f9,26/06/2023 02:36:19,ESCANER
9559,"Sololá",7,"San Lucas Tolimán",13,1189,400,60,22,22,43,21,4,28,2,3,8,5,65,3,28,314,6,4,324,0,324,--,404,80,314,324,324,Algún campo sin dato,1,2047c7f8f2204a686182cca10cc0b3f361425b843cbb717b62dd2a34c68adc04,26/06/2023 02:49:21,ESCANER
9560,"Sololá",7,"San Lucas Tolimán",13,1189,400,52,24,47,39,27,1,17,2,7,12,2,51,11,26,318,8,3,329,0,329,--,400,71,318,329,329,Algún campo sin dato,1,fb9268d465118d9e8ba88ade639d9d055bc62068693e64c1ae4289ca64919a90,26/06/2023 01:23:44,ESCANER
9561,"Sololá",7,"San Lucas Tolimán",13,1189,400,59,23,26,26,22,0,18,2,8,9,4,66,21,22,306,11,4,321,79,400,--,400,79,306,321,400,Algún campo sin dato,1,85c0ca9eeb4921435ea39f2adb80ae68ad65f832908cb75d69b6b57d5eda9245,26/06/2023 02:16:29,ESCANER
9562,"Sololá",7,"San Lucas Tolimán",13,1189,400,51,20,28,46,23,3,21,1,2,12,8,62,12,27,316,10,2,328,0,328,--,403,75,316,328,328,Algún campo sin dato,1,7517c193ac22ab493e6e2cf7acf2c07b96b6b8beedd25e52e3d548b4b48fb84f,26/06/2023 00:32:37,ESCANER
9563,"Sololá",7,"San Lucas Tolimán",13,1190,400,58,35,15,33,32,3,25,2,6,11,4,57,10,27,318,10,3,331,0,331,--,400,69,318,331,331,Algún campo sin dato,1,475f1e2202a4b7f22086dfd31bfea50466a5606f07ac52daa1ec53963a82e013,26/06/2023 01:45:09,ESCANER
9564,"Sololá",7,"San Lucas Tolimán",13,1190,400,65,30,28,29,32,2,13,0,3,16,5,70,19,20,332,13,3,16,0,348,--,400,52,332,348,348,Sumas Asentadas sin cuadrar,1,3323a123b8ef8477326d974e697e32a0fb6f7bc704b929f53fd12d903c102973,26/06/2023 01:20:43,ESCANER
9565,"Sololá",7,"San Lucas Tolimán",13,1190,400,67,16,21,47,34,2,22,0,7,8,5,48,11,26,314,15,4,333,0,333,--,400,67,314,333,333,Algún campo sin dato,1,436bc4bfae502076693390cdb91bdf08c90befe49257433a425b01a141193a8b,26/06/2023 00:47:14,ESCANER
9566,"Sololá",7,"San Lucas Tolimán",13,1190,400,60,23,35,31,27,1,36,1,5,16,3,42,7,23,310,4,1,315,0,315,--,400,85,310,315,315,Algún campo sin dato,1,70f707ad050ad9469ff60dd9c8740391a74d3398984bfc832169932696d87785,26/06/2023 00:33:46,ESCANER
