TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
11,11,100.0000,11,100.0000,0,3787,3152,83.2321

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,VAMOS,UNE,VIVA,VALOR UNIONISTA,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
9604,"Sololá",7,"Santa Cruz La Laguna",14,1198,400,245,86,4,7,342,6,2,350,0,350,--,400,50,342,350,350,Algún campo sin dato,1,f49a5e00564d1988faf37bde8bd23ea1a3b0487a69812afc38c078405bccd4c5,25/06/2023 23:49:27,ESCANER
9605,"Sololá",7,"Santa Cruz La Laguna",14,1198,400,265,86,8,3,362,2,4,368,0,368,--,400,32,362,368,368,Algún campo sin dato,1,f1b0f44036f033b111ec0bb662e6b7adf0094ea05c051f35c005dab8ab4cf77f,25/06/2023 23:21:25,ESCANER
9606,"Sololá",7,"Santa Cruz La Laguna",14,1198,400,249,65,2,3,319,3,4,326,0,326,--,400,74,319,326,326,Algún campo sin dato,1,a02ccb25084375b913449c06165dfc30859ab61d41abea1f5f9a784688df24b1,26/06/2023 00:22:21,ESCANER
9607,"Sololá",7,"Santa Cruz La Laguna",14,1199,286,172,58,3,1,234,2,3,239,0,239,--,281,42,234,239,239,Algún campo sin dato,1,8b9a91c45c9b8064fbc3bd1a0579c3d41000a3ae785e8503382f6907e515cd37,25/06/2023 22:59:40,ESCANER
9608,"Sololá",7,"Santa Cruz La Laguna",14,1199,285,150,54,6,2,212,0,0,212,0,212,--,283,71,212,212,212,Algún campo sin dato,1,f298bff84de2fe39a6fa20e5e99197afca8fa12e3819c199eb5cb2f665c0e560,25/06/2023 22:22:28,ESCANER
9609,"Sololá",7,"Santa Cruz La Laguna",14,1200,380,172,140,0,4,316,6,11,333,0,333,--,382,49,316,333,333,Algún campo sin dato,1,c492594d724f64c532e38a09102f8e47e98691f922b25fadad8e7dbffcc2c81a,26/06/2023 01:43:35,ESCANER
9610,"Sololá",7,"Santa Cruz La Laguna",14,1200,380,187,126,1,6,320,1,6,327,0,327,--,382,53,320,327,327,Algún campo sin dato,1,ea38a09196b10808912a19ad3da6d3580b1896533715e66b9e880ceef819dac0,26/06/2023 01:40:22,ESCANER
9611,"Sololá",7,"Santa Cruz La Laguna",14,1200,380,180,132,0,1,313,4,3,320,0,320,--,300,60,313,320,320,Algún campo sin dato,1,d74eebbbc4cb2baf6572b90542170638a6c218a37afff76e1f823ae6ed75f166,25/06/2023 23:48:29,ESCANER
9612,"Sololá",7,"Santa Cruz La Laguna",14,1200,380,152,126,2,7,287,0,7,294,0,294,--,382,88,287,294,294,Algún campo sin dato,1,17b1a7bc23fbd656283436ac3dd14bb01c1298acb8e9eeb4313f9898b24c06cd,25/06/2023 22:42:33,ESCANER
9613,"Sololá",7,"Santa Cruz La Laguna",14,1200,248,110,80,0,4,194,0,0,194,--,--,--,243,49,194,194,194,Algún campo sin dato,1,c31e6c0f043691dd719c83a269761d571afe563fbd69b249886785f8eaddb8fd,25/06/2023 23:31:01,ESCANER
9614,"Sololá",7,"Santa Cruz La Laguna",14,1200,248,96,91,0,0,187,2,0,189,0,189,--,246,57,187,189,189,Algún campo sin dato,1,98e65d4e3a36ba341f4a4d1f1343c1f8247e4bf12d96d9a6acccc4da9001ddb5,25/06/2023 21:24:55,ESCANER
