TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
28 junio 2023 21:35 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
14,14,100.0000,14,100.0000,0,5417,4614,85.1762

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,VAMOS,AZUL,UNE,CABAL,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
9615,"Sololá",7,"San Pablo La Laguna",15,1201,400,140,22,106,61,329,2,2,333,0,333,--,403,70,329,333,333,Algún campo sin dato,1,2936ae03096fe0d42a87651d5f1cfe40747f8e9dd73829e2f106181a8e67ea59,26/06/2023 04:00:47,MOVIL
9616,"Sololá",7,"San Pablo La Laguna",15,1201,400,132,29,114,58,333,5,8,346,0,346,--,400,54,333,346,346,Algún campo sin dato,1,b4921f3a3a7640b2dc22c7a38c3fc1424fd27ea6316fe25969737e6bd568d651,26/06/2023 01:27:02,ESCANER
9617,"Sololá",7,"San Pablo La Laguna",15,1201,400,164,28,91,54,337,8,3,348,0,348,--,399,51,337,348,348,Algún campo sin dato,1,48cad561b2cacb70d1214d8232e6ea343893109f24eaf53e7a497074f7c02196,26/06/2023 03:39:08,ESCANER
9618,"Sololá",7,"San Pablo La Laguna",15,1202,400,161,25,111,55,352,9,3,364,0,364,--,399,35,352,364,364,Algún campo sin dato,1,14e6361019ce7b059584c811dc470915c3392793a6c148feebf7e940bb1cacab,26/06/2023 03:50:32,ESCANER
9619,"Sololá",7,"San Pablo La Laguna",15,1202,400,166,32,97,63,358,9,7,374,0,374,--,400,26,358,374,374,Algún campo sin dato,1,4f57a82a45dfd5b1e545cc46a43ffab9c7d136bb2ba88de88d9503d4046c1be0,26/06/2023 04:00:16,ESCANER
9620,"Sololá",7,"San Pablo La Laguna",15,1202,400,152,34,111,66,363,6,6,375,0,375,--,399,24,363,375,375,Algún campo sin dato,1,f67465d80198d10feb98c03534cb39bc68e332e66c9abcbd565d7f49962db399,26/06/2023 03:50:50,ESCANER
9621,"Sololá",7,"San Pablo La Laguna",15,1203,400,143,33,97,74,347,8,5,360,1,361,--,399,38,347,360,361,Algún campo sin dato,1,a45a580106d57789730eb229765f488feed5d5185e290da4fbf76ac01af138af,26/06/2023 03:47:55,ESCANER
9622,"Sololá",7,"San Pablo La Laguna",15,1203,400,134,25,101,64,324,5,1,330,0,330,--,400,70,324,330,330,Algún campo sin dato,1,014cf9e7e07064880a610bbb5c445c592d62f358e207f39e560bf2029af4ca3b,26/06/2023 03:36:27,ESCANER
9623,"Sololá",7,"San Pablo La Laguna",15,1203,400,122,22,110,56,310,4,1,315,0,315,--,399,84,310,315,315,Algún campo sin dato,1,c228bf0dc5ee6502153c6bfc30c6f4cf789c7eb7fd667874e9c177e0cf36e010,26/06/2023 03:50:11,ESCANER
9624,"Sololá",7,"San Pablo La Laguna",15,1203,400,119,25,111,56,311,5,3,319,0,319,--,399,80,311,319,319,Algún campo sin dato,1,113f1406a009b1c4cbce31b47cceb0a846a3f0deaca3cb5f71b351dcfb33639c,26/06/2023 02:54:47,ESCANER
9625,"Sololá",7,"San Pablo La Laguna",15,1203,400,105,27,120,60,312,3,0,315,0,315,--,403,88,312,315,315,Algún campo sin dato,1,e56438d3d7ddd54e044041d0bd606919c091bd7f3a941a5d545c9fa93e6e9a84,26/06/2023 01:11:08,ESCANER
9626,"Sololá",7,"San Pablo La Laguna",15,1203,400,135,25,105,58,323,1,0,324,0,324,--,400,76,323,324,324,Algún campo sin dato,1,46a5bdbfb5154a765d82c25bcdd9980c3e70f85a2c92fb586e8b7d923ece3fd7,26/06/2023 04:09:52,ESCANER
9627,"Sololá",7,"San Pablo La Laguna",15,1203,309,97,27,86,51,261,2,0,263,0,263,--,309,46,261,263,263,Algún campo sin dato,1,b5692a84d6582507bb26ba8f523c7fa6792f4065c1ba6b86cb384b572a462ced,26/06/2023 02:13:19,ESCANER
9628,"Sololá",7,"San Pablo La Laguna",15,1203,308,89,30,78,48,245,2,1,248,0,248,--,305,57,245,248,248,Algún campo sin dato,1,c2b0d29faca0f906b3305a3fe20014ac8f73480e1f2423c47cf4cd524e08bbb2,26/06/2023 02:31:34,ESCANER
