TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
28 junio 2023 21:35 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
23,23,100.0000,22,95.6521,1,8056,6994,86.8172

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,VAMOS,CABAL,UNE,TODOS,VALOR UNIONISTA,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
9634,"Sololá",7,"San Juan La Laguna",17,1205,400,225,1,11,106,4,347,4,0,351,0,351,--,400,49,347,351,351,Algún campo sin dato,1,35c0ae0b73d217908c06e0469809883ee811d7f5bdb7e206d468fcd4fb3f55b2,26/06/2023 00:48:27,ESCANER
9635,"Sololá",7,"San Juan La Laguna",17,1205,400,209,2,9,142,1,363,5,0,368,0,368,0,400,32,363,368,368,,1,9a711f805d49a2060166c61c545ab572e03c4f3a8f8390c29a288aa724119c7a,26/06/2023 00:53:10,ESCANER
9636,"Sololá",7,"San Juan La Laguna",17,1205,400,189,1,7,168,0,365,2,0,367,0,367,0,400,33,365,367,367,,1,96a817ed77b668310c4ba8522189b2e0e10a070082a037a3e99bf57dd1af45a0,26/06/2023 00:32:27,ESCANER
9637,"Sololá",7,"San Juan La Laguna",17,1205,400,199,0,4,177,0,380,2,0,382,0,382,0,400,18,380,382,382,,1,f8e170f9d5bd5d0429b2a226bf138bbad08a41668438c6d64a9e0a441a419560,26/06/2023 00:20:49,ESCANER
9638,"Sololá",7,"San Juan La Laguna",17,1205,400,219,0,12,141,0,372,2,0,374,0,374,--,400,26,372,374,374,Algún campo sin dato,1,89dd7ffe5f409da1f84752ea4b581094a031a657369ed89a318d62184472ae26,26/06/2023 01:09:40,ESCANER
9639,"Sololá",7,"San Juan La Laguna",17,1206,400,192,0,6,166,1,365,6,0,371,0,371,--,400,29,365,371,371,Algún campo sin dato,1,51c9973d64201b447aa09700f246523aeabe7c3302efbcdd447a03fdc241144c,26/06/2023 00:47:04,ESCANER
9640,"Sololá",7,"San Juan La Laguna",17,1206,400,209,--,9,114,1,333,0,0,333,0,333,--,400,67,333,333,333,Algún campo sin dato,1,030da88a0e69bc9701ad917a608d38aa1bee9bb6c3a44d59573a5eaa96bc555e,26/06/2023 02:13:34,ESCANER
9641,"Sololá",7,"San Juan La Laguna",17,1206,400,205,6,6,108,2,321,3,0,324,0,324,--,400,76,327,330,330,Sumas Asentadas sin cuadrar,1,04d9a7b58b117bfc211ec4f1804f02cefad486223488e79f6f948a7ca3d78d93,25/06/2023 23:02:26,ESCANER
9642,"Sololá",7,"San Juan La Laguna",17,1206,400,215,1,5,115,1,337,4,0,341,0,341,--,400,59,337,341,341,Algún campo sin dato,1,c426b127f6862db04863bcf1643c2c19ac1ac3f1f042db7beabc842baad11e10,25/06/2023 23:20:46,ESCANER
9643,"Sololá",7,"San Juan La Laguna",17,1207,400,173,0,6,142,1,322,5,0,327,0,327,1,400,73,322,327,327,,1,43531eaffc2f23dfdd4ca5a81fbb88b699d0f4b545258abff7e369ee28697f94,26/06/2023 00:38:46,ESCANER
