TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
28 junio 2023 21:35 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
22,22,100.0000,22,100.0000,0,8532,7239,84.8452

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,VAMOS,CABAL,WINAQ,VIVA,TODOS,UNE,MLP,VALOR UNIONISTA,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
9657,"Sololá",7,"San Pedro La Laguna",18,1211,400,51,111,16,119,7,2,0,26,332,6,2,340,0,340,--,400,60,332,340,340,Algún campo sin dato,1,7f4a39f4412627d1cc2b290c192514f9b74bcda1d8ed566ea01f624221cb99d8,26/06/2023 01:33:44,ESCANER
9658,"Sololá",7,"San Pedro La Laguna",18,1211,400,52,102,13,132,9,2,0,26,336,5,2,343,0,343,--,400,57,336,343,343,Algún campo sin dato,1,c97d6d18ba4a6050d28114f1e959c4f91c4d111493c2a3c8c521bee19ecd315c,25/06/2023 23:17:43,ESCANER
9659,"Sololá",7,"San Pedro La Laguna",18,1211,400,48,108,10,134,6,2,1,27,336,8,2,346,0,346,--,400,54,336,346,346,Algún campo sin dato,1,8b35038958dde52f24fffacbb75bb0c23360b9114910a8997dd9c417ea2b13d9,26/06/2023 01:06:37,ESCANER
9660,"Sololá",7,"San Pedro La Laguna",18,1211,400,41,132,17,119,3,1,1,36,350,6,2,358,0,358,1,400,42,350,358,358,,1,4afebdca1fb2032110557fae451f1d1b85c8bc9974ba1bf2e0b1c55f2d1903d6,26/06/2023 00:55:13,ESCANER
9661,"Sololá",7,"San Pedro La Laguna",18,1211,400,45,110,12,151,4,1,1,32,356,5,0,361,0,361,--,400,39,356,361,361,Algún campo sin dato,1,a14c08428b1435f2298f4db8b8ce39e70c65304d35593f152b62502717b5a699,26/06/2023 00:06:40,ESCANER
9662,"Sololá",7,"San Pedro La Laguna",18,1211,400,51,115,22,123,6,1,0,39,357,6,0,363,0,363,--,400,37,357,363,363,Algún campo sin dato,1,70c0f09a1a6190a39e68a44b5ae69f647ab92c64fc057268ad03ceb991b47ffc,26/06/2023 00:30:08,ESCANER
9663,"Sololá",7,"San Pedro La Laguna",18,1212,400,46,140,19,115,4,2,0,31,357,6,2,365,0,365,--,400,35,357,365,365,Algún campo sin dato,1,3f10c2a45b294de8af5b91179fc3a9d1f07a98dff3b972d4a99d82e5e942d8bc,25/06/2023 23:40:47,ESCANER
9664,"Sololá",7,"San Pedro La Laguna",18,1212,400,55,138,6,125,5,1,0,38,368,5,3,376,0,376,--,--,--,368,376,376,Algún campo sin dato,1,393d5105f0ea14ba4d59a61d87bdd5b69b7e17420917311f847a065777625971,25/06/2023 23:08:18,ESCANER
9665,"Sololá",7,"San Pedro La Laguna",18,1212,400,33,137,13,131,5,1,0,32,352,6,1,359,0,359,--,400,41,352,359,359,Algún campo sin dato,1,0f4ec3b893ddba65dd12665cc1fe3528cd9c4079054799496567a63648eaa66f,26/06/2023 00:45:06,ESCANER
9666,"Sololá",7,"San Pedro La Laguna",18,1212,400,43,132,17,132,6,2,0,26,358,5,1,364,0,364,--,401,37,358,364,364,Algún campo sin dato,1,47016d9b0961e2599ec4c0549c2af08b74feed9daf8eb68f905727554a32291a,26/06/2023 00:02:23,ESCANER
9667,"Sololá",7,"San Pedro La Laguna",18,1212,400,48,109,7,144,6,2,0,35,351,5,0,356,0,356,--,400,44,351,356,356,Algún campo sin dato,1,085980d3ced6f6face7401c7fdc3437180cc9302ecc8a0ee7195049f00b70c3f,26/06/2023 00:24:51,ESCANER
9668,"Sololá",7,"San Pedro La Laguna",18,1212,400,35,126,19,97,1,0,3,31,312,3,2,317,0,317,--,400,83,312,317,317,Algún campo sin dato,1,140f493a372f2c9a8bef78910f0417398ecf3c182d5f0450680600e2df5007bd,25/06/2023 23:26:44,ESCANER
9669,"Sololá",7,"San Pedro La Laguna",18,1212,400,45,95,20,115,3,2,3,26,309,3,0,312,0,312,1,400,88,309,312,312,,1,4d237899326d7d0fdffc4a199442b5cb97c9c40c765091c2837586bc9057f98a,26/06/2023 01:06:30,ESCANER
9670,"Sololá",7,"San Pedro La Laguna",18,1213,400,36,97,24,115,7,3,0,33,315,5,1,321,0,321,--,399,78,315,321,321,Algún campo sin dato,1,83449b92dff5bba56af36aff828aecb57354000a252437cda959bf8fb6d240aa,25/06/2023 23:23:22,ESCANER
9671,"Sololá",7,"San Pedro La Laguna",18,1213,400,52,96,24,104,11,5,1,26,319,2,1,322,0,322,--,400,78,319,322,322,Algún campo sin dato,1,ee891988dcc1e8e0a133f069634c9ebfe3e79ae45d5e9cfcdefd5b8fa739578b,25/06/2023 22:35:25,ESCANER
9672,"Sololá",7,"San Pedro La Laguna",18,1213,400,50,112,9,104,7,3,2,26,313,9,1,323,0,323,--,400,77,313,323,323,Algún campo sin dato,1,86811181656d3dfad2e74f11b6ab51bc342f08776057f1bb6781d45d59893009,26/06/2023 01:12:57,ESCANER
9673,"Sololá",7,"San Pedro La Laguna",18,1213,400,35,111,28,117,5,3,1,24,324,3,0,327,0,327,--,400,73,324,327,327,Algún campo sin dato,1,bfbaebc594a28dfce2e3228e913f5a0c368140a7a71e49f8f29450ad5fc9af0f,26/06/2023 00:32:53,ESCANER
9674,"Sololá",7,"San Pedro La Laguna",18,1214,400,41,108,18,112,6,5,0,26,316,0,1,317,0,317,--,400,83,316,317,317,Algún campo sin dato,1,4826fa7dafc211df28d2b56688a1809377e67a675b89068be700d3e67fe99b75,25/06/2023 23:35:33,ESCANER
9675,"Sololá",7,"San Pedro La Laguna",18,1214,400,28,126,21,113,9,2,0,24,323,2,0,325,0,325,--,400,75,323,325,325,Algún campo sin dato,1,deefe998375ffd936f13a8e28a171bc8e8f3f88dc8b2b3720c280bcabf2adac0,26/06/2023 01:47:25,ESCANER
9676,"Sololá",7,"San Pedro La Laguna",18,1214,400,40,131,16,109,2,1,0,30,329,1,0,330,0,330,--,400,70,329,330,330,Algún campo sin dato,1,7b46d9b0da0618f224e6735d9b9952bd99d1e9075a6b804f2ff9afe4f1324dc6,25/06/2023 23:03:36,ESCANER
9677,"Sololá",7,"San Pedro La Laguna",18,1214,266,24,75,17,73,2,1,1,17,210,2,0,212,0,212,--,266,54,210,212,212,Algún campo sin dato,1,cd4a2222594fa813ec118cbef19b6e014d8a182f7a413b8a05a27a89d2f9a250,25/06/2023 21:55:37,ESCANER
9678,"Sololá",7,"San Pedro La Laguna",18,1214,266,23,76,10,74,3,0,0,12,198,3,1,202,0,202,1,266,64,198,202,202,,1,a67abb5741ecb33ec29675cd56576d53a236789f8b3f57e78eb7999c36e6d6b7,25/06/2023 22:11:00,ESCANER
