TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
28 junio 2023 21:35 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
70,70,100.0000,70,100.0000,0,26720,21105,78.9857

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,VAMOS,VIVA,CABAL,UNE,AZUL,CAMBIO,ELEFANTE,CREO,VOS,TODOS,VALOR UNIONISTA,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
9679,"Sololá",7,"Santiago Atitlán",19,1215,400,50,91,111,1,4,16,25,1,21,5,3,328,7,1,336,0,400,--,400,64,328,336,336,Sumas Asentadas sin cuadrar,1,cd433436b104abd87c64ae28f843359172ed40dca354753637e72c7afd7c3ddc,26/06/2023 00:43:53,ESCANER
9680,"Sololá",7,"Santiago Atitlán",19,1215,400,46,105,96,1,3,15,30,1,13,2,2,314,8,6,328,--,328,--,400,72,314,328,328,Algún campo sin dato,1,dc4ba52f8c75b71121329f0e2c76606c79309b60f298313e628a45938f37708e,25/06/2023 22:45:25,ESCANER
9681,"Sololá",7,"Santiago Atitlán",19,1215,400,55,85,98,5,0,23,33,1,16,0,6,322,10,4,336,0,336,--,400,64,322,336,336,Algún campo sin dato,1,64cfbd8494b972cce975b605a8a3e92db5f0da537311693beec24fdce6d5a4c1,25/06/2023 21:18:56,ESCANER
9682,"Sololá",7,"Santiago Atitlán",19,1215,400,57,80,112,3,1,22,20,2,13,2,4,316,7,2,325,0,325,--,400,75,316,325,325,Algún campo sin dato,1,720e347edd17b2d20d54796294e11d4eca8459919e6a23b76b0179a198505506,26/06/2023 00:38:19,ESCANER
9683,"Sololá",7,"Santiago Atitlán",19,1215,400,59,76,97,1,3,21,32,2,15,0,6,312,9,5,326,0,326,--,400,74,312,326,326,Algún campo sin dato,1,530d6e65b768d83b4e6e7a8f8fd0004e52a1d68f3f9c8b1c00ba4e46d2aaa1d3,26/06/2023 00:26:48,ESCANER
9684,"Sololá",7,"Santiago Atitlán",19,1215,400,51,91,106,4,1,23,34,1,20,5,7,343,11,3,357,0,357,--,400,43,343,357,357,Algún campo sin dato,1,5f93ba0df551f2d63812b4c310e76d5444e2d6bca4d3e3b47a737c0001d21348,26/06/2023 01:29:17,ESCANER
9685,"Sololá",7,"Santiago Atitlán",19,1215,400,56,121,76,8,1,12,36,0,17,3,3,333,6,5,338,0,344,--,400,56,333,344,344,Sumas Asentadas sin cuadrar,1,7de85143073adff92cc495b4d8b024293a6af770649a6702f3e1d0339a3d2975,26/06/2023 01:30:11,ESCANER
9686,"Sololá",7,"Santiago Atitlán",19,1215,400,54,96,88,3,0,25,30,0,15,2,5,318,5,3,326,0,326,--,400,74,318,326,326,Algún campo sin dato,1,fff2682e9115a0bc849430431bd6a29435ca4944f11d0ac5d2d2f99f1b217aa7,25/06/2023 22:07:51,ESCANER
9687,"Sololá",7,"Santiago Atitlán",19,1215,400,48,110,101,2,1,13,35,5,12,2,4,333,11,2,346,0,346,--,400,54,333,346,346,Algún campo sin dato,1,9ada2ebbbac116b304ef8e14fe6833e653ac493ca43c00574e52f3b752debb2e,26/06/2023 00:51:17,ESCANER
9688,"Sololá",7,"Santiago Atitlán",19,1215,400,47,95,118,3,1,19,26,2,13,4,7,335,9,5,349,0,349,--,400,51,335,349,349,Algún campo sin dato,1,36f7038acd996e7cd520aff6db5763f4d0c51d57a0d1015adf7b8bd4b713e5f3,26/06/2023 01:32:48,ESCANER
9689,"Sololá",7,"Santiago Atitlán",19,1216,400,48,108,98,2,8,19,28,1,10,1,2,325,16,5,0,0,0,--,--,--,325,346,346,Algún campo sin dato,1,f37d235973e9cfcd2145a256e86d907e68f916635ca9f67caacca95b08eb50e8,26/06/2023 00:36:58,ESCANER
9690,"Sololá",7,"Santiago Atitlán",19,1216,400,39,100,100,5,3,15,35,2,19,4,6,328,9,3,340,0,340,--,400,60,328,340,340,Algún campo sin dato,1,b5ca709746eb4399ab17c30f532258514c809336e16e76a1475832de0d350250,25/06/2023 23:23:49,ESCANER
9691,"Sololá",7,"Santiago Atitlán",19,1216,400,64,110,82,2,2,23,30,2,17,3,4,339,5,4,348,0,348,--,400,52,339,348,348,Algún campo sin dato,1,a25a96a028cdfbddc9366b0e23e370d9d77f9d5468afb8ed729bcece57713a9f,26/06/2023 00:40:47,ESCANER
9692,"Sololá",7,"Santiago Atitlán",19,1216,400,64,107,100,0,2,12,38,1,13,2,1,--,4,8,352,1,353,--,--,--,340,352,353,Algún campo sin dato,1,dcdd406db15ff441d42984392cd1e2c38273adeed11dab572c1a7810583a71a3,26/06/2023 01:56:05,ESCANER
9693,"Sololá",7,"Santiago Atitlán",19,1216,400,55,102,95,3,6,28,23,1,12,3,3,331,13,0,344,0,344,--,400,56,331,344,344,Algún campo sin dato,1,e37d9c11a424d521fe2ab4b69425885e0a0c0d675739ee19866af6d7cac6361f,26/06/2023 01:35:04,ESCANER
9694,"Sololá",7,"Santiago Atitlán",19,1216,400,43,101,110,1,1,19,24,1,21,1,8,330,3,2,--,--,335,--,400,65,330,335,335,Algún campo sin dato,1,44e449ca43d1a2f51e76ae77b1c97dc491fab381fdc349e9bece54ef6a51a97a,25/06/2023 22:37:45,ESCANER
9695,"Sololá",7,"Santiago Atitlán",19,1216,400,40,97,108,5,3,14,32,1,20,2,4,326,5,4,335,0,335,--,400,65,326,335,335,Algún campo sin dato,1,bbf032c895c10e27825b333bf3819abd4436956a7b1bda44bbace567a4a65653,26/06/2023 00:50:20,ESCANER
