TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
65,65,100.0000,65,100.0000,0,24299,13892,57.1710

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,CABAL,AZUL,SEMILLA,BIEN,VIVA,UNE,VAMOS,VOS,VICTORIA,CAMBIO,VALOR,PODEMOS,PPN,MLP,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
9936,"Totonicapán",8,"San Cristóbal Totonicapán",2,1270,400,37,8,10,27,2,23,24,55,0,1,24,12,15,4,242,16,4,262,0,262,--,400,138,242,262,262,Algún campo sin dato,1,7026db22d87ede27daece07e9c7be5cf86588bd351106b8ae8b577f8367082af,25/06/2023 23:29:42,ESCANER
9937,"Totonicapán",8,"San Cristóbal Totonicapán",2,1270,400,43,14,16,24,2,22,21,59,3,1,24,17,20,4,270,21,3,294,0,294,0,400,106,270,294,294,,1,6b9f67d25b45dfcf92db93964ad1c79f3cb6b57c5a5b4c72b202235a06a1cec2,26/06/2023 03:07:23,ESCANER
9938,"Totonicapán",8,"San Cristóbal Totonicapán",2,1270,400,37,18,13,32,10,18,18,66,3,0,22,11,18,3,269,14,3,286,0,286,--,400,114,269,286,286,Algún campo sin dato,1,c1e54328de8dc67cd37c03253571d20c5da243f1fcc6576135ee7a56917ce594,26/06/2023 00:18:16,ESCANER
9939,"Totonicapán",8,"San Cristóbal Totonicapán",2,1270,400,26,5,16,24,8,20,50,39,1,0,31,20,8,9,257,22,5,284,0,284,--,400,116,257,284,284,Algún campo sin dato,1,7fb3cc3ecb88f7018183e7adeb7f9778e1c5b4ca8c7e9b8245f527ecc61e9f83,25/06/2023 22:51:22,ESCANER
9940,"Totonicapán",8,"San Cristóbal Totonicapán",2,1271,400,26,7,9,22,8,20,29,35,1,2,38,21,14,6,238,10,4,252,0,252,--,400,148,238,252,252,Algún campo sin dato,1,e7e3d585a095dcc7112098d7160fcf94b7c22d4864aec34ec2d03b39ab40302c,26/06/2023 01:54:27,ESCANER
9941,"Totonicapán",8,"San Cristóbal Totonicapán",2,1272,400,55,7,8,21,6,18,19,63,1,1,21,13,15,2,250,11,1,262,0,262,--,400,138,250,262,262,Algún campo sin dato,1,5d81075c1f68ccfd062f92eb88f543ef5e9432f458c643f57eb6308df776a945,26/06/2023 00:17:20,ESCANER
9942,"Totonicapán",8,"San Cristóbal Totonicapán",2,1272,400,47,19,9,23,2,20,15,61,2,1,16,18,14,2,249,9,0,258,0,258,--,400,142,249,258,258,Algún campo sin dato,1,fd307988a84866bcc4178459c33d5292c1bab9088f0da7a12fc39c696894e786,26/06/2023 00:34:00,ESCANER
9943,"Totonicapán",8,"San Cristóbal Totonicapán",2,1272,400,38,9,14,23,4,21,36,62,4,0,16,13,25,3,268,3,6,277,8,285,--,400,115,268,277,285,Algún campo sin dato,1,a491c58ff69a6d27e27821fffcdfa2bcb1b80ea641f49aaa3038372bd38f8b61,26/06/2023 00:01:44,ESCANER
9944,"Totonicapán",8,"San Cristóbal Totonicapán",2,1272,400,51,6,19,34,5,14,15,53,1,0,20,13,17,1,249,3,4,256,7,263,--,400,137,249,256,263,Algún campo sin dato,1,c2005ba3b2369c139a0de2705ef8852a3e61c168047f05e8f080c7642f18e59e,25/06/2023 23:26:54,ESCANER
9945,"Totonicapán",8,"San Cristóbal Totonicapán",2,1272,400,55,13,11,22,3,20,26,41,2,1,13,7,15,1,230,10,7,247,0,247,0,400,153,230,247,247,,1,2f2aae0266da8afe679e54e51cbe9c7fb0c0cde2a05427777394a571b9b6a35a,26/06/2023 00:52:48,ESCANER
