TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
94,94,100.0000,94,100.0000,0,33993,20959,61.6568

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,BIEN,VALOR,UNE,CABAL,VAMOS,VOS,VICTORIA,CAMBIO,MLP,PPN,PODEMOS,AZUL,CREO,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
10001,"Totonicapán",8,"San Francisco El Alto",3,1289,400,31,13,44,23,111,4,10,2,3,7,8,1,2,259,15,1,275,0,275,0,400,125,259,275,275,,1,9dba502d52a2acd53af68c78cacce8478228849c065f81f6cff5f52d436bf24c,25/06/2023 23:23:29,ESCANER
10002,"Totonicapán",8,"San Francisco El Alto",3,1289,400,39,6,59,29,102,5,8,1,1,10,10,3,3,276,21,2,299,0,299,0,400,101,276,299,299,,1,dee3079d5cbd4d44e46b2ba885b97292b3d213adf514e2a70bde791f36604c1d,25/06/2023 23:49:32,ESCANER
10003,"Totonicapán",8,"San Francisco El Alto",3,1289,400,30,7,50,16,101,3,12,3,4,12,5,2,3,248,13,5,266,0,267,1,400,133,248,266,266,Sumas Asentadas sin cuadrar,1,5568f4a6a7f52825a12cb3f68748c44f2630ad927661ea822ceca2801f602717,26/06/2023 00:19:04,ESCANER
10004,"Totonicapán",8,"San Francisco El Alto",3,1289,400,27,10,54,21,99,3,9,0,2,5,8,1,2,241,12,6,259,0,259,0,400,141,241,259,259,,1,968c8c2358ad8c8f24f4485ae1255f17f2a27a27d0e8127ff811d187ea034dec,25/06/2023 23:15:09,ESCANER
10005,"Totonicapán",8,"San Francisco El Alto",3,1290,400,39,12,57,28,100,2,4,0,0,5,3,2,1,253,12,2,267,0,267,0,399,132,253,267,267,,1,892fef3189e2f769d5842e4e8160e91b5fc4a0939099bbfb6934441fa551119c,25/06/2023 22:10:27,ESCANER
10006,"Totonicapán",8,"San Francisco El Alto",3,1290,400,32,16,54,27,120,1,9,2,0,4,7,0,5,277,7,2,286,0,286,0,396,110,277,286,286,,1,769b53ff176817e675e39040dc2df3fba51f36b37be9734f3496367743c26f61,25/06/2023 23:43:00,ESCANER
10007,"Totonicapán",8,"San Francisco El Alto",3,1290,380,26,10,58,19,83,5,4,1,3,12,3,1,2,227,7,1,235,0,235,0,379,144,227,235,235,,1,9d6fc24d014511fb6ca3cdc766593fc82a0aef10e8b293e716d82b8fecda4d1d,25/06/2023 23:51:35,ESCANER
10008,"Totonicapán",8,"San Francisco El Alto",3,1290,379,19,5,66,16,66,1,3,0,2,4,7,0,1,190,3,2,195,0,195,0,379,184,190,195,195,,1,13698b30081dd55f1be54c93384cc8cdc6a04c9b49a2fb9ea981e8e0643c098e,25/06/2023 21:58:00,ESCANER
10009,"Totonicapán",8,"San Francisco El Alto",3,1291,400,20,10,68,33,103,16,6,1,3,4,3,0,2,269,10,7,286,0,286,1,400,113,269,286,286,,1,b0555b33702014b456c5ca7221bc9d0a72b0264dfd273c1d9196612e6e16641b,25/06/2023 21:55:25,ESCANER
10010,"Totonicapán",8,"San Francisco El Alto",3,1291,400,15,8,74,31,86,25,3,5,4,6,3,3,0,263,16,15,294,0,294,--,397,103,263,294,294,Algún campo sin dato,1,ce066ddc6f89a7a0a3a9810435df19ebcd0fe7e540c008c58119b053f7bb4c88,25/06/2023 23:38:14,ESCANER
