TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
28 junio 2023 21:35 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
49,49,100.0000,49,100.0000,0,18190,13802,75.8768

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,BIEN,UNE,CABAL,VIVA,SEMILLA,U R N G - MAIZ,UR,CAMBIO,VICTORIA,AZUL,MLP,VALOR,PODEMOS,WINAQ,TODOS,PPN,VAMOS,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
10095,"Totonicapán",8,"San Andrés Xecul",4,1307,400,17,130,11,2,5,0,4,18,7,1,1,8,12,1,7,22,29,275,13,8,296,0,296,0,400,104,275,296,296,,1,15bc39325a8102f43eb22c7eaa3e22dc6aae79dab25a1879a2352c33b1175d56,25/06/2023 23:00:36,ESCANER
10096,"Totonicapán",8,"San Andrés Xecul",4,1307,400,10,140,12,3,9,5,4,14,8,0,2,7,12,3,11,23,35,298,20,4,322,0,322,0,400,78,298,322,322,,1,58ac098ba8cc07dcbcacdcc54a1099778d452bbf88baf2c8b2dc9f18eae26b77,25/06/2023 23:03:58,ESCANER
10097,"Totonicapán",8,"San Andrés Xecul",4,1307,400,11,133,13,7,4,3,3,22,3,1,3,11,9,2,13,24,40,302,19,4,325,0,325,0,400,75,302,325,325,,1,ea46d9782f66f3b4b82e977c81ef6f94ce2a72ddecd24460c6df9bd7d4775ea5,25/06/2023 23:41:07,ESCANER
10098,"Totonicapán",8,"San Andrés Xecul",4,1307,400,19,180,15,3,6,1,3,15,2,1,1,4,8,0,6,21,29,314,10,7,331,0,331,0,400,69,314,331,331,,1,496759b1f0c1e9eeaa36d1db6f8aa22fb4644a14e3f83b6edccb671486ea895b,26/06/2023 00:48:54,ESCANER
10099,"Totonicapán",8,"San Andrés Xecul",4,1307,400,16,179,15,4,6,0,2,19,4,0,2,2,12,0,5,23,13,302,10,8,320,0,320,0,400,80,302,320,320,,1,3d385660f21a8c50fdfba18e793577c0ef68b4851720e4f889531090b16ea5d2,26/06/2023 00:01:43,ESCANER
10100,"Totonicapán",8,"San Andrés Xecul",4,1308,400,9,168,18,7,2,3,6,12,5,0,0,5,10,0,8,17,10,280,15,10,305,0,305,0,400,95,280,305,305,,1,bc23b87e3f5999797639b59a35debd6f4c1799342f6d08fce63a765a88d0fd6c,25/06/2023 23:25:26,ESCANER
10101,"Totonicapán",8,"San Andrés Xecul",4,1308,400,12,122,12,3,4,1,0,17,8,2,0,3,11,1,4,17,24,241,6,4,251,0,251,0,400,149,241,251,251,,1,783b1bb23900ee829074950cc574222d17c761734a8d08291f9de5b0ebe48c54,25/06/2023 22:00:16,ESCANER
10102,"Totonicapán",8,"San Andrés Xecul",4,1308,400,9,129,17,3,5,1,2,16,8,1,1,5,8,4,3,11,28,251,5,1,257,0,257,0,400,143,251,257,257,,1,0a6d96f4c3ccb60caaf2bafceb6c16d0b1b4e4e665d54971cfe2441815ee6172,25/06/2023 23:06:06,ESCANER
10103,"Totonicapán",8,"San Andrés Xecul",4,1308,400,9,128,12,1,2,0,1,19,4,0,0,4,9,0,6,17,21,233,5,2,240,0,240,0,400,160,233,240,240,,1,19361989d5348b9129646732a4d2d5b4cf23a3b46b41bfabb7dec4d0ac5ff6bf,25/06/2023 23:38:25,ESCANER
10104,"Totonicapán",8,"San Andrés Xecul",4,1308,400,8,107,15,4,3,0,1,18,6,1,0,6,7,3,8,20,26,233,2,1,236,0,236,0,398,162,233,236,236,,1,905a5ec39da3b334de22292ac1e0068189cdf6bee487ab12e187b788596ab999,25/06/2023 22:51:53,ESCANER
