TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
28 junio 2023 21:35 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
133,133,100.0000,133,100.0000,0,51063,25671,50.2731

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,TODOS,BIEN,MLP,CCM,UNE,VIVA,UR,VAMOS,WINAQ,AZUL,CABAL,VALOR,VICTORIA,PPN,VOS,CAMBIO,CREO,PODEMOS,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
10144,"Totonicapán",8,"Momostenango",5,1320,400,10,39,12,17,25,4,6,13,11,1,36,26,2,2,3,12,2,2,241,7,11,241,0,18,0,400,159,223,241,241,Sumas Asentadas sin cuadrar,1,f19f4aa2f577b14f24ff290c6fc36d7b1741ecaf054696d5d48d68f59ded1ffe,25/06/2023 22:43:07,ESCANER
10145,"Totonicapán",8,"Momostenango",5,1320,400,19,37,14,16,22,5,7,15,6,0,46,23,1,1,2,15,1,3,233,14,12,259,0,259,0,400,141,233,259,259,,1,596861fab6e352192bcfb8ed7bbc8e0e4d4d291cde6b5b4dabbc6ac9967a4775,25/06/2023 23:09:12,ESCANER
10146,"Totonicapán",8,"Momostenango",5,1320,400,18,41,18,18,19,3,3,9,5,2,42,26,3,3,5,16,4,2,237,20,6,263,0,263,0,401,138,237,263,263,,1,3fe4a546668e6698ce9dd9cba9471c8932ca810fc6ee4e36708b8c44538075d9,26/06/2023 03:27:12,ESCANER
10147,"Totonicapán",8,"Momostenango",5,1320,400,7,47,25,18,30,4,5,8,9,3,50,30,1,6,2,15,5,5,270,14,4,288,0,288,--,400,112,270,288,288,Algún campo sin dato,1,5245b4e8f12f0b0882c8d44c2f815a6d9cdebac726c64344f94a9bea24da7616,26/06/2023 01:40:00,ESCANER
10148,"Totonicapán",8,"Momostenango",5,1320,400,15,42,20,16,24,5,4,12,5,2,33,29,3,5,3,25,1,1,245,19,4,268,0,268,0,400,132,245,268,268,,1,ab5a5f192acd8e3cec66f6b8b83a487266afb0ec70c02fe2af7377f66030c915,25/06/2023 21:39:49,ESCANER
10149,"Totonicapán",8,"Momostenango",5,1320,400,10,40,12,11,23,3,8,14,9,2,40,28,0,4,0,13,2,2,221,21,6,248,0,248,0,400,152,221,248,248,,1,2c92388b68fd21b96e0955261259e7c89c1af200985a79277822c43f50492ae0,25/06/2023 23:42:35,ESCANER
10150,"Totonicapán",8,"Momostenango",5,1320,400,12,35,40,14,17,4,5,12,3,4,43,19,2,3,3,13,4,2,235,13,8,256,0,256,0,400,144,235,256,256,,1,fe9abf76c31ade94216e2349261044bf79dc1fe4aba78448d76fded343689827,25/06/2023 22:05:50,ESCANER
10151,"Totonicapán",8,"Momostenango",5,1320,400,5,41,56,5,18,4,4,17,3,4,32,19,1,3,3,9,0,3,227,16,4,247,0,247,0,400,153,227,247,247,,1,ac485809f12b316e3a0d2d3d9dfd69282568e4df954755138b0e7de49edb72d5,26/06/2023 00:37:33,ESCANER
10152,"Totonicapán",8,"Momostenango",5,1320,400,9,31,31,12,21,3,4,6,10,4,30,23,2,6,6,9,1,3,211,13,3,227,0,227,0,400,173,211,227,227,,1,b93883f0c403d03e5aef4778dfde7f6ea3095da48955234a02606b6c9b50e582,26/06/2023 00:28:37,ESCANER
10153,"Totonicapán",8,"Momostenango",5,1320,400,9,25,24,16,19,1,4,7,6,1,26,21,4,1,1,15,1,3,184,16,2,202,0,202,0,400,198,184,202,202,,1,ef79993b6c843ac9d3d58722732d083ace9ace0840b3c62984c965252e066d69,25/06/2023 23:57:32,ESCANER
