TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
78,76,97.4358,76,97.4358,0,27552,15923,57.7925

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,CABAL,AZUL,BIEN,TODOS,UNE,CAMBIO,VOS,VIVA,VALOR,VICTORIA,VAMOS,PODEMOS,MLP,PPN,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
10277,"Totonicapán",8,"Santa María Chiquimula",6,1347,400,62,3,33,17,14,0,8,7,27,6,19,3,2,8,209,19,8,236,0,236,0,400,164,209,236,236,,1,d923d635959b248e5926b1dbc3bc9d8376a20336b2f7abb17e7761c5e6465a07,25/06/2023 23:29:56,ESCANER
10278,"Totonicapán",8,"Santa María Chiquimula",6,1347,400,40,2,28,13,11,0,15,8,46,2,36,0,4,4,209,16,10,235,0,235,0,400,165,209,235,235,,1,85da119ebd3591e89168df0736e1c2fdd283b2305de50f90479421d322d0dbd7,25/06/2023 22:53:10,ESCANER
10279,"Totonicapán",8,"Santa María Chiquimula",6,1347,400,55,2,42,13,20,0,14,2,37,4,12,3,1,1,206,18,8,232,0,232,0,400,168,206,232,232,,1,6bc763809c511243389e5d8410313d5b6447c42ad32262828994767f5738e888,26/06/2023 01:12:17,MOVIL
10280,"Totonicapán",8,"Santa María Chiquimula",6,1347,400,41,5,124,8,16,1,3,4,16,1,5,2,0,3,229,17,6,252,0,252,0,400,148,229,252,252,,1,6c1cbbbf3c9a36c5a34fffcc43cef29247599c857a57fba7b3f41a7b968810c6,26/06/2023 01:43:29,MOVIL
10281,"Totonicapán",8,"Santa María Chiquimula",6,1348,400,45,2,138,4,26,1,2,1,10,1,10,0,2,2,244,25,8,277,0,277,0,400,123,244,277,277,,1,912dc88b12ddc6da987bfa1e70865327010ac36e25e38eb0c81ad052ac879478,25/06/2023 23:15:38,ESCANER
10282,"Totonicapán",8,"Santa María Chiquimula",6,1348,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
10283,"Totonicapán",8,"Santa María Chiquimula",6,1348,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
10284,"Totonicapán",8,"Santa María Chiquimula",6,1349,400,86,3,39,24,39,1,4,5,54,3,2,1,1,5,267,12,8,287,0,287,--,384,97,267,287,287,Algún campo sin dato,1,1ab58d278a46a82cbed6cd5ae56d381bdafb5e9ee688f899be26bacb4d2e0c92,26/06/2023 10:39:19,MOVIL
10285,"Totonicapán",8,"Santa María Chiquimula",6,1350,400,125,2,28,18,17,1,3,10,54,2,3,2,0,3,268,17,9,294,0,294,--,402,108,268,294,294,Algún campo sin dato,1,0407049c2f0e194ca42cd4ee882a86a1977192e563a8b866d31c024915f9b2d1,26/06/2023 00:41:27,ESCANER
10286,"Totonicapán",8,"Santa María Chiquimula",6,1351,400,87,2,41,12,23,0,6,5,42,4,9,1,0,3,235,11,8,254,0,254,--,400,146,235,254,254,Algún campo sin dato,1,a49156a04a322beac8e00cba25beefbf6fa0c7384939008d0b41564c4d375230,26/06/2023 01:16:49,ESCANER
