TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
28 junio 2023 21:35 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
33,33,100.0000,33,100.0000,0,11962,8191,68.4751

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,UNE,MLP,VAMOS,CABAL,VALOR,BIEN,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
10355,"Totonicapán",8,"Santa Lucía La Reforma",7,1363,400,103,4,99,1,17,0,224,11,6,241,0,241,0,400,159,224,241,241,,1,a300c8d09f0e7cfea1a699042224c31982e8cdaee29819df775e635fd77d153d,26/06/2023 01:31:42,ESCANER
10356,"Totonicapán",8,"Santa Lucía La Reforma",7,1363,400,129,5,94,1,17,1,247,9,7,263,0,263,1,400,136,247,263,263,,1,647b66c2b240e9bc04318f7d6f23d533881aacd8cecbb242428778ebcbe5753e,26/06/2023 01:49:27,ESCANER
10357,"Totonicapán",8,"Santa Lucía La Reforma",7,1363,400,172,9,105,0,5,0,291,9,8,308,0,308,0,400,92,291,308,308,,1,def94c215a77bbe18c1baa654d83597a3ae109d4edee23b2a605d17faad56d12,26/06/2023 00:52:57,ESCANER
10358,"Totonicapán",8,"Santa Lucía La Reforma",7,1363,400,164,3,111,4,6,2,290,18,7,315,0,315,0,400,85,290,315,315,,1,1335825f342ec2783b2d974912b7c5b306c0bae196ba51e6243fed090000a3fb,26/06/2023 01:16:57,ESCANER
10359,"Totonicapán",8,"Santa Lucía La Reforma",7,1363,400,140,2,108,2,0,3,255,8,5,268,0,268,0,400,132,255,268,268,,1,8e62d6b94547018d28b36de2139dadb8325b407f71b58e4ee5a3ee35add6f216,26/06/2023 00:49:15,ESCANER
10360,"Totonicapán",8,"Santa Lucía La Reforma",7,1363,400,143,5,125,4,13,3,293,9,11,313,0,313,0,400,87,293,313,313,,1,48171e27ceb176f014375ad03d3f14faf877a560436b83b9a5eea9f72d4b11d0,26/06/2023 01:10:17,ESCANER
10361,"Totonicapán",8,"Santa Lucía La Reforma",7,1363,400,151,7,88,6,18,1,271,19,8,298,0,298,0,400,102,271,298,298,,1,d4dccc1a82edb063683645e0efbdc5fa46b995a893b856c466094e3891351ffd,26/06/2023 01:15:33,ESCANER
10362,"Totonicapán",8,"Santa Lucía La Reforma",7,1363,400,183,6,95,1,7,1,293,9,12,314,0,314,0,400,86,293,314,314,,1,c2234e6535856559d6baf0d3017a26511ea7ededb7fdcc17b8dbc8ba7a6d7f8d,26/06/2023 01:25:44,ESCANER
10363,"Totonicapán",8,"Santa Lucía La Reforma",7,1363,400,173,1,98,0,5,1,278,17,3,298,0,298,0,398,100,278,298,298,,1,04140f6b6d0e72ec4fe4cfff116ffb0ddef6796f208420a97564a1f792f5f744,26/06/2023 00:51:56,ESCANER
10364,"Totonicapán",8,"Santa Lucía La Reforma",7,1363,400,173,3,90,1,12,2,281,3,2,286,0,286,0,400,114,281,286,286,,1,c1cd16f71e28dafc5f6a49500881a82b015763c6f6f130163297932409204f28,25/06/2023 23:41:45,ESCANER
