TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
19,19,100.0000,19,100.0000,0,7260,4415,60.8126

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,BIEN,UNE,PODEMOS,VAMOS,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
10388,"Totonicapán",8,"San Bartolo",8,1367,400,117,79,32,8,236,9,5,250,0,250,0,400,150,236,250,250,,1,d3a44770fd50756af59da18b5246f19b4ec84613ae1887ad2bd8fe4ebb2f44e4,25/06/2023 23:49:30,ESCANER
10389,"Totonicapán",8,"San Bartolo",8,1367,400,120,99,42,6,267,11,10,288,0,288,0,400,112,267,288,288,,1,b5acf751e5b1325709b77bf6368b35302b38741fdd0c11b87b19bcc3a06a7b1a,25/06/2023 23:29:33,ESCANER
10390,"Totonicapán",8,"San Bartolo",8,1367,400,132,93,37,12,274,14,6,294,1,295,0,400,105,274,294,295,,1,642c5a317b8bc5ecfd5f1e8b57374f95c849d3ff43a826112c75f9f5e0410258,25/06/2023 22:22:51,ESCANER
10391,"Totonicapán",8,"San Bartolo",8,1367,400,135,81,68,3,287,22,10,287,32,319,0,400,81,287,319,351,Sumas Asentadas sin cuadrar,1,514ed6544a903bc77575fccd1c4d054fb3a63f24766724ac996b94278981e5da,25/06/2023 23:25:46,ESCANER
10392,"Totonicapán",8,"San Bartolo",8,1367,400,136,86,53,3,278,14,8,300,0,300,0,400,100,278,300,300,,1,a41815961f5a450e993953c20893a24ae7d5e52e5dfd7fdf265c9fd9bb43ae71,26/06/2023 00:13:42,ESCANER
10393,"Totonicapán",8,"San Bartolo",8,1367,400,103,97,42,9,251,18,6,275,0,0,0,400,275,251,275,275,,1,c0a653e5e8b1741296fd5d54797a174d81469ee91ddbd93c2be4511a5004fe32,25/06/2023 22:44:57,ESCANER
10394,"Totonicapán",8,"San Bartolo",8,1367,400,125,98,41,3,267,20,6,293,0,293,0,400,107,267,293,293,,1,4ea3ffb95f3bbeef9aa01ee789838d0e6c75d8d3305fe70ba2a6f2f7231d809e,26/06/2023 00:54:14,ESCANER
10395,"Totonicapán",8,"San Bartolo",8,1367,400,120,77,46,1,244,5,0,249,0,249,0,400,151,244,249,249,,1,ba354dee4e68b5091c085328e4dc2432f393daece2ffc5fac8020d3d3cee4cf4,26/06/2023 00:03:00,ESCANER
10396,"Totonicapán",8,"San Bartolo",8,1367,400,120,75,44,5,244,7,2,253,0,253,0,400,147,244,253,253,,1,85d6b6ca9254f6340a1356b1e4f860d686139545ba791791cd236dbd90d054de,26/06/2023 00:07:47,ESCANER
10397,"Totonicapán",8,"San Bartolo",8,1368,400,29,86,30,5,250,5,4,259,0,259,1,400,140,150,159,159,Sumas Asentadas sin cuadrar,1,6acb522cb44a2a0f8009b72c5078c13636c47db2d7cba2985a3b353d75c4ad4d,25/06/2023 21:48:29,ESCANER
