TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
303,303,100.0000,299,98.6798,4,118863,69977,58.8719

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,TODOS,VALOR UNIONISTA,VICTORIA,VAMOS,UR,PHG,MLP,PODEMOS,MI FAMILIA,PPN,CREO,URNG-MAIZ WINAQ,CABAL,UNE,BIEN,ELEFANTE,SBX,AZUL,PX,FCN-NACION,PR,VIVA,SEMILLA,CAMBIO,VOS,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
10407,"Quetzaltenango",9,"Quetzaltenango",1,1373,400,5,28,8,7,1,83,11,0,9,3,17,4,4,9,4,2,25,1,18,4,10,4,11,4,5,277,13,0,290,0,290,--,395,105,277,290,290,Algún campo sin dato,1,b11c0d0e4e9f7c93057e366b60e366bed6c692ef9c5dc4a420dc91924189d78f,26/06/2023 04:04:45,ESCANER
10408,"Quetzaltenango",9,"Quetzaltenango",1,1373,400,2,25,8,17,5,68,6,0,10,3,10,0,7,8,5,1,29,1,19,5,4,2,10,1,12,258,14,1,273,0,273,--,401,128,258,273,273,Algún campo sin dato,1,fb532c12360e95c1637efe369aba79cc821d9e806a3a01d73ddcf75397fa5bf9,26/06/2023 02:57:02,ESCANER
10409,"Quetzaltenango",9,"Quetzaltenango",1,1373,400,6,36,11,12,4,77,2,0,4,5,11,4,5,12,2,0,35,5,10,7,5,3,11,0,9,276,8,1,--,0,285,0,398,112,276,285,285,Algún campo sin dato,1,cd221885471cbc86e0e9c1b65fab57826d5b8bc8a1c34ba9800ba46542230214,26/06/2023 03:10:34,ESCANER
10410,"Quetzaltenango",9,"Quetzaltenango",1,1373,400,10,27,13,13,5,80,15,1,4,1,5,6,5,6,4,1,25,3,16,3,3,5,13,--,7,271,19,2,292,0,292,--,400,108,271,292,292,Algún campo sin dato,1,50ef574580c786a80e09310a72a092ecae9f857f01d0b2647cd42b5daa2e8b6a,26/06/2023 03:13:10,ESCANER
10411,"Quetzaltenango",9,"Quetzaltenango",1,1373,400,5,31,10,7,3,69,14,0,10,7,10,2,6,8,2,2,40,4,15,2,3,4,9,2,4,269,14,3,286,0,286,--,400,114,269,286,286,Algún campo sin dato,1,857b7d5a129d4c513694a2c73498fcfb4988a3fe630ef04a706b23e18dbfb7b0,26/06/2023 02:55:37,ESCANER
10412,"Quetzaltenango",9,"Quetzaltenango",1,1373,400,6,28,4,11,3,85,5,0,16,5,8,2,8,13,5,0,30,1,13,1,3,2,9,1,7,266,19,2,287,0,287,--,400,113,266,287,287,Algún campo sin dato,1,e014c337e0d94bec7bdfd80c9ab75fb0f89f6ac882e20ac3f2dc49578f10c480,26/06/2023 02:21:31,ESCANER
10413,"Quetzaltenango",9,"Quetzaltenango",1,1374,400,4,16,7,8,1,64,12,1,13,6,8,3,2,9,9,0,29,5,15,6,3,7,7,2,4,241,11,4,256,0,256,--,--,--,241,256,256,Algún campo sin dato,1,8f069ec3bb270cc3f97a7642dcbde65c1c5c2108080dff9f8955557f35eb231f,26/06/2023 04:52:15,ESCANER
10414,"Quetzaltenango",9,"Quetzaltenango",1,1374,400,14,22,11,12,3,59,10,0,5,5,6,4,3,11,2,0,26,1,6,5,5,1,9,2,8,230,19,0,249,0,249,--,400,151,230,249,249,Algún campo sin dato,1,5124bb9480892aa60937001b1b6a9f882b387e1b2cf69c6be06ff3d2dfc904fc,26/06/2023 04:15:21,ESCANER
10415,"Quetzaltenango",9,"Quetzaltenango",1,1374,400,6,18,7,16,4,69,17,1,9,1,13,2,4,10,4,1,31,2,11,5,1,4,10,2,3,251,10,5,266,0,266,--,--,--,251,266,266,Algún campo sin dato,1,0624f15bf1ccb1bcfbd20c900354a3504876a9f1a1d1166a3570ba26ad6dc521,26/06/2023 04:34:54,ESCANER
10416,"Quetzaltenango",9,"Quetzaltenango",1,1374,400,7,20,6,9,4,74,5,0,12,3,11,5,8,10,6,1,32,2,19,1,4,3,9,0,8,272,12,1,272,0,272,--,400,128,259,272,272,Sumas Asentadas sin cuadrar,1,800dec7937790e95c54de0d48beab31bb02a3ae728e74752f73c7a8c5911761f,26/06/2023 04:41:55,ESCANER
