TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
28 junio 2023 21:35 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
35,35,100.0000,35,100.0000,0,13454,8860,65.8540

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,VAMOS,UNE,TODOS,VOS,CABAL,PHG,CAMBIO,VALOR UNIONISTA,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
10710,"Quetzaltenango",9,"Salcajá",2,1418,400,113,89,6,9,5,12,2,51,287,4,3,294,1,295,3,370,72,287,294,295,,1,52c1b6d0aa1904d961fa69b73d7b2b0b95e795b2465a281676d981a5d62a0b03,26/06/2023 01:15:51,ESCANER
10711,"Quetzaltenango",9,"Salcajá",2,1418,400,120,81,5,8,6,16,0,51,287,13,0,300,0,300,--,400,100,287,300,300,Algún campo sin dato,1,f686fabfba97aecf2d1d80bb77d93efc0ddbfab3d0bba67e7b4f0fc47b6b78c0,26/06/2023 00:56:39,ESCANER
10712,"Quetzaltenango",9,"Salcajá",2,1418,400,116,82,1,7,4,29,6,48,293,10,3,306,0,306,--,400,94,293,306,306,Algún campo sin dato,1,ec78c815bcdaeca4a81e38a55991a11496cd7a2ee7fb983e0bec9f01ce30d34b,26/06/2023 00:49:17,ESCANER
10713,"Quetzaltenango",9,"Salcajá",2,1418,400,120,97,2,9,2,18,0,54,302,8,0,310,0,310,--,400,90,302,310,310,Algún campo sin dato,1,02b8768c758c296b5c79af9306e2f5b7e0d8a7e9703a92d4a1b24271a5a912df,26/06/2023 00:02:00,ESCANER
10714,"Quetzaltenango",9,"Salcajá",2,1418,400,128,76,3,8,2,22,0,49,288,4,0,292,0,295,3,400,105,288,292,292,Sumas Asentadas sin cuadrar,1,078df1a9db12767d8e3e12b6c8174413bd25fb405468cbde0136be17763c8a18,26/06/2023 01:07:46,ESCANER
10715,"Quetzaltenango",9,"Salcajá",2,1418,400,126,84,1,11,4,29,1,39,295,6,4,305,0,305,--,400,95,295,305,305,Algún campo sin dato,1,a036bb661c99e62eb81aa9fb2df3e56863db86d926ba3f4da91feab8e219ef78,25/06/2023 22:38:32,ESCANER
10716,"Quetzaltenango",9,"Salcajá",2,1418,400,146,82,5,8,3,19,1,43,307,10,1,318,0,318,--,400,81,307,318,318,Algún campo sin dato,1,92736e2d0aa8d24cfecb189a292273bd11422feb21763a85a67db707c9ccafc1,26/06/2023 01:23:57,ESCANER
10717,"Quetzaltenango",9,"Salcajá",2,1418,400,167,67,1,5,1,17,0,56,314,7,1,322,0,322,--,399,77,314,322,322,Algún campo sin dato,1,7606fc7065cfdf69d50d0cb0f8e67565825963d7aabf7e0077406acfafac4eca,25/06/2023 23:36:11,ESCANER
10718,"Quetzaltenango",9,"Salcajá",2,1419,400,130,89,2,8,4,27,0,52,312,6,4,322,0,322,4,400,74,312,322,322,,1,a4f226c80a93fadfa3f18d79c9b65e1a863275991983ec72c021ceacb646714e,26/06/2023 01:14:31,ESCANER
10719,"Quetzaltenango",9,"Salcajá",2,1419,400,134,79,1,8,2,23,0,44,291,1,1,293,0,293,--,400,107,291,293,293,Algún campo sin dato,1,297036fd6738b81e92698dbff8ced7d521cb9cf1953b072424ca659055fb042c,26/06/2023 00:22:20,ESCANER
