TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
48,48,100.0000,48,100.0000,0,17478,7658,43.8150

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,AZUL,CABAL,MLP,VAMOS,PPN,VIVA,TODOS,U R N G - MAIZ,VOS,VALOR UNIONISTA,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
10786,"Quetzaltenango",9,"San Carlos Sija",4,1432,400,26,52,0,12,38,7,10,6,3,54,208,14,8,230,0,230,--,400,170,208,230,230,Algún campo sin dato,1,c554c0560fba911cdfa1a8dbcc73ac82687c9b5ff5aaee3a9481bda80054f051,26/06/2023 01:07:27,ESCANER
10787,"Quetzaltenango",9,"San Carlos Sija",4,1432,400,27,39,0,20,40,15,7,9,2,50,209,12,3,224,0,224,--,400,176,209,224,224,Algún campo sin dato,1,cd828527d573aa4847d5a27237d5dd7fed1e413023fd2e0194b7fcb288a9ab03,25/06/2023 23:58:44,ESCANER
10788,"Quetzaltenango",9,"San Carlos Sija",4,1432,400,19,43,1,23,27,7,5,8,1,71,205,16,6,227,0,227,--,400,173,205,227,227,Algún campo sin dato,1,8371cdd1a34922722be882f107bf9e9c0de8d7e175e9a7402c39b8933a675409,26/06/2023 00:18:40,ESCANER
10789,"Quetzaltenango",9,"San Carlos Sija",4,1432,400,25,45,1,29,30,11,1,14,2,57,215,14,3,0,0,232,--,--,--,215,232,232,Algún campo sin dato,1,aa23646c53b322795af588a129b116d5ba8c969cdcbee32e616ed1967e1ff7da,26/06/2023 00:21:34,ESCANER
10790,"Quetzaltenango",9,"San Carlos Sija",4,1432,400,24,44,0,25,27,12,8,9,2,51,202,6,4,212,0,212,--,400,188,202,212,212,Algún campo sin dato,1,acd9d1598b18261acf32a738e851c41353abec9ac694868c8cc616201ea93295,26/06/2023 01:17:28,ESCANER
10791,"Quetzaltenango",9,"San Carlos Sija",4,1432,400,23,43,0,23,37,4,5,11,2,44,192,6,3,201,0,201,--,400,199,192,201,201,Algún campo sin dato,1,a4ee19f3bb0381d81e8160f80dba037068c92327be0ca03b01877b1039bc4802,26/06/2023 01:24:34,ESCANER
10792,"Quetzaltenango",9,"San Carlos Sija",4,1432,400,15,46,1,16,50,7,6,4,3,52,200,7,6,213,0,213,--,400,187,200,213,213,Algún campo sin dato,1,33dfaa041e9022a92d748b9f884112606796f9cf380bef7e2035e30ff1faa887,26/06/2023 00:24:14,ESCANER
10793,"Quetzaltenango",9,"San Carlos Sija",4,1432,400,30,31,1,29,44,7,12,17,3,59,233,10,2,245,0,245,--,--,--,233,245,245,Algún campo sin dato,1,5f4c5c68ab114785198a4e334ac34c81cfcd9b0aeee8af9a9871473a090a1baf,26/06/2023 00:31:32,ESCANER
10794,"Quetzaltenango",9,"San Carlos Sija",4,1433,400,24,44,1,29,37,2,3,10,5,42,197,7,7,211,0,211,--,400,189,197,211,211,Algún campo sin dato,1,cda54485927910def1547aa10e4069828ae79371a72e0c1efe633477aa19ee89,25/06/2023 23:57:45,ESCANER
10795,"Quetzaltenango",9,"San Carlos Sija",4,1433,400,29,36,0,29,29,9,2,11,0,46,191,7,1,199,0,199,--,400,201,191,199,199,Algún campo sin dato,1,e94db83c73bb4cf5f3eebd4df8bc8507045405cf8bda6cfb380ad83401b849f0,25/06/2023 22:38:01,ESCANER
10796,"Quetzaltenango",9,"San Carlos Sija",4,1433,310,12,36,0,14,23,5,4,16,2,57,169,2,1,172,0,172,--,310,138,169,172,172,Algún campo sin dato,1,0d945322eb5a31851706c8f00ab0d9f07c3697e51e2680ec7091b745a7573fa2,26/06/2023 01:01:36,ESCANER
10797,"Quetzaltenango",9,"San Carlos Sija",4,1433,309,13,27,1,12,19,1,3,6,2,28,112,2,1,115,0,115,--,309,194,112,115,115,Algún campo sin dato,1,f021cc330d046a6be06d4fa8117e5e1b0e1d4b1ef5d1cbf400f3946b13a30a4a,25/06/2023 23:54:00,ESCANER
10798,"Quetzaltenango",9,"San Carlos Sija",4,1434,380,9,40,0,40,16,3,45,8,0,25,186,11,10,207,0,207,--,380,173,186,207,207,Algún campo sin dato,1,777b90ebb4d2c7f8fe49296a8417a8488592e86dba0b3d33721a1972e89f1040,26/06/2023 01:44:55,ESCANER
10799,"Quetzaltenango",9,"San Carlos Sija",4,1434,380,10,46,1,20,12,1,22,4,3,50,169,12,24,205,0,205,--,380,175,169,205,205,Algún campo sin dato,1,947662b4e5b0351cdb72ac4a629af4e092d804c631b0ada1895b938c0467f0f7,26/06/2023 01:49:26,ESCANER
10800,"Quetzaltenango",9,"San Carlos Sija",4,1434,380,4,36,0,16,30,1,39,5,2,32,165,14,6,185,0,185,--,380,195,165,185,185,Algún campo sin dato,1,5d65d7e6f44df873f7de53e28ff30c2332c69435fd22765617df1fe9ddb08ec8,26/06/2023 01:58:39,ESCANER
