TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
28 junio 2023 21:35 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
17,17,100.0000,17,100.0000,0,6604,3794,57.4500

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,VAMOS,TODOS,VALOR UNIONISTA,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
10834,"Quetzaltenango",9,"Sibilia",5,1440,400,168,19,62,249,9,3,261,0,261,--,400,139,249,261,261,Algún campo sin dato,1,aaddd4c32d24de745fedab964f5547e5106c912b78f6709e400b71333f5c6a80,26/06/2023 00:52:13,ESCANER
10835,"Quetzaltenango",9,"Sibilia",5,1440,400,172,27,53,252,12,8,272,1,273,1,400,127,252,272,273,,1,a2dd9f3b4680f6cd979675a85d169c00d3b9b17fa55f9dd2b98b7d3127322489,26/06/2023 00:46:37,ESCANER
10836,"Quetzaltenango",9,"Sibilia",5,1440,400,222,19,46,287,15,8,310,0,311,1,400,89,287,310,310,Sumas Asentadas sin cuadrar,1,11b330ab7ef766ad5eab11e43966c7b1feeb7f131135eb8360613752a36ae3c4,26/06/2023 01:29:00,ESCANER
10837,"Quetzaltenango",9,"Sibilia",5,1440,400,153,23,43,219,7,4,230,0,230,--,400,170,219,230,230,Algún campo sin dato,1,6e3b5fbf625f75b4d7517bb57c65afc6dd04cef59af0ee94cb164ac2a1c5081c,26/06/2023 01:00:42,ESCANER
10838,"Quetzaltenango",9,"Sibilia",5,1440,400,132,17,54,203,5,2,210,0,210,--,400,190,203,210,210,Algún campo sin dato,1,51533d9948d95db486af4c6ae29f0deba3fc5e14ec2d0e621baa74370d2f71f1,26/06/2023 00:03:37,ESCANER
10839,"Quetzaltenango",9,"Sibilia",5,1440,400,150,17,48,215,6,2,223,0,223,--,--,--,215,223,223,Algún campo sin dato,1,3f6d8b52120b0a8416ef09063938e5a511a625ab893da119763f0d7a8e47f83a,26/06/2023 00:56:42,ESCANER
10840,"Quetzaltenango",9,"Sibilia",5,1440,355,154,9,39,202,3,2,207,0,207,--,355,148,202,207,207,Algún campo sin dato,1,4c0b7086beef33732260a0e654dec488d604bd8b8008ff485e038e6c7322aa7c,25/06/2023 23:30:40,ESCANER
10841,"Quetzaltenango",9,"Sibilia",5,1440,355,122,16,25,163,2,1,166,0,166,--,356,190,163,166,166,Algún campo sin dato,1,8cb338148ca61c85f6a4b631c99d7312c621384b0f4784d4e7f70bd40ffff50d,26/06/2023 00:40:24,ESCANER
10842,"Quetzaltenango",9,"Sibilia",5,1441,400,147,26,72,245,19,7,271,0,271,--,400,129,245,271,271,Algún campo sin dato,1,f6b080fcd81d4e0a5089e570adfda95163e03827aefa4392d3faddc1899d9de7,25/06/2023 23:46:31,ESCANER
10843,"Quetzaltenango",9,"Sibilia",5,1441,400,179,24,87,290,8,6,304,0,304,1,400,95,290,304,304,,1,ec9c47e7cecf61c565387f538b7778058bfa0368c5ec11d25b018f234c0fdbe4,25/06/2023 23:25:42,ESCANER
10844,"Quetzaltenango",9,"Sibilia",5,1441,400,118,10,84,212,9,6,227,0,227,--,400,173,212,227,227,Algún campo sin dato,1,7bfbf8c131e89e77f2e5ecdad8d684ca351166da0007308f9cfcd3737fdffafc,25/06/2023 23:55:28,ESCANER
10845,"Quetzaltenango",9,"Sibilia",5,1441,310,100,10,51,161,5,3,169,0,169,--,307,138,161,169,169,Algún campo sin dato,1,9e337b5b18e9112812ea94053b8c3a66fc0f61a20411d242cad3852b9dbd478f,25/06/2023 23:34:53,ESCANER
10846,"Quetzaltenango",9,"Sibilia",5,1441,309,105,9,46,160,4,1,309,0,309,--,--,144,160,165,165,Sumas Asentadas sin cuadrar,1,4e40098fd9eeaa9f1fc86dc56ea26d8f6200ddf9c7a5be092bb5d9f7cda05a6f,25/06/2023 23:12:49,ESCANER
10847,"Quetzaltenango",9,"Sibilia",5,1442,380,184,13,51,248,8,3,259,0,259,--,380,121,248,259,259,Algún campo sin dato,1,b76bd5700512d114d579981cc5c410a2d57f0ab165d4404ee398bf631f31a990,26/06/2023 00:18:30,ESCANER
10848,"Quetzaltenango",9,"Sibilia",5,1442,379,155,10,33,198,9,6,213,0,213,--,379,166,198,213,213,Algún campo sin dato,1,aef35fd7ef7e886cf2ab0e696609000eb730395b091d1c4471b9d1870e0f26bd,26/06/2023 00:25:49,ESCANER
10849,"Quetzaltenango",9,"Sibilia",5,1442,378,163,15,33,211,7,0,218,0,218,--,378,160,211,218,218,Algún campo sin dato,1,71803a42c85e7136bba3d4ab858e1aae90dde635c8fca17f703ec1ae780fd802,25/06/2023 23:38:31,ESCANER
10850,"Quetzaltenango",9,"Sibilia",5,1443,538,41,10,24,75,4,10,89,0,89,--,538,449,75,89,89,Algún campo sin dato,1,d4950d88aee1d94769c64c892a7326b6294d6768f25f73a4519914cb674cfd68,25/06/2023 23:02:36,ESCANER
