TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
28 junio 2023 21:35 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
22,22,100.0000,22,100.0000,0,8522,5630,66.0643

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,VAMOS,VICTORIA,UNE,CABAL,TODOS,MI FAMILIA,VIVA,VALOR UNIONISTA,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
10892,"Quetzaltenango",9,"Cajolá",7,1453,400,60,85,24,1,89,6,1,3,269,14,8,291,0,291,--,400,109,269,291,291,Algún campo sin dato,1,a9bfcc4d77ab2525c5c8c2712480dc34ae85533990aa1283d053621139b6ebab,26/06/2023 01:07:32,ESCANER
10893,"Quetzaltenango",9,"Cajolá",7,1453,400,63,93,27,0,92,1,2,0,278,13,7,298,0,298,--,400,102,278,298,298,Algún campo sin dato,1,658eb1f0fc605052a64bb80488bf6b690e0beed290e2d70001884cd51189b236,26/06/2023 00:49:31,ESCANER
10894,"Quetzaltenango",9,"Cajolá",7,1453,400,63,91,32,0,88,2,2,0,278,8,7,293,0,293,--,400,107,278,293,293,Algún campo sin dato,1,5e141b1d80fc6ba35c3f9e82f8f38072c930576da2ee2967a93adf960a2bad04,26/06/2023 00:59:47,ESCANER
10895,"Quetzaltenango",9,"Cajolá",7,1453,400,60,84,22,1,103,3,1,0,274,14,6,294,0,294,--,400,106,274,294,294,Algún campo sin dato,1,372dba343444dafa3f338314da5437091f1c2797cbec1dece894c400414e7264,26/06/2023 01:12:07,ESCANER
10896,"Quetzaltenango",9,"Cajolá",7,1453,400,56,109,38,2,67,6,4,--,282,12,4,298,0,298,--,400,102,282,298,298,Algún campo sin dato,1,7ede62a3d2bc412e12bf7e20f4ba58aee06cb4c2dfcb3b694cacbfdb4bdf03e3,26/06/2023 01:08:55,ESCANER
10897,"Quetzaltenango",9,"Cajolá",7,1453,400,53,83,41,3,109,3,0,0,292,10,5,307,0,307,--,400,93,292,307,307,Algún campo sin dato,1,3b3db8d16a459f9c47d1c94c4c38cb0f5d7c8b1b1618a92f02c7888d2265502e,26/06/2023 01:04:19,ESCANER
10898,"Quetzaltenango",9,"Cajolá",7,1453,400,60,92,34,6,101,2,0,1,296,10,6,312,0,312,--,400,88,296,312,312,Algún campo sin dato,1,526412b905f88e0ed2d7136dda38a60827e3b0b3290d68bd854dc499c35b7149,26/06/2023 00:52:10,ESCANER
10899,"Quetzaltenango",9,"Cajolá",7,1453,400,71,111,16,2,100,1,0,0,301,5,5,311,0,311,--,400,89,301,311,311,Algún campo sin dato,1,69c614e89c4d145e02992f83083907f67ce55bc5678ae4aa486d45b463c9ff7f,26/06/2023 01:09:51,ESCANER
10900,"Quetzaltenango",9,"Cajolá",7,1453,400,63,105,28,1,80,1,0,1,279,15,8,302,0,302,--,400,98,279,302,302,Algún campo sin dato,1,41b43a0270fd776c7fa34cf92906decc50844657714af9c13a44c81a799808af,26/06/2023 01:17:25,ESCANER
10901,"Quetzaltenango",9,"Cajolá",7,1453,400,52,96,22,0,92,3,2,1,268,13,10,291,0,291,--,400,109,268,291,291,Algún campo sin dato,1,6bbac30b29b3571149984299d9a922c2f29930c8e22e6e8e563defa8358d02b6,26/06/2023 01:48:41,ESCANER
10902,"Quetzaltenango",9,"Cajolá",7,1453,400,42,76,19,2,77,5,1,1,223,4,3,230,0,230,--,400,170,223,230,230,Algún campo sin dato,1,4377876452bd676ccebd478359ed2cf62e178d137a40d0ddcb9a1f382945863d,25/06/2023 23:04:21,ESCANER
10903,"Quetzaltenango",9,"Cajolá",7,1453,400,50,72,24,0,91,1,0,0,238,7,3,248,0,248,--,400,152,238,248,248,Algún campo sin dato,1,3b43d25717f3002129b16e68d12b8409ba99f4c5557702f52ae923fb69636d27,26/06/2023 00:19:04,ESCANER
10904,"Quetzaltenango",9,"Cajolá",7,1454,400,56,88,19,0,79,10,0,0,252,4,2,258,0,258,--,400,142,252,258,258,Algún campo sin dato,1,a06edd83d488be40e73434c8321b7caf09d2f3ad01ad087a273512e477837086,25/06/2023 23:22:46,ESCANER
10905,"Quetzaltenango",9,"Cajolá",7,1454,400,50,75,25,1,83,3,1,0,238,9,5,252,0,252,--,400,148,238,252,252,Algún campo sin dato,1,ef0e17b4447d41e34f5b508481516de86c5cd34f25dd3b0476f530e1c18e4887,26/06/2023 00:16:00,ESCANER
10906,"Quetzaltenango",9,"Cajolá",7,1454,400,52,55,14,2,67,2,0,1,193,7,6,206,0,206,--,400,194,193,206,206,Algún campo sin dato,1,3d4a04e42c576ffcded9212194f92efaa7f2fc65ee48896ee5889ea81f8bd45f,25/06/2023 23:07:44,ESCANER
10907,"Quetzaltenango",9,"Cajolá",7,1454,400,39,118,21,0,79,6,0,2,265,1,1,267,0,267,--,400,133,265,267,267,Algún campo sin dato,1,911c34a08f0f0dc4839f7eafe406d143bcceb88a6eec30d3d077946bef672f7f,25/06/2023 22:36:05,ESCANER
10908,"Quetzaltenango",9,"Cajolá",7,1454,400,57,97,22,0,88,3,0,0,267,4,1,272,0,272,--,400,128,267,272,272,Algún campo sin dato,1,5c88dd4aec99c5d7ae5f3bbd249e51ec3ec5d8a65695003387ef914af5b16b63,25/06/2023 23:14:05,ESCANER
