TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
28 junio 2023 21:35 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
13,13,100.0000,13,100.0000,0,5006,3450,68.9172

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,VICTORIA,VAMOS,VIVA,CABAL,CREO,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
10914,"Quetzaltenango",9,"San Miguel Sigüilá",8,1457,400,95,45,26,2,106,274,12,4,290,0,290,--,400,110,274,290,290,Algún campo sin dato,1,2deba212721819b30fcfcb6ae6c32a5673c049d36e3845357b388da649ab1927,26/06/2023 00:33:40,ESCANER
10915,"Quetzaltenango",9,"San Miguel Sigüilá",8,1457,400,96,60,13,0,115,284,11,11,306,0,306,--,400,94,284,306,306,Algún campo sin dato,1,537515c442ed39fcb3b74b50430fea05d0eb4bdbfa6e688af3a2c0a9bc376b79,26/06/2023 00:26:21,ESCANER
10916,"Quetzaltenango",9,"San Miguel Sigüilá",8,1458,400,97,81,24,7,98,307,6,13,326,0,326,--,400,74,307,326,326,Algún campo sin dato,1,56a90e727a4b987305106b57b3290dadf9dbea2f409ad061ff7601df3f28fe96,25/06/2023 23:38:25,ESCANER
10917,"Quetzaltenango",9,"San Miguel Sigüilá",8,1459,400,122,68,23,3,89,305,12,9,326,0,326,1,400,73,305,326,326,,1,9532c830c38e1f52daacaaa7f5ad0d8734b6e345e58668be41d353ccc033c7f2,26/06/2023 00:48:32,ESCANER
10918,"Quetzaltenango",9,"San Miguel Sigüilá",8,1459,400,110,49,29,5,100,293,14,10,317,0,317,--,400,83,293,317,317,Algún campo sin dato,1,da21857526812bb34b7a05e9bb965c0a91752b3a58a2381f6b6cb08b3b425ebe,26/06/2023 00:26:29,ESCANER
10919,"Quetzaltenango",9,"San Miguel Sigüilá",8,1460,400,85,84,42,1,102,314,9,8,331,0,331,--,400,69,314,331,331,Algún campo sin dato,1,d0fa22272fa2ba66b62c2619568ab01b7e8842958c8837525daa45d66bf0d729,26/06/2023 00:58:25,ESCANER
10920,"Quetzaltenango",9,"San Miguel Sigüilá",8,1460,400,87,51,20,3,61,222,4,4,230,0,230,--,400,170,222,230,230,Algún campo sin dato,1,b03ac16eebc746ebafc97883afbaae0adfe141f8d9bb7747e084cf1855ea0dd7,25/06/2023 23:37:53,ESCANER
10921,"Quetzaltenango",9,"San Miguel Sigüilá",8,1460,400,88,52,19,3,75,237,3,6,246,1,247,--,400,150,237,246,247,Algún campo sin dato,1,c4f04a6f1ea612a7a2f9fd5661adbd51a91bd6cd0a40e880b40af2212d69b833,26/06/2023 00:04:16,ESCANER
10922,"Quetzaltenango",9,"San Miguel Sigüilá",8,1460,400,68,48,19,3,74,212,5,0,217,0,217,--,400,183,212,217,217,Algún campo sin dato,1,dce9df596806b8c29ec3ca1cb13be61dfb698798a4a0cce35d346068ee8f13fd,26/06/2023 00:29:56,ESCANER
10923,"Quetzaltenango",9,"San Miguel Sigüilá",8,1460,400,83,56,26,4,70,239,2,1,242,0,242,--,400,158,239,242,242,Algún campo sin dato,1,0672b9553891c7a258298e7c29219a17e58adefbf5acb1df018ec38f6f2254fa,26/06/2023 00:11:49,ESCANER
10924,"Quetzaltenango",9,"San Miguel Sigüilá",8,1460,400,98,59,24,3,95,279,2,0,281,0,281,--,400,119,279,281,281,Algún campo sin dato,1,f71d33ac756017a9338526e2b75f8d5668bcdf9d18d04e03d93d5fd616cd191d,26/06/2023 00:29:38,ESCANER
10925,"Quetzaltenango",9,"San Miguel Sigüilá",8,1460,303,68,27,15,3,76,189,0,1,190,0,190,--,303,113,189,190,190,Algún campo sin dato,1,d610819dd408ae272c6130733f8fb8d6ef42dac9c3e54003c4368fd59e1da998,25/06/2023 23:36:14,ESCANER
10926,"Quetzaltenango",9,"San Miguel Sigüilá",8,1460,303,49,33,7,4,51,144,4,0,148,0,148,--,303,155,144,148,148,Algún campo sin dato,1,360010f427aced4a456ba387401bb721df36c9a0f3204527d9d3a19b5d8f671e,25/06/2023 23:02:36,ESCANER
