TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
28 junio 2023 21:35 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
14,14,100.0000,14,100.0000,0,5518,4163,75.4440

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,VAMOS,PPN,BIEN,UNE,TODOS,CABAL,PHG,CAMBIO,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
11011,"Quetzaltenango",9,"San Mateo",10,1470,400,90,78,19,5,21,0,73,4,290,13,2,305,0,305,--,400,95,290,305,305,Algún campo sin dato,1,046cd39379fb4e89f79f978148fbe914ef4ae30c9dd1e086f3eb85f58caabe92,26/06/2023 02:39:02,ESCANER
11012,"Quetzaltenango",9,"San Mateo",10,1470,400,89,98,22,2,21,0,61,5,298,0,4,302,15,317,--,--,--,298,302,317,Algún campo sin dato,1,cd3d348ea1e388036dada42e72e861f323de2a2c373e7f15636c0515dcf251f1,26/06/2023 02:57:25,ESCANER
11013,"Quetzaltenango",9,"San Mateo",10,1470,400,92,111,23,5,21,1,58,2,313,8,6,327,0,327,--,400,73,313,327,327,Algún campo sin dato,1,529c4b70232fd6e2045658cb212ea68eef4ee0f81e2a1daedc8b6a41a61362f8,26/06/2023 03:20:30,ESCANER
11014,"Quetzaltenango",9,"San Mateo",10,1470,400,68,98,34,10,35,0,60,9,314,6,2,322,0,322,--,400,78,314,322,322,Algún campo sin dato,1,886be164934503a8c714e10d301bbd0e5789dfddb13509c784992e16fdd47fce,26/06/2023 01:42:23,ESCANER
11015,"Quetzaltenango",9,"San Mateo",10,1470,400,66,92,36,6,19,1,61,0,281,4,2,287,0,287,--,400,113,281,287,287,Algún campo sin dato,1,ed591389302981e800a8f779a3fc1095c70e486fc8c8a2b6105c3a06ed9dc813,26/06/2023 01:21:58,ESCANER
11016,"Quetzaltenango",9,"San Mateo",10,1470,400,90,106,17,3,13,0,47,2,278,9,0,287,0,287,--,400,113,278,287,287,Algún campo sin dato,1,38b227a934c287df1272caf8b287e33d8fda827551923cd51489cf4e2ae47367,26/06/2023 03:35:25,ESCANER
11017,"Quetzaltenango",9,"San Mateo",10,1470,400,83,95,23,1,14,0,69,3,288,5,1,294,0,294,--,400,106,288,294,294,Algún campo sin dato,1,8d8a7d61b41a768b8b57a320e309a7fb496881b44592b44dce7c23d9b561e8d1,26/06/2023 01:54:52,ESCANER
11018,"Quetzaltenango",9,"San Mateo",10,1470,400,83,113,20,2,16,0,55,3,292,9,1,302,0,302,--,398,96,292,302,302,Algún campo sin dato,1,a69ca69c3ac0da5ace776916b6aac89f4b90c2598fde12592a37ae770e42b63d,26/06/2023 02:25:34,ESCANER
11019,"Quetzaltenango",9,"San Mateo",10,1470,400,94,102,26,6,20,0,59,3,310,6,5,321,0,321,--,399,79,310,321,321,Algún campo sin dato,1,df5f18599e3660a0da66cd0e8b6078cd2513b2c068cd027f64a051a9fb77558f,26/06/2023 03:16:36,ESCANER
11020,"Quetzaltenango",9,"San Mateo",10,1471,400,88,112,23,6,22,0,58,0,309,2,0,311,0,311,--,399,88,309,311,311,Algún campo sin dato,1,7b8bd1583cf6346d53e43765fce7d873b2004396534c3615ac5b46317fea4763,26/06/2023 02:14:38,ESCANER
11021,"Quetzaltenango",9,"San Mateo",10,1471,400,84,96,23,3,20,1,60,5,292,1,0,293,0,293,--,399,106,292,293,293,Algún campo sin dato,1,df73c45891b6b002c1c27a4fa5ec328ae06fe94d3dc514303a6a1d2c6076fdbe,26/06/2023 02:07:48,ESCANER
11022,"Quetzaltenango",9,"San Mateo",10,1471,400,97,97,24,5,23,1,51,5,303,1,1,305,--,--,1,399,94,303,305,305,Algún campo sin dato,1,195a1d57325ede5571e5f905c7027ac117d867a998b6b832c5b47bf23edbf6ae,26/06/2023 04:00:16,ESCANER
11023,"Quetzaltenango",9,"San Mateo",10,1471,359,86,104,17,11,16,0,49,3,286,1,0,287,0,287,--,--,--,286,287,287,Algún campo sin dato,1,31c0110eb363c0bfd61703064a029ebf6c00cde8119c32012f2fab3654a321fb,26/06/2023 02:43:08,ESCANER
11024,"Quetzaltenango",9,"San Mateo",10,1471,359,70,60,15,8,16,0,47,0,216,4,0,220,2,222,1,359,134,216,220,222,,1,e38033ae12227251df482fa0845f7e2ed4cbf89e95e1ea4403c0a7d94ec7afa0,26/06/2023 01:50:14,ESCANER
