TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
25,25,100.0000,25,100.0000,0,9742,5108,52.4327

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,CABAL,AZUL,MLP,TODOS,VAMOS,VICTORIA,CCDC,VIVA,U R N G - MAIZ,UNE,PAPA,PPN,VALOR UNIONISTA,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
11025,"Quetzaltenango",9,"Concepción Chiquirichapa",11,1472,400,5,3,49,3,16,4,84,3,13,12,23,14,18,247,2,2,251,0,251,--,400,149,247,251,251,Algún campo sin dato,1,302b34fdaefdff43dbdab20c206b3b616274bc20db2b60f8491161e179bb69a1,26/06/2023 01:03:21,ESCANER
11026,"Quetzaltenango",9,"Concepción Chiquirichapa",11,1472,400,4,3,45,4,15,2,76,6,8,16,26,6,14,225,5,8,238,0,238,--,400,162,225,238,238,Algún campo sin dato,1,ba530c6ce57e15b07ff906aeb44683b7b54e9ce876649d83b4826b1acf3c149d,26/06/2023 01:19:36,ESCANER
11027,"Quetzaltenango",9,"Concepción Chiquirichapa",11,1473,400,5,3,37,4,17,0,84,6,10,12,35,11,14,238,6,3,247,0,247,--,400,153,238,247,247,Algún campo sin dato,1,b08035b6b1b02ff931885ce056b743f5bebccc0b5283b72e2b2d4d7d70825e2d,26/06/2023 00:01:38,ESCANER
11028,"Quetzaltenango",9,"Concepción Chiquirichapa",11,1473,400,6,8,26,1,16,9,49,6,8,15,28,23,21,216,6,0,222,0,222,--,400,178,216,222,222,Algún campo sin dato,1,f927728faae3bd172c9f62a6d75b1bb6f0a0a04b26a0af84341192d50dad8529,26/06/2023 00:23:07,ESCANER
11029,"Quetzaltenango",9,"Concepción Chiquirichapa",11,1473,400,6,6,21,1,18,2,53,5,13,11,33,27,14,210,9,2,221,0,221,--,400,179,210,221,221,Algún campo sin dato,1,b2bf97f4411460fa4699624ef03ad606ca2c29e77aeaa2d95aaf3b49aa60cdac,26/06/2023 00:14:47,ESCANER
11030,"Quetzaltenango",9,"Concepción Chiquirichapa",11,1473,400,2,3,28,1,14,2,49,5,11,9,42,19,17,202,8,9,219,0,219,--,400,181,202,219,219,Algún campo sin dato,1,630bc59307b618a5b98dbd569956645987b482e37649507efc732edd095c81de,26/06/2023 00:28:52,ESCANER
11031,"Quetzaltenango",9,"Concepción Chiquirichapa",11,1474,400,7,9,13,0,29,3,35,4,4,9,17,31,23,184,11,6,201,0,201,--,400,199,184,201,201,Algún campo sin dato,1,c4fadb0f6a062ea8a5a28777900b0b475b8fe5158b41d8c3bfe4bbb5d9a31fca,25/06/2023 23:47:32,ESCANER
11032,"Quetzaltenango",9,"Concepción Chiquirichapa",11,1474,400,4,5,37,0,20,3,65,4,16,13,21,13,22,223,11,4,238,0,238,--,400,162,223,238,238,Algún campo sin dato,1,6ebeab284d84cbd6d83f27fa43775e2410f80d90e1bd728f608f832bf114b47d,25/06/2023 23:26:23,ESCANER
11033,"Quetzaltenango",9,"Concepción Chiquirichapa",11,1474,400,7,5,53,3,16,6,79,3,12,6,16,8,14,228,9,2,239,0,239,--,400,161,228,239,239,Algún campo sin dato,1,a076d8117ac7e3031c5badcd766cb0872eaee8ef594d16489b780bbbe9ceab82,26/06/2023 00:01:01,ESCANER
11034,"Quetzaltenango",9,"Concepción Chiquirichapa",11,1474,400,3,5,28,3,15,1,53,2,10,12,15,16,13,176,4,1,181,0,181,--,400,219,176,181,181,Algún campo sin dato,1,790c7c2f63357225649342ad2240ef33e0a99e8654d569d5b21f4cac7573c668,26/06/2023 00:23:05,ESCANER
11035,"Quetzaltenango",9,"Concepción Chiquirichapa",11,1474,400,3,6,26,2,17,11,62,6,15,11,24,17,18,218,4,2,224,0,224,--,400,176,218,224,224,Algún campo sin dato,1,4417efa3ce1af07bc9822e4ba134e3b8424b5eba1718406f7a354e3475b17ad8,26/06/2023 00:18:46,ESCANER
11036,"Quetzaltenango",9,"Concepción Chiquirichapa",11,1474,400,8,6,32,2,21,1,65,4,15,7,18,15,21,215,3,1,219,0,219,--,400,181,215,219,219,Algún campo sin dato,1,f89b7c7fb312631d45a9ff59005575a1f6bb272d9fc0d0b7453efa6c47b1b418,25/06/2023 23:19:58,ESCANER
11037,"Quetzaltenango",9,"Concepción Chiquirichapa",11,1474,400,6,4,37,5,20,3,69,5,19,9,15,9,21,222,8,2,232,0,232,--,400,168,222,232,232,Algún campo sin dato,1,49a95592c43a1b1f564ecd6e72263680e74c9cafc949f3ceed16346b56b754dd,26/06/2023 00:23:40,ESCANER
11038,"Quetzaltenango",9,"Concepción Chiquirichapa",11,1474,400,6,1,31,2,16,4,54,3,14,13,14,10,20,188,5,3,196,0,196,--,400,204,188,196,196,Algún campo sin dato,1,bcbe94bd5c79c8678126f375e4a18216f6f4bf390b22380fcf0b44136f6a7274,26/06/2023 00:43:38,ESCANER
11039,"Quetzaltenango",9,"Concepción Chiquirichapa",11,1474,400,5,4,29,5,21,3,72,8,9,11,15,12,11,205,3,0,208,0,208,--,400,192,205,208,208,Algún campo sin dato,1,a92bd4329cada060521c99d83df2499736939ef657251b9bba62be32a938f243,26/06/2023 00:40:22,ESCANER
11040,"Quetzaltenango",9,"Concepción Chiquirichapa",11,1474,272,4,2,25,2,17,5,52,3,9,8,15,2,9,153,1,0,154,0,154,--,272,118,153,154,154,Algún campo sin dato,1,fe1887719783171f93e915e3774dcf1051eb766e3b8a813a3e671e0c6b21c2bf,25/06/2023 22:17:27,ESCANER
11041,"Quetzaltenango",9,"Concepción Chiquirichapa",11,1474,271,4,1,11,5,10,4,34,2,12,4,12,10,8,117,2,1,120,0,120,--,271,151,117,120,120,Algún campo sin dato,1,9e6d18150366f4bf63a69cef1af029645a29d52aa4f53a76edd75ab440092da7,25/06/2023 23:17:48,ESCANER
