TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
47,47,100.0000,47,100.0000,0,16938,11514,67.9773

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,VAMOS,AZUL,WINAQ,CABAL,MLP,UNE,CCMT,CREO,VICTORIA,TODOS,VOS,VALOR UNIONISTA,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
11050,"Quetzaltenango",9,"San Martín Sacatepéquez",12,1478,400,47,150,3,2,3,6,48,2,1,1,1,8,272,12,6,290,0,290,--,400,110,272,290,290,Algún campo sin dato,1,d811a11ba80aced4883dab2bfbe306ebb2fe269c26a51d701d0f7c012a865bcd,25/06/2023 23:39:48,ESCANER
11051,"Quetzaltenango",9,"San Martín Sacatepéquez",12,1478,400,42,163,3,3,2,17,81,0,0,2,0,6,319,12,1,332,0,332,--,400,68,319,332,332,Algún campo sin dato,1,b0cdb5afd0879df8413697ae71928a61bfa28af490825acbbbf7736a64e423c7,26/06/2023 00:37:48,ESCANER
11052,"Quetzaltenango",9,"San Martín Sacatepéquez",12,1478,400,49,169,1,2,5,13,50,1,0,3,1,3,297,5,11,313,0,313,--,400,87,297,313,313,Algún campo sin dato,1,e374b7df1a00f7f55a6f80fd7fe8b684f797d6f862416472d51bc18dfc111f1b,26/06/2023 00:42:45,ESCANER
11053,"Quetzaltenango",9,"San Martín Sacatepéquez",12,1478,400,111,93,2,0,9,1,37,1,0,0,1,25,280,3,6,289,0,289,--,400,111,280,289,289,Algún campo sin dato,1,c279a1e51283636ff8b7c495eeac75f09f32e8d40052659ac968407d2cd24f56,26/06/2023 00:56:41,ESCANER
11054,"Quetzaltenango",9,"San Martín Sacatepéquez",12,1479,400,71,118,1,1,7,6,35,1,0,0,0,13,253,1,2,256,0,256,--,400,144,253,256,256,Algún campo sin dato,1,fbe4ba0664ca4691eea3129f0c4ad2c16d1064bea705f816aa14e1048e2c4582,26/06/2023 00:16:10,ESCANER
11055,"Quetzaltenango",9,"San Martín Sacatepéquez",12,1479,400,51,137,2,1,2,12,42,0,0,1,1,9,258,6,2,266,0,266,--,400,134,258,266,266,Algún campo sin dato,1,825822ade1a9efebcac0b737b7d5a7d00148cbeee2ae5a45c37d2c06dc04fcd6,26/06/2023 00:55:30,ESCANER
11056,"Quetzaltenango",9,"San Martín Sacatepéquez",12,1479,299,42,94,1,2,6,3,30,0,0,1,0,9,188,1,2,191,0,191,--,299,108,188,191,191,Algún campo sin dato,1,dc21e3602369f32174e441882aee26dbe1e42b77401092728cc089e7ded8e786,25/06/2023 22:46:26,ESCANER
11057,"Quetzaltenango",9,"San Martín Sacatepéquez",12,1479,299,52,88,3,0,3,5,29,1,1,0,2,8,192,1,3,196,0,196,--,299,103,192,196,196,Algún campo sin dato,1,e43f2207b71f1630ce627e48a1ec67dcb96ad456ae7053adc60792201e164ab0,25/06/2023 23:18:24,ESCANER
11058,"Quetzaltenango",9,"San Martín Sacatepéquez",12,1480,380,99,27,1,3,1,8,8,6,1,2,2,67,225,16,9,250,0,250,--,379,129,225,250,250,Algún campo sin dato,1,65b6c5e44334a0f922fb352d55c539e8da09e13324b1e0d50ca86ad67af691b3,25/06/2023 22:49:10,ESCANER
11059,"Quetzaltenango",9,"San Martín Sacatepéquez",12,1480,380,108,35,0,4,0,11,7,5,3,3,1,78,255,16,7,278,0,278,--,379,101,255,278,278,Algún campo sin dato,1,993e01a444db2ad55cd2c585d387cf03668a74d81f2148035201a857c49a9f3d,25/06/2023 23:43:40,ESCANER
