TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
32,32,100.0000,32,100.0000,0,12530,10470,83.5594

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,PIN,VAMOS,VALOR UNIONISTA,C.C.A.,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
11097,"Quetzaltenango",9,"Almolonga",13,1486,400,2,164,5,167,338,2,8,348,0,348,--,400,52,338,348,348,Algún campo sin dato,1,70f387a36bd655337f051b1778f280af2984355bf3a2990520c01fa0d34150bb,25/06/2023 21:59:18,ESCANER
11098,"Quetzaltenango",9,"Almolonga",13,1486,400,1,154,4,180,339,3,4,346,0,346,--,400,54,339,346,346,Algún campo sin dato,1,825fefac85eb2f698e84413381a4b7f05266321bf466a378156b6fc12f18b9b8,25/06/2023 23:18:14,ESCANER
11099,"Quetzaltenango",9,"Almolonga",13,1486,400,0,181,7,165,353,3,1,357,0,357,--,397,40,353,357,357,Algún campo sin dato,1,e8bbe5f87f8aef08509531dcce51e0a24b262531d81cada216a13f4287f0edbd,25/06/2023 23:11:22,ESCANER
11100,"Quetzaltenango",9,"Almolonga",13,1486,400,1,160,6,174,341,4,5,350,0,350,--,400,50,341,350,350,Algún campo sin dato,1,10ae76b3fe8abe937b5c1dcc2c376b2a1bf00ca684cd5d83919706538434409a,26/06/2023 00:42:12,ESCANER
11101,"Quetzaltenango",9,"Almolonga",13,1486,400,2,152,3,181,338,2,6,346,0,346,--,400,54,338,346,346,Algún campo sin dato,1,e83c4350348eb5327ac13f0fc3bd39f76113acfeaa3f49da3fb255ec2909471d,25/06/2023 23:48:22,ESCANER
11102,"Quetzaltenango",9,"Almolonga",13,1486,400,1,167,4,176,348,1,3,352,0,352,--,400,48,348,352,352,Algún campo sin dato,1,988224d36695542e29e2dae5d783eaa03332a049dc818536c4b89033459f0c11,25/06/2023 23:46:04,ESCANER
11103,"Quetzaltenango",9,"Almolonga",13,1486,400,1,161,7,170,339,2,7,348,0,348,--,400,52,339,348,348,Algún campo sin dato,1,44d16e3267e6ce77d64cb02b3d1b4166a1d482d4d2052319d7f720500179bdfe,25/06/2023 23:42:08,ESCANER
11104,"Quetzaltenango",9,"Almolonga",13,1486,400,0,164,5,174,343,2,8,353,0,353,--,400,47,343,353,353,Algún campo sin dato,1,a4833906df288c6e04b96ec003cf9817d75aa691def119bf60aa2185c523e43b,26/06/2023 00:05:19,ESCANER
11105,"Quetzaltenango",9,"Almolonga",13,1487,400,1,156,11,176,344,0,2,346,0,346,--,400,54,344,346,346,Algún campo sin dato,1,ec6cbf2e42e118abcce21202938917dfb1c22f8a0fffca5fb62ad7a251903068,25/06/2023 22:58:41,ESCANER
11106,"Quetzaltenango",9,"Almolonga",13,1487,400,2,148,1,143,294,4,2,300,0,300,--,400,100,294,300,300,Algún campo sin dato,1,4399448e645eaf52aaa4fecfe15b39e75a45894ec8c19fd92bbb65d012721b61,26/06/2023 00:04:54,ESCANER
