TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
61,61,100.0000,60,98.3606,1,22293,15150,67.9585

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,TODOS,VICTORIA,PPN,WINAQ,CABAL,AZUL,VOS,BIEN,VAMOS,UNE,PHG,PIN,VALOR UNIONISTA,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
11129,"Quetzaltenango",9,"Cantel",14,1495,400,103,11,7,3,58,14,4,12,34,3,2,1,10,262,8,1,271,1,272,--,400,128,262,271,272,Algún campo sin dato,1,86d88cf3280f774816953749b6d1c59c4fc9458afc58d4a377f39ce0a332f5c8,26/06/2023 02:01:13,ESCANER
11130,"Quetzaltenango",9,"Cantel",14,1495,400,88,9,8,5,67,5,5,19,38,5,1,1,11,262,9,1,272,0,272,--,400,128,262,272,272,Algún campo sin dato,1,45bd8e2a48cd91b1fb56a24d7139e57e7b04da0f9f3184848ac7dcc619543260,26/06/2023 00:22:56,ESCANER
11131,"Quetzaltenango",9,"Cantel",14,1495,400,95,11,13,4,73,7,7,22,34,1,1,1,9,278,11,4,293,0,293,--,400,107,278,293,293,Algún campo sin dato,1,1f75c9f94d38b2f916b27008840402b75462c92f885c1cad949fa2d2cb0de6a7,26/06/2023 00:45:51,ESCANER
11132,"Quetzaltenango",9,"Cantel",14,1495,400,94,5,15,7,76,7,7,15,32,0,2,0,13,273,11,6,290,0,290,--,400,110,273,290,290,Algún campo sin dato,1,4f633810ff925f2939113783e63ade1959530d0763efaa27dc7630a24530aecd,25/06/2023 22:59:06,ESCANER
11133,"Quetzaltenango",9,"Cantel",14,1495,400,91,6,7,5,59,12,6,13,42,2,0,1,11,255,14,2,271,0,271,--,397,126,255,271,271,Algún campo sin dato,1,4128c013ac495a912292caca75717f4360fcdce9032d4ab0b9dfe104e786f8d1,26/06/2023 00:12:13,ESCANER
11134,"Quetzaltenango",9,"Cantel",14,1495,400,101,12,6,6,56,9,4,19,37,0,0,3,7,260,11,3,274,0,274,--,400,126,260,274,274,Algún campo sin dato,1,b5e3f5acd087dd0bd110e07637b5faae5065af16d9ff1dd9d841cef414eabd76,26/06/2023 01:15:50,ESCANER
11135,"Quetzaltenango",9,"Cantel",14,1495,400,80,8,11,2,61,12,3,15,39,2,1,5,9,248,13,5,266,0,266,--,400,134,248,266,266,Algún campo sin dato,1,766aae5a9ca3c8cf227a4c67b8a20f3523a6889c37f6fdb6e6f6016f7722ec55,26/06/2023 01:04:11,ESCANER
11136,"Quetzaltenango",9,"Cantel",14,1495,400,80,10,5,6,52,10,5,24,38,0,1,0,5,236,10,1,247,0,247,--,400,153,236,247,247,Algún campo sin dato,1,dd8cb0f9ed5499b6c2793be493a7d582c76c5d1168fa52996601a1002d1a63f0,25/06/2023 23:50:49,ESCANER
11137,"Quetzaltenango",9,"Cantel",14,1495,400,73,10,12,9,67,7,3,17,28,1,2,3,8,240,10,4,254,0,254,--,400,146,240,254,254,Algún campo sin dato,1,8cb4f073ec97ce6449fbee0bc6690bb26887fdb92894bacad3255989abc973b3,26/06/2023 00:37:21,ESCANER
11138,"Quetzaltenango",9,"Cantel",14,1495,400,88,14,7,6,62,6,3,11,33,1,1,0,8,240,4,1,245,0,245,--,--,--,240,245,245,Algún campo sin dato,1,d688c03f74819fcd6c36af7d6195294ccc1f8ff7c71834925b4488b4184a1e84,25/06/2023 22:52:39,ESCANER
