TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
28 junio 2023 21:35 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
18,18,100.0000,18,100.0000,0,7153,4664,65.2034

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,VICTORIA,VAMOS,UNE,VIVA,PPN,TODOS,VOS,VALOR UNIONISTA,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
11190,"Quetzaltenango",9,"Huitán",15,1500,400,30,94,29,9,1,4,1,79,247,9,10,266,0,266,--,401,132,247,266,266,Algún campo sin dato,1,3f3fe38df2e07a978f4deba52736d678fea7bf4e16cf4a3a82d07946d7f9f475,26/06/2023 00:55:42,ESCANER
11191,"Quetzaltenango",9,"Huitán",15,1500,400,32,89,30,9,0,2,3,99,264,10,5,279,0,279,--,400,121,264,279,279,Algún campo sin dato,1,188933ee574cac11151bb072e6b20c0809f19921b1ccf837d10ce80b298f8698,26/06/2023 00:50:55,ESCANER
11192,"Quetzaltenango",9,"Huitán",15,1500,400,20,92,33,9,0,3,2,98,277,12,8,277,0,277,--,400,123,257,277,277,Sumas Asentadas sin cuadrar,1,0fc97da036419a7b7cf8d57ef58145c2d7f2b1b0a3377c7b331acdd65c0bf025,26/06/2023 01:10:59,ESCANER
11193,"Quetzaltenango",9,"Huitán",15,1500,400,45,92,21,11,2,2,0,89,262,13,7,282,0,282,0,400,118,262,282,282,,1,8e8a3b279a4a3d7b54e0e64b8da01debd6cbab064b22ff2e0a350e69ab865d1e,26/06/2023 00:43:23,ESCANER
11194,"Quetzaltenango",9,"Huitán",15,1500,400,52,83,37,6,1,1,0,86,266,13,4,283,0,283,--,400,117,266,283,283,Algún campo sin dato,1,a2cb211adc92095ecc482a7b33ea307c68846c7633fa51c51494bbcab9f129ed,25/06/2023 23:55:38,ESCANER
11195,"Quetzaltenango",9,"Huitán",15,1500,400,43,71,38,12,0,2,0,93,259,15,8,282,0,282,--,400,118,259,282,282,Algún campo sin dato,1,d758bd73d42023fb61a0ce732739d8eab5718e4e4fc516e3a353096813a3390d,26/06/2023 01:14:06,ESCANER
11196,"Quetzaltenango",9,"Huitán",15,1500,400,46,94,29,8,0,2,0,78,257,14,8,279,0,279,--,400,121,257,279,279,Algún campo sin dato,1,1d691e8833196263398157b860f2bbea0efa89c03fc891ba840874a7a3aaf7f4,26/06/2023 00:59:50,ESCANER
11197,"Quetzaltenango",9,"Huitán",15,1500,400,48,76,34,9,1,1,0,87,256,18,7,281,0,281,--,400,119,256,281,281,Algún campo sin dato,1,6a8b9456aebbee89b722d3a332d518f58ec22eae1ce2e7c66e007c22a973d6e2,26/06/2023 00:13:14,ESCANER
11198,"Quetzaltenango",9,"Huitán",15,1500,400,28,84,41,10,0,1,1,110,275,8,9,292,0,292,--,400,108,275,292,292,Algún campo sin dato,1,b70b8bcdc01bc6f39355f588797e4bdef29896796e5530e94407ab0abb3c9e5b,26/06/2023 00:34:32,ESCANER
11199,"Quetzaltenango",9,"Huitán",15,1500,400,44,71,27,10,0,3,1,78,234,3,1,238,0,238,--,400,162,234,238,238,Algún campo sin dato,1,2dcb94d963eb4f0ecf733902ceb52a049513e8797df04934f3532f53d745a7a5,25/06/2023 23:05:05,ESCANER
