TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
27,27,100.0000,27,100.0000,0,9978,7997,80.1463

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,WINAQ,CABAL,BIEN,UNE,VAMOS,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
11208,"Quetzaltenango",9,"Zunil",16,1503,400,166,3,87,0,77,333,8,3,344,56,400,--,400,56,333,344,400,Algún campo sin dato,1,8497900860b6a4344fb5e0ee68524af68fcbb2bba98d68b5544b506399408bf6,26/06/2023 00:34:55,ESCANER
11209,"Quetzaltenango",9,"Zunil",16,1503,400,177,6,75,0,86,344,8,6,358,0,358,--,400,42,344,358,358,Algún campo sin dato,1,d75ba3c8cfe9fe0648565f024390307fd1e46b38fe5fbef34fb78415e90ed00c,26/06/2023 02:22:01,ESCANER
11210,"Quetzaltenango",9,"Zunil",16,1503,400,183,3,71,0,82,339,7,7,353,14,353,--,400,47,339,353,367,Sumas Asentadas sin cuadrar,1,b00be13b7e69145a4aff094d624102e1aaa1a7bcade3d2da2ddc2f62b112dd8c,26/06/2023 01:38:31,ESCANER
11211,"Quetzaltenango",9,"Zunil",16,1503,400,170,4,80,4,74,332,9,5,346,0,346,--,400,54,332,346,346,Algún campo sin dato,1,6c137e8522b6c4cc86d54cdfb0a71252560044e8103d0ba2c18791cf8180cdf2,26/06/2023 01:45:25,ESCANER
11212,"Quetzaltenango",9,"Zunil",16,1503,400,164,6,72,0,87,329,4,11,344,0,344,--,399,55,329,344,344,Algún campo sin dato,1,c43b54d35436bdd72c0889cea3d00803e999a8f75f58245e8f0e4b8edc33843b,26/06/2023 00:15:59,ESCANER
11213,"Quetzaltenango",9,"Zunil",16,1503,400,140,8,85,2,94,329,13,5,347,0,347,--,400,53,329,347,347,Algún campo sin dato,1,94fd1714f170ea4dcb1a16b2a25508e5bf727a8bf3abed93bd094b166d5610c6,26/06/2023 00:49:06,ESCANER
11214,"Quetzaltenango",9,"Zunil",16,1503,400,134,1,102,3,97,337,8,10,355,0,355,--,400,45,337,355,355,Algún campo sin dato,1,d4328ea201d88f791335c7f100d26c82491fba56f43e53cc22ba55a4716f28be,26/06/2023 02:44:32,ESCANER
11215,"Quetzaltenango",9,"Zunil",16,1503,400,151,3,74,1,126,355,7,2,364,0,364,--,398,34,355,364,364,Algún campo sin dato,1,0bdb1d4b168e3945785966cc10beaaaf4e180031f03ce957e749e18480553c24,26/06/2023 01:09:16,ESCANER
11216,"Quetzaltenango",9,"Zunil",16,1503,400,161,6,82,3,84,336,4,1,341,0,341,--,400,59,336,341,341,Algún campo sin dato,1,3e179c90f74c625032290f2435606eac373dee9ad155d5e6e8d010c83b680872,26/06/2023 01:42:57,ESCANER
11217,"Quetzaltenango",9,"Zunil",16,1504,400,136,5,76,0,95,312,2,1,315,0,315,--,400,85,312,315,315,Algún campo sin dato,1,2b347cf6af2a9d401d611c1f2f3c67cd17e076750041982ec826a70f8ca2fdda,25/06/2023 23:50:44,ESCANER
11218,"Quetzaltenango",9,"Zunil",16,1504,400,153,3,80,2,84,322,4,2,328,0,328,--,400,72,322,328,328,Algún campo sin dato,1,33702092e9e10f2391d4f2c7006297ca0e1fea4f58bada7b2ceeb427442967de,25/06/2023 23:08:35,ESCANER
11219,"Quetzaltenango",9,"Zunil",16,1504,400,160,8,72,1,89,330,7,3,339,0,339,--,--,--,330,340,340,Sumas Asentadas sin cuadrar,1,1b3dd7bb01453d7c059157aa6da010cf0b85dc03d8e076eb768d5f191fb97aa1,26/06/2023 00:00:35,ESCANER
11220,"Quetzaltenango",9,"Zunil",16,1505,400,172,6,75,2,87,342,7,1,350,0,350,--,401,51,342,350,350,Algún campo sin dato,1,6cd387db9abd187576163b61394da1c90b39f48409fbf1ff110f3b7ec2814a99,26/06/2023 01:17:45,ESCANER
11221,"Quetzaltenango",9,"Zunil",16,1505,400,153,3,75,1,84,316,5,3,324,0,324,--,400,76,316,324,324,Algún campo sin dato,1,049efc16f463059ded4d8590ea4e1c0dbb0f2bbba4dca43945516e292acef48c,26/06/2023 01:50:11,ESCANER
11222,"Quetzaltenango",9,"Zunil",16,1505,400,141,2,78,0,79,300,3,0,303,0,303,1,403,99,300,303,303,,1,16fa382b46804301e5d63de8034cb15059e462340216e293a5816bd4bba76d24,26/06/2023 00:48:26,ESCANER
11223,"Quetzaltenango",9,"Zunil",16,1505,400,158,3,82,0,82,325,2,0,327,0,--,--,400,73,325,327,327,Algún campo sin dato,1,f8c7b4aeaf0d1d2cc2515ae84102af6ddea0775ff186a0af3824646399464c05,26/06/2023 01:00:04,ESCANER
11224,"Quetzaltenango",9,"Zunil",16,1505,400,163,1,65,0,88,317,0,0,317,0,317,--,401,84,317,317,317,Algún campo sin dato,1,996c46e6a88f810e2600ae2742c6a64d9551fa2d6078dc83c55a23d55e8d6ec7,26/06/2023 01:10:19,ESCANER
11225,"Quetzaltenango",9,"Zunil",16,1505,221,69,5,58,0,54,186,0,0,186,2,188,--,221,33,186,186,188,Algún campo sin dato,1,e128561d8408838ee26f92f226e188331341d5c0856a2e81402da7b9bd04eab5,25/06/2023 23:45:00,ESCANER
11226,"Quetzaltenango",9,"Zunil",16,1505,220,73,2,32,0,39,146,0,2,148,0,148,--,220,72,146,148,148,Algún campo sin dato,1,62da423e1878f1f6598d0e22ec53d4a4ee5564837513acbe4c4761a40c5b2fd0,25/06/2023 23:06:25,ESCANER
11227,"Quetzaltenango",9,"Zunil",16,1506,400,145,22,95,0,38,300,7,5,312,0,312,--,401,89,300,312,312,Algún campo sin dato,1,8b2a32b9f5f56697a6fd7221065fda256086e8a1b1355a7e89afb8ad927fac85,26/06/2023 00:56:38,ESCANER
11228,"Quetzaltenango",9,"Zunil",16,1506,400,158,19,95,2,35,309,9,1,319,0,319,--,400,783,309,319,319,Algún campo sin dato,1,e48234ea0236477ad791ade1a9f061666f9f2f4f898c14905d9ed858cc0ad5fd,26/06/2023 00:17:31,ESCANER
11229,"Quetzaltenango",9,"Zunil",16,1506,400,114,12,131,0,34,291,12,9,312,0,312,--,400,88,291,312,312,Algún campo sin dato,1,28759a752ef7f9dc15879f4cc5291b33f08a01443376b01ba8afc1954f7158ea,26/06/2023 01:55:00,ESCANER
11230,"Quetzaltenango",9,"Zunil",16,1506,400,120,20,78,1,32,251,10,1,261,0,261,2,401,139,251,262,262,Sumas Asentadas sin cuadrar,1,e04f94dd4c7d5339245644a7fc40f14af8c9ace367c0ed6a34d9982cc3854385,26/06/2023 02:23:56,ESCANER
11231,"Quetzaltenango",9,"Zunil",16,1506,400,130,25,90,1,30,276,4,1,281,0,281,--,401,120,276,281,281,Algún campo sin dato,1,d4940369485041ce18cfd3cd5ca65dd2051dc7ca3a1a7720a783ecc8c7abe618,26/06/2023 00:43:50,ESCANER
11232,"Quetzaltenango",9,"Zunil",16,1507,206,65,18,45,0,9,138,2,0,140,0,140,1,203,63,137,139,139,Sumas Asentadas sin cuadrar,1,dbf9b262a9d2cb326d7e599ff8f1e17bec6ab68ecf1ae75295c964e34a0967f8,26/06/2023 00:00:11,ESCANER
11233,"Quetzaltenango",9,"Zunil",16,1507,206,65,10,40,0,16,131,0,0,131,0,131,--,206,75,131,131,131,Algún campo sin dato,1,413e1d94f5298a977490f6abc93d675490d124263c69dff847d6aaa04e843e31,25/06/2023 23:15:35,ESCANER
11234,"Quetzaltenango",9,"Zunil",16,1508,325,72,2,27,0,44,145,2,4,151,0,151,--,323,172,145,151,151,Algún campo sin dato,1,277bfcaeaf471bfecca4952a3eb4c05ce0d1272e34206690d339bf643e43a5e0,25/06/2023 22:13:36,ESCANER
