TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
28 junio 2023 21:35 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
89,89,100.0000,89,100.0000,0,33533,17048,50.8394

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,VICTORIA,TODOS,VAMOS,CABAL,VIVA,PHG,PPN,UNE,VOS,VALOR UNIONISTA,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
11235,"Quetzaltenango",9,"Colomba",17,1509,400,1,55,137,3,2,0,4,13,0,0,215,15,6,236,0,236,--,400,164,215,236,236,Algún campo sin dato,1,80e5066f0e7038f92fd1de213f8dd6bcef0f7f60b3a690196ec82ccdd84f78ac,25/06/2023 21:56:33,ESCANER
11236,"Quetzaltenango",9,"Colomba",17,1509,400,1,68,146,0,4,1,3,13,0,0,236,15,1,252,0,252,--,400,148,236,252,252,Algún campo sin dato,1,483ab598d16475a33305fedf8564033eb1b8efa084a9d344e277cda8d557aa6b,25/06/2023 22:25:59,ESCANER
11237,"Quetzaltenango",9,"Colomba",17,1509,400,0,77,151,1,2,0,0,13,0,0,244,13,2,259,0,259,--,400,141,244,259,259,Algún campo sin dato,1,91f9f8d81c45017b6612b94919e1b6abce922916d9a9c829a8ec369229e29039,25/06/2023 23:14:36,ESCANER
11238,"Quetzaltenango",9,"Colomba",17,1509,400,0,49,159,3,1,1,4,5,2,0,224,21,0,245,0,245,--,400,155,224,245,245,Algún campo sin dato,1,f32c676bce60ce978089e18320b1077f31efad0cadd7f2a7b55254de431021e5,25/06/2023 21:03:20,ESCANER
11239,"Quetzaltenango",9,"Colomba",17,1509,400,0,78,161,5,1,0,1,8,1,2,257,17,3,277,--,277,--,400,123,257,277,277,Algún campo sin dato,1,3883cc9a80f1269f83a214df76e4bc2463521434831c7612edecf3401f562b92,25/06/2023 23:09:55,ESCANER
11240,"Quetzaltenango",9,"Colomba",17,1509,400,0,53,160,4,1,1,2,7,0,0,228,17,4,249,0,249,--,400,151,228,249,249,Algún campo sin dato,1,10d1cb77c64bd6a9714ac1d2713802893155e319a19250ded7c45d9fe2200e17,25/06/2023 21:39:36,ESCANER
11241,"Quetzaltenango",9,"Colomba",17,1509,400,0,63,160,2,1,1,2,11,5,2,247,19,3,269,0,269,--,400,131,247,269,269,Algún campo sin dato,1,597f2df02e77f7643be54fae1e1406c6fab0f263714f6fae8ea015946826ed6b,25/06/2023 22:31:46,ESCANER
11242,"Quetzaltenango",9,"Colomba",17,1509,400,3,69,144,1,2,0,2,11,0,0,232,9,2,243,0,243,--,400,157,232,243,243,Algún campo sin dato,1,a2d0a58622ffb3791c2624bdcce9d5b3b546bc62182ccabf3076b24f1d09ba0e,25/06/2023 21:23:48,ESCANER
11243,"Quetzaltenango",9,"Colomba",17,1510,400,1,55,136,5,2,2,1,6,2,0,210,16,2,228,0,228,--,400,172,210,228,228,Algún campo sin dato,1,36e42e964a641232b25128f03c8fe347f2a647cc5d2a8d7ff20dd7fb06e00b15,25/06/2023 22:09:48,ESCANER
11244,"Quetzaltenango",9,"Colomba",17,1510,400,3,68,156,8,1,1,0,6,1,0,244,13,3,260,0,260,--,400,140,244,260,260,Algún campo sin dato,1,4d7a082723101cad9a6226f41d59aa4daf3aeb6dfd48a36389193936588518a2,25/06/2023 22:58:33,ESCANER
