TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
48,48,100.0000,48,100.0000,0,17952,11865,66.0929

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,MLP,VICTORIA,VAMOS,UNE,PIN,VIVA,PPN,CREO,UR,TODOS,CABAL,CAMBIO,VALOR UNIONISTA,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
11337,"Quetzaltenango",9,"El Palmar",19,1522,400,3,94,88,21,1,2,11,5,1,2,1,0,44,273,11,4,288,0,288,--,400,112,273,288,288,Algún campo sin dato,1,acb2d7832402d50236f0dfad9907ae198ca7ed6bee648ddd5ad75ee934d9cbc4,26/06/2023 02:08:22,ESCANER
11338,"Quetzaltenango",9,"El Palmar",19,1522,400,2,121,69,12,3,3,14,5,1,0,0,0,30,260,9,3,272,0,272,--,400,128,260,272,272,Algún campo sin dato,1,0089e36dda1a081b7760dd9d5241d8eec92258b87cec21d845a5a66ab9773d8c,26/06/2023 02:39:12,ESCANER
11339,"Quetzaltenango",9,"El Palmar",19,1522,400,3,117,83,17,1,0,8,4,1,0,0,0,44,278,16,4,298,0,298,--,400,102,278,298,298,Algún campo sin dato,1,9179782c00953ef6358d8b6baf68bb5398193a2737bf4f7b56bc0eaef229c276,25/06/2023 23:20:18,ESCANER
11340,"Quetzaltenango",9,"El Palmar",19,1522,400,6,123,87,10,5,2,9,3,2,1,0,0,40,288,9,13,310,0,310,--,400,90,288,310,310,Algún campo sin dato,1,aa1d83f7ab2be33ad089d31ae9315c23032036c16a4b8f455dbca3d89c6d157d,26/06/2023 02:20:44,ESCANER
11341,"Quetzaltenango",9,"El Palmar",19,1522,400,8,114,96,39,0,0,11,2,2,1,1,0,23,297,11,4,312,0,312,--,400,88,297,312,312,Algún campo sin dato,1,a9adaee52c470978a71f937856238b85caeb67d891a54829ea92e93741fae06d,26/06/2023 01:06:50,ESCANER
11342,"Quetzaltenango",9,"El Palmar",19,1522,400,2,78,110,18,1,4,25,3,0,1,0,0,50,292,17,3,312,0,312,--,400,88,292,312,312,Algún campo sin dato,1,c3693a8d0f2ce1b10f96fbde18afdbc2c2ebc44f5d5f971e9d4035a0d9fc7721,26/06/2023 03:09:42,ESCANER
11343,"Quetzaltenango",9,"El Palmar",19,1522,400,4,116,103,19,2,2,5,7,0,2,0,0,39,299,15,0,314,0,314,--,400,86,299,314,314,Algún campo sin dato,1,95b909ded54cd8f7ff11ab6df7d689ae9afb7b856121075d3af988d6af0a10b2,26/06/2023 03:03:57,ESCANER
11344,"Quetzaltenango",9,"El Palmar",19,1522,400,5,124,71,22,3,2,14,1,0,1,1,0,34,278,16,2,296,0,296,--,400,104,278,296,296,Algún campo sin dato,1,cf358280c1653f1b95aab233695bafdec65ecad28ee499651f6cb7ae9ed99948,26/06/2023 01:47:35,ESCANER
11345,"Quetzaltenango",9,"El Palmar",19,1522,400,1,112,74,11,2,--,9,3,--,--,--,--,42,254,3,1,258,--,258,--,400,142,254,258,258,Algún campo sin dato,1,171d6e0020465e00f68a70ea61c08db7f1a62cddad697776cb2a5178364d5a78,26/06/2023 01:00:19,ESCANER
11346,"Quetzaltenango",9,"El Palmar",19,1522,400,1,102,83,24,3,2,17,4,0,0,1,0,36,273,8,6,287,0,287,--,400,113,273,287,287,Algún campo sin dato,1,0f829dc9daca083d9f7e13f33fd5398f87aff378bef980c4af76c91d2ec82f1d,26/06/2023 00:02:17,ESCANER
11347,"Quetzaltenango",9,"El Palmar",19,1522,400,0,131,86,15,5,2,7,4,0,2,0,0,25,277,9,4,290,0,290,--,400,110,277,290,290,Algún campo sin dato,1,cab133a1d310af42c3c24d048fd07953060da3764001bc49e11787075cfbdff8,26/06/2023 00:29:44,ESCANER
11348,"Quetzaltenango",9,"El Palmar",19,1522,400,1,100,88,11,4,1,6,4,0,1,0,0,39,255,11,4,270,0,270,--,400,130,255,270,270,Algún campo sin dato,1,ee23418df754fd27621e65068bc64684c14909d2f7083a0b5e88f1ab43a487e8,26/06/2023 01:54:13,ESCANER
