TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
66,66,100.0000,66,100.0000,0,25172,14852,59.0020

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,VIVA,CABAL,MLP,TODOS,PPN,UNE,VICTORIA,PHG,VAMOS,SEMILLA,VALOR UNIONISTA,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
11560,"Quetzaltenango",9,"Génova",21,1547,400,12,47,2,1,32,3,1,2,84,2,60,246,23,7,276,0,276,--,400,124,246,276,276,Algún campo sin dato,1,50c2f15040c33ff390e10700a94108c5a3b2e289b7ce249f74c33f539a5ac1d6,25/06/2023 22:45:45,ESCANER
11561,"Quetzaltenango",9,"Génova",21,1547,400,8,40,5,4,36,6,0,1,75,2,77,254,15,5,274,0,274,--,400,126,254,274,274,Algún campo sin dato,1,5506ad66046aa9e1a5a14f4ecab4bdf0eedae7d90cc17d6f60b20b7ad4dcb353,26/06/2023 01:10:38,ESCANER
11562,"Quetzaltenango",9,"Génova",21,1547,400,13,36,1,4,41,3,1,0,70,0,74,243,7,7,257,0,257,--,396,139,243,257,257,Algún campo sin dato,1,ed9c17b8cf37ddcbeba1a35eadb99c25c5f70cb37e59876f02ce5f48f4eb3e0a,26/06/2023 00:44:41,ESCANER
11563,"Quetzaltenango",9,"Génova",21,1547,400,2,81,5,3,26,2,0,0,77,1,53,250,15,4,269,0,269,--,400,131,250,269,269,Algún campo sin dato,1,b05906d69fd36799e56125f7e671ba1e7031011cfc0c7291a17beb04a8a04247,26/06/2023 01:48:55,ESCANER
11564,"Quetzaltenango",9,"Génova",21,1547,400,6,96,7,14,14,3,0,2,82,0,68,298,3,3,298,0,298,--,400,102,292,298,298,Sumas Asentadas sin cuadrar,1,4047b9bf453da98369cfa3a1f5ecfe7a534ddafe7858e9752959dbfe89833225,26/06/2023 01:38:14,ESCANER
11565,"Quetzaltenango",9,"Génova",21,1547,400,8,74,4,11,22,5,1,0,117,1,54,297,15,8,320,0,320,--,400,80,297,320,320,Algún campo sin dato,1,ddb0b4e1db8f01fcaf5ac695605ad492cbee6ee5561161fe0b2b6be258d7c30c,26/06/2023 01:46:33,ESCANER
11566,"Quetzaltenango",9,"Génova",21,1547,400,8,60,1,3,25,1,0,0,109,0,80,287,15,4,306,0,306,--,400,94,287,306,306,Algún campo sin dato,1,2ee8c720464f2178140bedfe00574cb1775e0010984fdd792aba97e5492fb3b1,26/06/2023 01:38:04,ESCANER
11567,"Quetzaltenango",9,"Génova",21,1547,400,1,59,1,1,36,5,1,3,146,1,51,305,10,5,320,0,320,--,400,80,305,320,320,Algún campo sin dato,1,4256bc17ed5bd876a5e690854d3b66f816f6e927a94f9e573e49fec7b608ce52,26/06/2023 01:44:16,ESCANER
11568,"Quetzaltenango",9,"Génova",21,1547,400,4,40,1,0,35,6,0,0,116,0,69,271,3,6,280,6,286,--,400,114,271,280,286,Algún campo sin dato,1,b2437318c4d12fd1c8e03aadf640f27e10cd03ddd5a5de3499530fcd87b711c0,26/06/2023 02:08:37,ESCANER
11569,"Quetzaltenango",9,"Génova",21,1547,400,11,26,2,1,23,8,0,0,101,2,85,259,11,2,272,0,272,--,400,128,259,272,272,Algún campo sin dato,1,f1cfa9e51721ba9319ba0f91f5829ab4ec110288c366e95da2711a262bf080fc,26/06/2023 01:40:04,ESCANER
11570,"Quetzaltenango",9,"Génova",21,1547,400,6,50,3,2,29,2,0,1,72,1,69,235,1,3,239,0,239,--,400,161,235,239,239,Algún campo sin dato,1,b528e05dd319baf3ea217a249ff4eb05df22764de5446cc07400a6e4b8ca490d,26/06/2023 04:19:59,ESCANER
11571,"Quetzaltenango",9,"Génova",21,1547,400,6,48,4,3,29,5,2,1,81,0,70,249,15,6,270,0,270,--,400,130,249,270,270,Algún campo sin dato,1,0ca6b28b0662507d0d22bdd050f0d9f7520d1474b50484b337f79be7367f0cfe,25/06/2023 22:32:32,ESCANER
11572,"Quetzaltenango",9,"Génova",21,1547,400,7,46,4,7,34,8,0,1,88,1,58,254,12,2,268,0,268,--,400,132,254,268,268,Algún campo sin dato,1,ebc76ea6433a5eb4f5b4515760f4cf251fb8fc77d2a18c10c8586dfc4a00fd2d,26/06/2023 01:16:45,ESCANER
11573,"Quetzaltenango",9,"Génova",21,1547,400,4,71,6,2,35,5,0,2,75,0,70,270,7,2,279,0,279,--,400,121,270,279,279,Algún campo sin dato,1,5dd9d1fc1714e66a92a5537f30810def10d4574432a592826dbb74d0a947c55d,26/06/2023 01:43:00,ESCANER
11574,"Quetzaltenango",9,"Génova",21,1547,400,7,42,3,1,34,8,0,0,87,1,55,238,15,3,256,0,256,--,400,144,238,256,256,Algún campo sin dato,1,06baf17c0efc15590d313be945d18e0f1662789188e8ed21f9b86dcd724a3de9,26/06/2023 01:43:31,ESCANER
11575,"Quetzaltenango",9,"Génova",21,1548,400,8,38,3,8,29,4,0,0,83,0,80,253,9,2,264,0,264,--,400,136,253,264,264,Algún campo sin dato,1,f89af6bdeec544b8bdba1c3e7ae0af67859a1ae15c3da9909aa94885fa9fca09,26/06/2023 01:13:55,ESCANER
11576,"Quetzaltenango",9,"Génova",21,1548,400,5,41,2,3,29,14,0,0,78,0,72,253,8,1,253,0,253,--,400,147,244,253,253,Sumas Asentadas sin cuadrar,1,fdb2619866813f443a2b73df86300741e4b225dcba7b16a9dc8d22299bbda909,26/06/2023 00:52:28,ESCANER
