TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
41,41,100.0000,41,100.0000,0,14462,8960,61.9554

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,VIVA,VAMOS,UNE,CABAL,PHG,PPN,CAMBIO,TODOS,VALOR UNIONISTA,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
11626,"Quetzaltenango",9,"Flores Costa Cuca",22,1554,400,28,126,13,0,4,2,0,1,70,244,15,1,260,2,262,--,400,138,244,260,262,Algún campo sin dato,1,11b4cb986e506dc962b55916e27a82a7227f6ca5c9c066a49dcecd96bb014229,26/06/2023 01:01:02,ESCANER
11627,"Quetzaltenango",9,"Flores Costa Cuca",22,1554,400,20,110,20,0,2,0,0,1,87,181,44,39,264,0,264,--,400,136,240,323,323,Sumas Asentadas sin cuadrar,1,4b33406ca59b23a34fa97751eb50b5260a093c737fa5797639ce2161a672c85c,26/06/2023 00:57:57,ESCANER
11628,"Quetzaltenango",9,"Flores Costa Cuca",22,1554,400,29,138,13,1,6,2,0,1,73,263,25,4,292,0,292,--,400,108,263,292,292,Algún campo sin dato,1,b6016c754ec4c3372ab366dbd11924aa5f0f795725d24ce8fde4880e647c6de0,26/06/2023 01:06:53,ESCANER
11629,"Quetzaltenango",9,"Flores Costa Cuca",22,1555,400,31,148,19,1,5,1,0,0,74,279,8,3,290,0,290,--,400,110,279,290,290,Algún campo sin dato,1,3b4956d6e49d6d5fbf89e893fbece7f3d155c76e9752f1dcfae2996bbf2b2ef6,26/06/2023 01:18:36,ESCANER
11630,"Quetzaltenango",9,"Flores Costa Cuca",22,1555,400,28,130,14,0,1,0,1,4,81,259,10,7,276,0,276,--,400,124,259,276,276,Algún campo sin dato,1,0f82115d8be33bb390dda836d1a29f3ce68d82ca45d2c098a89203117320b6a5,26/06/2023 01:28:17,ESCANER
11631,"Quetzaltenango",9,"Flores Costa Cuca",22,1555,400,39,101,9,1,5,1,0,0,91,247,13,1,261,0,261,--,400,139,247,261,261,Algún campo sin dato,1,63c33fb7e04c798d7de68942f4b93787a1d2f0f0d79ca1334d3ab713390952dd,26/06/2023 01:46:11,ESCANER
11632,"Quetzaltenango",9,"Flores Costa Cuca",22,1555,400,27,105,11,2,5,0,0,1,80,231,10,2,243,0,243,--,400,157,231,243,243,Algún campo sin dato,1,7fb23af35f92365a954a2f44d16a2aea2f57326ff02c2e56a02233c20130ca7d,26/06/2023 01:40:50,ESCANER
11633,"Quetzaltenango",9,"Flores Costa Cuca",22,1556,400,28,87,8,1,8,0,0,1,79,212,12,1,225,0,225,--,400,175,212,225,225,Algún campo sin dato,1,283a20a072477c7b6d1e987b4b03563822e2cd9f022bb00e7e4adeaa2aeb5916,25/06/2023 23:04:29,ESCANER
11634,"Quetzaltenango",9,"Flores Costa Cuca",22,1556,400,26,104,6,1,3,0,0,0,97,237,3,0,240,0,240,--,400,160,237,240,240,Algún campo sin dato,1,35f617d058a46f5e54f46f72fd992b5dcffa4e4dbd6d7f86ac421b0426c5ff47,25/06/2023 23:06:14,ESCANER
11635,"Quetzaltenango",9,"Flores Costa Cuca",22,1556,207,8,77,7,0,1,0,0,0,44,137,0,0,137,0,137,--,--,--,137,137,137,Algún campo sin dato,1,e6c23f140671f18bc37a750bc17a6866bb519a738536788356221bd293c80715,25/06/2023 23:13:31,ESCANER
