TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
28 junio 2023 21:35 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
34,34,100.0000,34,100.0000,0,12683,8475,66.8217

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,CABAL,PPN,CREO,VOS,MI FAMILIA,UNE,TODOS,CCLE,BIEN,VAMOS,PHG,VIVA,CAMBIO,VALOR UNIONISTA,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
11667,"Quetzaltenango",9,"La Esperanza",23,1564,400,53,8,10,11,8,1,26,32,17,24,30,57,3,0,280,16,3,299,0,299,--,399,100,280,299,299,Algún campo sin dato,1,9491de6a7d4a35b663e30c8fcabfc38bd33ca4019385f4cf099ca85c9b39e88d,26/06/2023 01:28:47,ESCANER
11668,"Quetzaltenango",9,"La Esperanza",23,1564,400,53,12,5,11,4,0,11,31,31,39,46,57,5,2,307,18,1,326,0,326,--,399,73,307,326,326,Algún campo sin dato,1,b735da48cfba04f419744dfa67243b00108c55c09bca2907ea78c902f4b45f38,26/06/2023 01:47:38,ESCANER
11669,"Quetzaltenango",9,"La Esperanza",23,1564,400,62,10,17,9,9,7,17,30,19,31,37,49,2,1,300,12,3,315,0,315,--,400,85,300,315,315,Algún campo sin dato,1,fb6f1657ea86fadb571aa85565625f4ccede876086e628600ce5e3b04cb51400,26/06/2023 01:54:33,ESCANER
11670,"Quetzaltenango",9,"La Esperanza",23,1564,400,44,6,10,14,6,3,18,36,17,40,38,52,6,1,291,6,8,305,0,305,--,400,95,291,305,305,Algún campo sin dato,1,ab796f4f4fffe4f00e74efa694577384e098a652a9c4909e50742d76651c71e7,26/06/2023 00:22:50,ESCANER
11671,"Quetzaltenango",9,"La Esperanza",23,1564,400,63,6,10,8,10,4,26,32,24,24,27,59,5,1,299,13,5,317,0,317,--,400,83,299,317,317,Algún campo sin dato,1,0375f1cda433a80f3474f9dc830764e7ca36a7a84b29ebd42d1a359a4fc87e14,26/06/2023 01:17:49,ESCANER
11672,"Quetzaltenango",9,"La Esperanza",23,1564,400,37,3,9,9,7,3,14,23,24,38,31,53,5,2,258,11,5,274,0,274,--,400,126,258,274,274,Algún campo sin dato,1,da0369bae7a1a47e7085a50c1a9fcab13ba36d9f89f212cd9835d6f329389432,26/06/2023 01:51:45,ESCANER
11673,"Quetzaltenango",9,"La Esperanza",23,1564,400,54,5,6,15,3,1,15,33,21,26,34,48,3,0,264,7,3,274,0,274,--,401,274,264,274,274,Algún campo sin dato,1,6f43a1700219955461bbd972baa6d8495c53ed3e7f207741f3f53ef45c5951b0,26/06/2023 00:34:24,ESCANER
11674,"Quetzaltenango",9,"La Esperanza",23,1564,400,46,6,6,16,9,1,13,29,21,27,31,37,4,3,249,13,3,265,0,265,--,401,136,249,265,265,Algún campo sin dato,1,03d8210a31ee4051579c5b92eb373fd5d8d6e7de2a7563b2bf1bbb681d6dbeb2,26/06/2023 00:11:23,ESCANER
11675,"Quetzaltenango",9,"La Esperanza",23,1564,400,61,4,5,8,9,4,9,32,25,26,27,52,6,2,270,12,3,285,0,285,--,400,115,270,285,285,Algún campo sin dato,1,537e629a135132b2817f37ec976ab1827269ec52d05add4c55f15cd2846381a9,25/06/2023 23:19:03,ESCANER
11676,"Quetzaltenango",9,"La Esperanza",23,1564,400,42,8,15,10,5,3,27,18,20,27,30,60,3,4,272,12,3,272,1,288,--,400,112,272,287,288,Sumas Asentadas sin cuadrar,1,c97e6292d2a0d4b5696cd52506b4e9f7c3c966d592c1007d7da2a71acdf4a1bf,25/06/2023 23:17:04,ESCANER
