TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
26,26,100.0000,26,100.0000,0,9785,5734,58.5998

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,VICTORIA,CREO,VAMOS,CABAL,MI FAMILIA,SEMILLA,TODOS,UNE,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
11701,"Quetzaltenango",9,"Palestina De Los Altos",24,1570,400,12,60,45,7,32,62,17,2,237,13,11,261,0,261,--,400,139,237,261,261,Algún campo sin dato,1,f637db584f37f50d358bb0a23412d883e2071df6012a26c9df360bd3c75250bd,25/06/2023 23:29:18,ESCANER
11702,"Quetzaltenango",9,"Palestina De Los Altos",24,1570,400,15,61,72,8,31,51,13,1,252,7,7,266,0,266,--,400,134,252,266,266,Algún campo sin dato,1,ce34cc436431e85c8cf71fa04b40639f060b3bab9b3636f9be12a5db3dba37a1,26/06/2023 00:05:02,ESCANER
11703,"Quetzaltenango",9,"Palestina De Los Altos",24,1570,400,18,71,39,9,35,60,21,2,255,12,12,279,0,279,--,400,121,255,279,279,Algún campo sin dato,1,d9740ff56d3b83db003eac1bb697dd56059be7bd48593161ff8d21475f9675e9,25/06/2023 23:16:40,ESCANER
11704,"Quetzaltenango",9,"Palestina De Los Altos",24,1570,400,21,44,42,7,45,65,11,2,237,10,9,256,0,256,--,400,144,237,256,256,Algún campo sin dato,1,bb3388fd6c83be9815cee060f175fe9a834f235b9f41d67fcb21539947009be4,25/06/2023 23:53:52,ESCANER
11705,"Quetzaltenango",9,"Palestina De Los Altos",24,1570,400,15,65,54,5,52,53,11,1,256,11,21,288,0,288,--,400,112,256,288,288,Algún campo sin dato,1,06d164fefffc7ead8dcbac4e9b9eaddf946f9525daf84ca6940d1aa5dc4bfc2d,26/06/2023 00:00:41,ESCANER
11706,"Quetzaltenango",9,"Palestina De Los Altos",24,1570,400,10,64,49,4,30,37,16,0,210,8,5,223,0,223,--,400,177,210,223,223,Algún campo sin dato,1,1b7ee52b99ab1d770b0b60b917bf984ca550a738f60068d5fbf1ede31d1087f2,26/06/2023 00:09:44,ESCANER
11707,"Quetzaltenango",9,"Palestina De Los Altos",24,1570,400,18,56,44,2,24,51,16,2,214,3,10,227,0,227,1,400,173,213,226,226,Sumas Asentadas sin cuadrar,1,16362e662bc873f1ddd2dd27b58afdccb23913a3b2f8b29ae3114bf0ae82e74e,25/06/2023 23:46:08,ESCANER
11708,"Quetzaltenango",9,"Palestina De Los Altos",24,1570,393,12,58,62,4,30,39,9,1,215,3,1,219,0,219,--,--,--,215,219,219,Algún campo sin dato,1,4562f6eb35853f3e6325e629c8245b7802f163b837ca0cffcfec6556fa2e6183,26/06/2023 00:23:51,ESCANER
11709,"Quetzaltenango",9,"Palestina De Los Altos",24,1570,392,28,39,48,6,33,37,12,0,203,2,1,206,0,206,--,392,186,203,206,206,Algún campo sin dato,1,fe5b7109fdcc2bb3e02aefb5b611a4578234d735792b404d81f75fa49233876c,25/06/2023 22:15:42,ESCANER
11710,"Quetzaltenango",9,"Palestina De Los Altos",24,1571,380,5,98,62,3,3,16,9,4,200,7,4,211,0,211,--,403,192,200,211,211,Algún campo sin dato,1,7d83449871b58c68e5413c3f833516af1bcea63d794152cee09eccff7209e553,25/06/2023 23:14:02,ESCANER
