TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
120,119,99.1666,118,98.3333,1,45728,25732,56.2718

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,CABAL,UNE,TODOS,VAMOS,PODEMOS,VIVA,AZUL,VICTORIA,ELEFANTE,SEMILLA,PPN,FCN-NACION,PHG,MLP,BIEN,PIN,CAMBIO,VOS,VALOR,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
11727,"Suchitepéquez",10,"Mazatenango",1,1577,400,22,17,50,33,11,7,4,2,26,14,9,0,7,0,5,0,3,9,14,233,17,0,250,0,250,1,400,149,233,250,250,,1,9308947a1fdc91d1606a98f42d067cf697decd0d6b0455c07c3aa018a57dc7d7,26/06/2023 02:59:47,ESCANER
11728,"Suchitepéquez",10,"Mazatenango",1,1577,400,18,22,49,30,9,7,3,6,25,11,4,1,14,3,7,0,2,13,10,234,20,2,256,1,257,1,400,143,234,256,257,,1,d4b86c6baa27d7ee0d5defc958e012ad51432027ce5dd362ebbe1606ca73f5c3,26/06/2023 01:19:38,ESCANER
11729,"Suchitepéquez",10,"Mazatenango",1,1577,400,31,14,55,18,4,8,3,6,37,11,5,2,12,3,6,0,1,12,16,244,20,3,267,0,267,--,400,133,244,267,267,Algún campo sin dato,1,b04ff852c91a89b00e8d9ba8fb86b185d748bd7314a6a5e2eb3fbfd9f44e26dd,26/06/2023 02:14:14,ESCANER
11730,"Suchitepéquez",10,"Mazatenango",1,1577,400,39,9,50,40,6,6,1,1,35,11,10,0,12,2,7,1,1,8,11,250,19,6,275,0,275,--,400,125,250,275,275,Algún campo sin dato,1,c2c21da167a1c769ddb625162ac42c5afb4a78ab4525f88dc864a01881809518,26/06/2023 01:53:56,ESCANER
11731,"Suchitepéquez",10,"Mazatenango",1,1577,400,42,17,59,29,7,9,7,7,21,15,10,0,14,2,10,1,3,2,9,267,20,2,289,0,289,--,400,111,264,286,286,Sumas Asentadas sin cuadrar,1,0532969e9d88149fe48f0a380e8d2510cb2fdd8bc2c516f55acbb3da374fcd8e,26/06/2023 05:24:59,ESCANER
11732,"Suchitepéquez",10,"Mazatenango",1,1577,400,26,15,48,37,9,2,3,4,16,8,10,0,16,4,3,0,2,12,9,224,20,0,244,0,244,--,401,156,224,244,244,Algún campo sin dato,1,8cba9afb32cf5059226345630b7624e580c40b92c083049683ecc84bc1b441ac,26/06/2023 05:37:55,ESCANER
11733,"Suchitepéquez",10,"Mazatenango",1,1577,400,24,16,52,28,1,2,3,2,23,10,8,0,8,0,6,0,4,7,15,209,16,4,230,0,230,1,400,166,209,229,229,Sumas Asentadas sin cuadrar,1,00c961a29e368246d92ee249738741a92c1859e9f90c4339f6c5fbcd4abc5ade,26/06/2023 03:54:22,ESCANER
11734,"Suchitepéquez",10,"Mazatenango",1,1577,400,30,18,51,45,7,10,7,2,27,16,5,2,9,2,2,0,1,7,18,259,11,1,271,0,271,--,271,129,259,271,271,Algún campo sin dato,1,5f904c0d362dfaf39d17eb1ad54033e3ee085752d81c8b635bce7fce348e1396,26/06/2023 03:12:04,ESCANER
11735,"Suchitepéquez",10,"Mazatenango",1,1577,400,22,17,51,39,3,6,3,2,28,12,12,1,10,1,4,0,1,7,10,229,10,0,239,0,239,--,395,156,229,239,239,Algún campo sin dato,1,ac5dbe335cb9b4b2c060a6664f901431cd2f09be9fcc35ba1cb3010830d9acd9,26/06/2023 02:04:18,ESCANER
11736,"Suchitepéquez",10,"Mazatenango",1,1577,400,19,17,56,36,3,4,4,4,28,11,4,0,12,0,7,0,4,11,6,226,11,2,239,0,239,--,400,161,226,239,239,Algún campo sin dato,1,bb059a1c920bc7231b1f0965211bb0af24dae057055285ff0d2c94c73ceb5089,26/06/2023 00:17:11,ESCANER
11737,"Suchitepéquez",10,"Mazatenango",1,1577,400,17,12,40,36,6,6,1,4,21,18,11,0,7,1,4,0,2,8,17,211,9,3,223,0,223,--,400,177,211,223,223,Algún campo sin dato,1,93238d1bec288d099dd8c96ff08c17369a5f8b27f903c2aa5e911e32273fe5b0,26/06/2023 01:29:34,ESCANER
11738,"Suchitepéquez",10,"Mazatenango",1,1577,400,14,8,36,33,8,6,1,4,20,18,6,0,13,1,8,0,5,8,5,194,10,0,204,0,204,1,400,192,194,204,204,,1,b33782554ff8aedc6be0711e98fba692bcede628ddd38ca7355bab551b4b64a1,26/06/2023 03:09:06,ESCANER
