TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
28 junio 2023 21:35 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
50,50,100.0000,50,100.0000,0,19655,11531,58.6670

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,MLP,TODOS,UNE,VAMOS,PODEMOS,VIVA,URNG-MAIZ SEMILLA,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
11847,"Suchitepéquez",10,"Cuyotenango",2,1594,400,2,2,123,102,5,7,9,250,11,3,264,0,264,--,400,136,250,264,264,Algún campo sin dato,1,1a1abdd01fec800b1a6cb88e38df4af54ad3f70529760e8a3ab3994f09b9a411,26/06/2023 00:39:28,ESCANER
11848,"Suchitepéquez",10,"Cuyotenango",2,1594,400,1,4,106,107,4,8,5,235,13,9,257,0,257,9,397,140,235,257,257,,1,db10a18910360c5b5d04e3811300e5717763919da3f78f85a02bd4ef905c085c,26/06/2023 02:48:03,ESCANER
11849,"Suchitepéquez",10,"Cuyotenango",2,1594,400,2,3,121,122,6,11,8,273,9,3,285,0,285,2,400,115,273,285,285,,1,93dfd31a9d30475e27e7f8b1390b2b9b3c390fe23d16449c5edc942ee525d300,26/06/2023 01:28:12,ESCANER
11850,"Suchitepéquez",10,"Cuyotenango",2,1594,400,2,4,129,115,5,10,6,271,10,3,284,116,400,--,--,--,271,284,400,Algún campo sin dato,1,e1d4d8d662beac63bc836b1fecf8953b600cd26fa8a2677f289f1ae9e98331e6,26/06/2023 02:31:58,ESCANER
11851,"Suchitepéquez",10,"Cuyotenango",2,1594,400,2,3,131,123,4,8,7,278,14,1,293,0,293,--,400,107,278,293,293,Algún campo sin dato,1,20e3d097326c11e64c020c97eb52bf2de8e916881bca3466813e61f46e6e6dec,26/06/2023 00:56:54,ESCANER
11852,"Suchitepéquez",10,"Cuyotenango",2,1594,400,4,4,126,133,4,7,3,281,15,2,298,0,298,1,399,99,281,298,298,,1,9bdf166a359178e3c9fcc20d78ad304fe874a41e2465650b9cf7fcfdcc52b211,26/06/2023 01:32:45,ESCANER
11853,"Suchitepéquez",10,"Cuyotenango",2,1594,400,2,8,141,103,5,6,5,270,18,1,289,0,289,1,400,111,270,289,289,,1,27a86125fb6fbf4ebfd97bd82c2d249d89c66c81607d16fb012b1481285083a2,26/06/2023 00:45:55,ESCANER
11854,"Suchitepéquez",10,"Cuyotenango",2,1594,400,0,4,118,127,2,13,9,273,17,4,294,0,294,2,294,103,273,294,294,,1,bbf8aa711b86e9daad7b10baacdcc400c5281148fb884231be8a4ad1241526db,26/06/2023 01:52:30,ESCANER
11855,"Suchitepéquez",10,"Cuyotenango",2,1594,400,1,2,153,96,4,5,5,266,7,2,275,0,275,2,400,120,266,275,275,,1,0cd32c12a53e085c4d6944afead5b9e1fccfaae22ce6babca18f0108610a0e7b,26/06/2023 01:21:27,ESCANER
11856,"Suchitepéquez",10,"Cuyotenango",2,1595,400,1,1,115,119,4,3,3,257,10,1,257,0,257,--,400,140,246,257,257,Sumas Asentadas sin cuadrar,1,128fcbab091a9550589c753fed55ede58e4cd3ab26a2d601e9d9a598da9a0c24,26/06/2023 01:44:25,ESCANER
11857,"Suchitepéquez",10,"Cuyotenango",2,1595,400,0,1,141,92,3,9,6,252,11,2,265,0,265,--,397,132,252,265,265,Algún campo sin dato,1,d21adf8abfe4334a9e4519d6efb7f5fc6f667cb7a5b2e01fc65deb1fa0514f2d,25/06/2023 23:54:09,ESCANER
11858,"Suchitepéquez",10,"Cuyotenango",2,1595,400,0,3,114,109,3,6,5,240,12,2,254,0,254,--,400,143,240,254,254,Algún campo sin dato,1,ad897bd274d046929f125e895a27c16c21f13e976bd6750d5eb7db49c88812bf,26/06/2023 00:47:28,ESCANER
11859,"Suchitepéquez",10,"Cuyotenango",2,1595,400,0,4,97,117,2,8,4,232,10,2,244,0,244,--,400,156,232,244,244,Algún campo sin dato,1,5fa7f3307a49bf41f7d0b600c60dc416878da951c0313738d2a796fe4cc77f26,26/06/2023 00:12:24,ESCANER
11860,"Suchitepéquez",10,"Cuyotenango",2,1595,400,1,1,114,108,2,13,7,246,10,2,258,0,258,--,397,139,246,258,258,Algún campo sin dato,1,65748c61dd0a7f381c771b1909c7a190fc7a43dff532117765e6a9eaad6e6be2,26/06/2023 00:03:51,ESCANER
11861,"Suchitepéquez",10,"Cuyotenango",2,1595,400,0,5,106,99,3,9,6,228,11,1,240,0,240,1,400,159,228,240,240,,1,a868eae2e65d6aadc432e282b49c50fcb796d630d4d06907daf78f669117e555,26/06/2023 01:41:37,ESCANER
11862,"Suchitepéquez",10,"Cuyotenango",2,1595,400,2,5,103,86,4,9,8,217,11,4,232,0,232,--,400,168,217,232,232,Algún campo sin dato,1,e9148c9c72a5973f5483acd0b2d64463f8524bc3e4f266d86a7da7ee9e19aa20,26/06/2023 00:19:23,ESCANER
11863,"Suchitepéquez",10,"Cuyotenango",2,1595,400,4,3,119,91,0,5,9,231,3,0,234,0,234,--,400,166,231,234,234,Algún campo sin dato,1,1adc77787721759947adf7d46e813bffe1816a533d565b036fc8463c10063565,26/06/2023 00:23:34,ESCANER
11864,"Suchitepéquez",10,"Cuyotenango",2,1595,400,2,3,95,138,4,5,8,255,3,1,259,1,260,--,397,137,255,259,260,Algún campo sin dato,1,d071adad5e7fc2132acc33916c9e3c11694a39cf2ba79b466e909e14a233ef33,26/06/2023 01:16:02,ESCANER
11865,"Suchitepéquez",10,"Cuyotenango",2,1596,400,2,1,100,95,0,5,5,208,3,1,212,0,212,--,400,188,208,212,212,Algún campo sin dato,1,a96d227540f3928060f01df993e01abf2aff6d24c216a16f5c4e8bef52b5e92d,25/06/2023 23:42:34,ESCANER
11866,"Suchitepéquez",10,"Cuyotenango",2,1596,306,5,2,91,85,0,3,5,191,4,0,195,0,195,2,306,109,191,195,195,,1,9fa52fba895f6cc01742bf02eab09343943005483af4c699c2df3151a4307394,26/06/2023 00:23:03,ESCANER
