TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
41,41,100.0000,41,100.0000,0,15844,11734,74.0595

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,VAMOS,AZUL,PODEMOS,TODOS,VIVA,PPN,CAMBIO,UNE,VALOR,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
11897,"Suchitepéquez",10,"San Francisco Zapotitlán",3,1601,400,104,5,25,18,4,104,6,5,6,277,15,3,295,0,295,--,403,108,277,295,295,Algún campo sin dato,1,d432649bef581360063c1a97a1c5d5c68dd6563002a851ce63d5c391d0a77a28,26/06/2023 02:23:03,ESCANER
11898,"Suchitepéquez",10,"San Francisco Zapotitlán",3,1601,400,108,5,21,24,8,103,7,6,1,283,22,3,308,0,308,--,400,92,283,308,308,Algún campo sin dato,1,88e27ba9208fe747472e444a2667e2877979263787124fa46a8b510069c33e35,26/06/2023 01:43:59,ESCANER
11899,"Suchitepéquez",10,"San Francisco Zapotitlán",3,1601,400,115,7,21,34,1,94,2,1,6,281,14,3,298,0,298,--,400,102,281,298,298,Algún campo sin dato,1,ecd39117112fd2b96e2884c77b1ea458d5e2ebf17cbb9b1f422dc40c708d9a04,26/06/2023 01:49:57,ESCANER
11900,"Suchitepéquez",10,"San Francisco Zapotitlán",3,1601,400,118,4,33,23,1,130,3,2,2,316,19,0,335,0,335,--,400,65,316,335,335,Algún campo sin dato,1,eab7e2ef7f5368c4d7254622a9a88c9a0f83b0696f9fe4bf9278042f035686bb,26/06/2023 01:49:17,ESCANER
11901,"Suchitepéquez",10,"San Francisco Zapotitlán",3,1601,400,115,1,21,20,4,116,4,2,3,286,19,4,309,0,309,--,400,91,286,309,309,Algún campo sin dato,1,03768cd1e54ad61be5ccc9f8ce1c0679c9f083e79ac358e28f3f7142da21aa1c,25/06/2023 23:01:10,ESCANER
11902,"Suchitepéquez",10,"San Francisco Zapotitlán",3,1601,400,125,3,28,17,4,112,2,1,5,297,18,5,320,0,320,--,400,80,297,320,320,Algún campo sin dato,1,ce48b8be295384afa5b2f5d80a64653310ee41b8e6086ced176448e094b55150,26/06/2023 02:27:19,ESCANER
11903,"Suchitepéquez",10,"San Francisco Zapotitlán",3,1601,400,131,8,18,28,3,116,5,2,2,313,19,0,332,62,394,--,394,62,313,332,394,Algún campo sin dato,1,0e2895287fb18c05434fc75661d088bc9e496ae0d85a617398e65f5b69e7a528,26/06/2023 02:49:56,ESCANER
11904,"Suchitepéquez",10,"San Francisco Zapotitlán",3,1601,400,114,2,31,20,1,111,4,4,3,290,5,0,295,105,400,--,400,105,290,295,400,Algún campo sin dato,1,93c15d762a43d75108ed68d4cff6d0c3d64b5ed898d408de97c402dc4914c805,26/06/2023 01:13:40,ESCANER
11905,"Suchitepéquez",10,"San Francisco Zapotitlán",3,1601,400,102,7,30,12,0,119,3,2,2,277,4,2,283,0,283,--,400,117,277,283,283,Algún campo sin dato,1,53b25f1fe80ac014375788483744286937dbfc386901f4a82b8af2c5b2970d6a,26/06/2023 02:29:19,ESCANER
11906,"Suchitepéquez",10,"San Francisco Zapotitlán",3,1602,400,96,2,25,33,1,99,4,4,0,264,5,1,279,9,279,--,403,124,264,270,279,Sumas Asentadas sin cuadrar,1,fe09655cd9d2a0bb8322e6a84f1ebeb6dc9042b856e46167837150187827356f,26/06/2023 04:19:18,MOVIL
