TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
26,26,100.0000,26,100.0000,0,9966,6498,65.2016

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,AZUL,TODOS,VIVA,VAMOS,UNE,PODEMOS,PPN,CAMBIO,CABAL,ELEFANTE,MLP,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
11938,"Suchitepéquez",10,"San Bernardino",4,1608,400,19,1,33,59,32,2,78,0,30,7,4,265,13,6,284,0,284,0,397,113,265,284,284,,1,28a587a4d370975e36428c446df3501bfad3f7d359efc77ffe7f1df6af4106a0,26/06/2023 00:49:24,ESCANER
11939,"Suchitepéquez",10,"San Bernardino",4,1608,400,11,3,37,61,21,3,61,1,30,9,3,240,13,6,259,0,259,0,400,141,240,259,259,,1,7d8a296843b5c75bad56a78f5a8a457e1cb0af50d62c6a97ab920f94cb233b54,26/06/2023 00:59:08,ESCANER
11940,"Suchitepéquez",10,"San Bernardino",4,1608,400,18,7,37,70,25,1,69,2,37,11,3,280,15,3,298,0,298,1,397,98,280,298,298,,1,d3796a9123a8b27b578585c1d9703104465c0c70b118c57e779469148a73fbe1,26/06/2023 03:26:21,ESCANER
11941,"Suchitepéquez",10,"San Bernardino",4,1608,400,17,12,42,54,25,2,62,2,34,9,3,262,16,1,279,0,279,0,400,121,262,279,279,,1,a4c94103cf9bb767b011c2acea6d6c4924b28e55b763509232ef66e87a2e865f,26/06/2023 00:58:29,ESCANER
11942,"Suchitepéquez",10,"San Bernardino",4,1608,400,12,6,36,59,16,3,70,1,30,12,3,248,9,4,261,0,261,0,397,136,248,261,261,,1,818e2ada8ec5189f2b80fe03b888522146611af743438c1679ca616a65908115,26/06/2023 00:37:20,ESCANER
11943,"Suchitepéquez",10,"San Bernardino",4,1608,400,9,4,32,63,19,0,67,4,37,9,4,248,12,6,266,0,266,0,400,134,248,266,266,,1,452b7e5e23971125d61ec0094d3a01c42db94b385c597ec8fafbd5858f18ea6a,26/06/2023 01:09:40,ESCANER
11944,"Suchitepéquez",10,"San Bernardino",4,1608,400,11,4,39,65,28,2,60,0,36,5,6,256,16,5,277,0,277,0,400,120,256,277,277,,1,f60c4d6205ec501f6eb168d10ea91801bfd2b14fdc6ab499190a54d0c87fedb4,26/06/2023 01:29:57,ESCANER
11945,"Suchitepéquez",10,"San Bernardino",4,1608,400,6,0,28,65,33,1,59,1,41,10,3,247,23,4,274,0,274,0,400,126,247,274,274,,1,c3188b8a045f7c8155270164b7efd56b2ce4c34593a24c29209b70fb347c7346,25/06/2023 23:58:47,ESCANER
11946,"Suchitepéquez",10,"San Bernardino",4,1608,400,5,2,38,65,43,0,66,1,54,7,3,284,22,3,309,0,309,0,400,91,284,309,309,,1,64830f2a2ef3bc44aaa38406b436583d9ee0296c179373b16fac3583f5ae95cd,26/06/2023 02:12:43,ESCANER
11947,"Suchitepéquez",10,"San Bernardino",4,1608,400,14,5,37,91,40,0,53,2,40,5,2,289,15,4,308,0,308,0,399,91,289,308,308,,1,f86855e15b22a1ef334410ca1045546b5e4231144ba58b04a31c14b827a484c7,26/06/2023 03:25:19,ESCANER
11948,"Suchitepéquez",10,"San Bernardino",4,1608,400,11,5,30,82,34,0,64,0,41,10,6,283,25,7,315,0,315,1,400,85,283,315,315,,1,40d94f0881756d1074ee7fcec89691b2b98a362d6f811ff06350a7908e0f54a9,26/06/2023 02:25:33,ESCANER
11949,"Suchitepéquez",10,"San Bernardino",4,1608,400,10,3,39,50,21,0,67,1,49,9,4,253,4,2,259,0,259,0,400,141,253,259,259,,1,2810a6b47ee1c1a05dad1220b43198aa4bc81c2faafc9a6e15e31d7ed448ba48,25/06/2023 23:51:11,ESCANER
11950,"Suchitepéquez",10,"San Bernardino",4,1608,400,8,1,41,64,22,0,58,1,40,5,6,246,8,2,256,0,256,0,400,141,246,256,256,,1,e927e8a0d1864d0717882429e858440afadec4e58ad13f4d85bd7728a52e3835,25/06/2023 23:54:52,ESCANER
11951,"Suchitepéquez",10,"San Bernardino",4,1608,400,15,3,39,58,21,1,64,0,37,12,2,252,10,1,263,0,263,0,400,137,252,263,263,,1,49a7123d8e456d49073cefe3d173926bb3ea279e2ae30c086736c90994f8ac03,26/06/2023 03:10:04,ESCANER
11952,"Suchitepéquez",10,"San Bernardino",4,1608,400,15,1,38,52,14,4,62,0,45,5,5,241,7,1,249,0,249,0,400,151,241,249,249,,1,a7272b283f620619b1a66ae266bf1e3314bb9fad06eeb092c7dba6ebd79c42d7,26/06/2023 01:58:56,ESCANER
11953,"Suchitepéquez",10,"San Bernardino",4,1608,400,12,1,34,62,23,3,68,0,43,9,3,258,8,3,269,0,269,0,400,131,258,269,269,,1,a19d0bcf0ec5385cdfc3d6ad7fedbf55f30141e282f3219ee637461fd57d8bd6,26/06/2023 01:30:34,ESCANER
11954,"Suchitepéquez",10,"San Bernardino",4,1608,400,6,1,32,43,16,0,58,1,49,7,3,216,6,3,225,0,225,0,400,175,216,225,225,,1,a52b5423fe26e9a5d1df48e29f392ec5aafecad8a56f543a69272a82e58881f1,26/06/2023 00:12:35,ESCANER
