TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
28 junio 2023 21:35 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
19,19,100.0000,19,100.0000,0,7497,4936,65.8396

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,PODEMOS,VAMOS,ELEFANTE,CAMBIO,UNE,VALOR,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
11964,"Suchitepéquez",10,"San José El Ídolo",5,1611,400,30,118,1,80,5,4,238,18,6,262,1,263,--,400,137,238,262,263,Algún campo sin dato,1,2e4aa2378911e0e7743779f8c6b081fc65a7fbc05ace274148f9eaa983fc51da,26/06/2023 01:30:37,ESCANER
11965,"Suchitepéquez",10,"San José El Ídolo",5,1611,400,23,118,2,87,7,8,245,18,6,269,0,269,--,400,131,245,269,269,Algún campo sin dato,1,0c03c2ac98b01b1722642a56a44e59ee4e010d79e555913752a3cd094f71b710,26/06/2023 01:16:31,ESCANER
11966,"Suchitepéquez",10,"San José El Ídolo",5,1611,400,35,120,1,96,5,14,271,11,9,291,0,291,--,400,109,271,291,291,Algún campo sin dato,1,bdfc6e4df8bb7ee90fc76a1b0731c440fd6d6083913f9b95bdfee6248f157774,26/06/2023 01:49:14,ESCANER
11967,"Suchitepéquez",10,"San José El Ídolo",5,1611,400,41,119,2,84,10,5,261,18,2,281,0,281,--,400,119,261,281,281,Algún campo sin dato,1,6e740e1a22c13e6d0f7eb6f17c5a6e5153ab21ef2e930e3aea659acffe67e72a,26/06/2023 00:53:33,ESCANER
11968,"Suchitepéquez",10,"San José El Ídolo",5,1611,400,45,143,1,90,9,8,296,13,5,314,0,314,--,400,86,296,314,314,Algún campo sin dato,1,232ef3e950406b7efab24f6cde805ea2a51adf2bb15da62fa75b0e410b60121c,26/06/2023 02:32:34,ESCANER
11969,"Suchitepéquez",10,"San José El Ídolo",5,1611,400,34,160,2,92,6,3,297,19,6,322,0,322,--,400,78,297,322,322,Algún campo sin dato,1,168f93678101cfba696bcbbae1fe4697e4761a8ba8df4ae963f0a7a00fe47f47,26/06/2023 00:22:23,ESCANER
11970,"Suchitepéquez",10,"San José El Ídolo",5,1611,400,28,156,2,102,9,2,299,10,3,312,0,312,--,400,88,299,312,312,Algún campo sin dato,1,95d6aa2c9741e085c7befc129cdf62aec725edaaa054fedf953bdc08c67e5529,26/06/2023 00:41:26,ESCANER
11971,"Suchitepéquez",10,"San José El Ídolo",5,1611,400,15,169,2,95,9,4,294,18,5,317,0,317,--,400,83,294,317,317,Algún campo sin dato,1,d09ed41d9dac38dc92714b7c26892928252ce6f00ab6104f2f809b2c524405bc,26/06/2023 01:42:22,ESCANER
11972,"Suchitepéquez",10,"San José El Ídolo",5,1611,400,27,140,3,90,13,2,275,17,2,294,0,294,--,400,106,275,294,294,Algún campo sin dato,1,50bf81d554be04de4ee6992ad7ccffcc51fb192707c801227707c22cb0318855,26/06/2023 02:08:12,ESCANER
11973,"Suchitepéquez",10,"San José El Ídolo",5,1611,400,29,130,2,70,6,6,243,11,3,257,0,257,--,400,143,243,257,257,Algún campo sin dato,1,ededd4f94bfb844168d8bcf30b33b30c18673dee677601c644ff2ef4c20bfd52,26/06/2023 01:57:38,ESCANER
