TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
25,25,100.0000,25,100.0000,0,8930,6442,72.1388

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,PODEMOS,CABAL,UNE,CAMBIO,VAMOS,PPN,VALOR,MLP,TODOS,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
12039,"Suchitepéquez",10,"San Lorenzo",7,1625,400,73,67,0,5,127,1,0,0,3,276,11,5,292,0,292,--,400,108,276,292,292,Algún campo sin dato,1,b6c59c2b550adda9f3b10d891407c3c37365345facae8fec1149814837fed275,26/06/2023 00:53:56,ESCANER
12040,"Suchitepéquez",10,"San Lorenzo",7,1625,400,83,72,3,15,126,1,0,0,1,301,10,5,316,0,316,--,400,84,301,316,316,Algún campo sin dato,1,ad6225110226cb648fe46b361dc9fdc3551e752db634cebea4d7633f15d67726,26/06/2023 02:08:58,ESCANER
12041,"Suchitepéquez",10,"San Lorenzo",7,1625,400,77,72,0,8,118,1,1,2,4,283,12,4,299,0,299,--,400,101,283,299,299,Algún campo sin dato,1,ddc44e095241ffbb3436941dc469708a4aaa2ed2b7eb3bdbe0519f23583eed78,26/06/2023 01:12:51,ESCANER
12042,"Suchitepéquez",10,"San Lorenzo",7,1625,368,76,51,1,13,96,2,0,0,3,242,9,1,252,0,252,--,368,116,242,252,252,Algún campo sin dato,1,41c4788f20ac5eaacb3cd3caea5cbfbbfe54389925f4ec0d162b4d18a4eeebb2,26/06/2023 01:31:32,ESCANER
12043,"Suchitepéquez",10,"San Lorenzo",7,1625,368,70,69,--,14,103,--,--,--,--,256,1,1,258,--,--,--,--,--,256,258,258,Algún campo sin dato,1,400e940eaec31ff0f68893b266a4fb92ef7249737cf1c70489d6922a6f6373fc,26/06/2023 03:51:27,ESCANER
12044,"Suchitepéquez",10,"San Lorenzo",7,1626,400,148,63,3,10,65,1,0,2,4,296,9,10,315,0,315,--,400,85,296,315,315,Algún campo sin dato,1,268c76ee37aba75ade57486685d59ef5d3c50f29555447e32095bbde74244037,26/06/2023 01:39:14,ESCANER
12045,"Suchitepéquez",10,"San Lorenzo",7,1626,400,145,73,4,11,70,0,0,4,1,308,8,4,320,0,320,--,400,80,308,320,320,Algún campo sin dato,1,882d66ef87fd8528707e55c62064aea15ca0b666337586d7299e1baaa16572bf,26/06/2023 02:14:14,ESCANER
12046,"Suchitepéquez",10,"San Lorenzo",7,1626,400,162,71,2,8,82,0,2,1,4,332,8,4,344,0,344,--,400,56,332,344,344,Algún campo sin dato,1,72a8b2367e3c7f1854e171628c173788cba9a6ec0bc4d40851517e7171af12eb,26/06/2023 00:41:51,ESCANER
12047,"Suchitepéquez",10,"San Lorenzo",7,1626,400,155,56,2,5,96,1,0,1,0,316,10,4,330,0,330,--,400,70,316,330,330,Algún campo sin dato,1,7493d9af3399fea1b4c55720f530081c62f096e2e4b7f99b957d50bfe845274a,26/06/2023 01:59:01,ESCANER
12048,"Suchitepéquez",10,"San Lorenzo",7,1626,400,126,58,1,7,76,0,1,0,1,270,3,1,274,0,274,--,400,126,270,274,274,Algún campo sin dato,1,50f82ae726756212777f4931de473fafcb5239bcf7a90a7b3e9a01acf2dc65a6,26/06/2023 01:23:38,ESCANER
