TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
28 junio 2023 21:35 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
33,33,100.0000,33,100.0000,0,12810,8774,68.4933

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,AZUL,VAMOS,MLP,ELEFANTE,UNE,PPN,PODEMOS,VALOR,BIEN,TODOS,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
12064,"Suchitepéquez",10,"Samayac",8,1631,400,14,77,3,56,53,72,4,7,6,0,292,11,0,303,0,303,--,400,97,292,303,303,Algún campo sin dato,1,ae9fd21c006bfd29902fbcdace3d60a291ff00e9f4eb76c9121eb9c0069f9df6,26/06/2023 01:44:12,ESCANER
12065,"Suchitepéquez",10,"Samayac",8,1631,400,12,50,3,64,52,76,5,10,9,3,284,9,5,298,0,298,--,400,102,284,298,298,Algún campo sin dato,1,4d9787537aac2b1f14a14f02c3d466da3d959ae2545ee590231f6ea978f9cfed,25/06/2023 23:26:19,ESCANER
12066,"Suchitepéquez",10,"Samayac",8,1631,400,7,77,2,72,47,66,8,6,4,1,290,12,6,308,0,308,--,400,92,290,308,308,Algún campo sin dato,1,f5dde733fd815001eba7a0c3f0b18147580519b8302789b8cb7f7b46f15f2740,26/06/2023 01:29:17,ESCANER
12067,"Suchitepéquez",10,"Samayac",8,1631,400,12,75,2,69,43,67,5,9,4,3,289,18,3,310,0,310,--,400,90,289,310,310,Algún campo sin dato,1,cb86f790c55025e00d94d8b4c79980c33f389598229aa9d6f0a7136c850f753a,26/06/2023 01:21:26,ESCANER
12068,"Suchitepéquez",10,"Samayac",8,1631,400,13,64,2,66,54,68,10,4,5,1,287,12,5,304,0,304,0,400,96,287,304,304,,1,4db43e7e3ba4542e9cb0ef84aeb826b5d13e0fd7a4f4e775ba781e4077cca8b5,26/06/2023 01:14:27,ESCANER
12069,"Suchitepéquez",10,"Samayac",8,1631,400,19,60,3,72,46,62,9,5,6,1,283,13,4,300,0,300,--,400,100,283,300,300,Algún campo sin dato,1,9e5726b3d8bd5121cbe5aa7962db15ee3c3b139ffd9f95cc7d47a846f65e5d38,26/06/2023 00:38:50,ESCANER
12070,"Suchitepéquez",10,"Samayac",8,1631,400,17,76,3,63,60,59,10,7,5,3,303,6,3,312,0,312,--,400,88,303,312,312,Algún campo sin dato,1,ff04383fd70cefefec937f5c7cac7a259247307e616ffc7e6f44eb9b72130421,26/06/2023 01:22:44,ESCANER
12071,"Suchitepéquez",10,"Samayac",8,1631,400,14,52,1,65,54,67,11,13,9,1,287,8,2,297,0,297,--,400,103,287,297,297,Algún campo sin dato,1,ebdb8a5567a7f703ef161b733424c64d1ec97f29c6547fc4d8547ff3f179c800,26/06/2023 02:13:40,ESCANER
12072,"Suchitepéquez",10,"Samayac",8,1631,400,12,51,1,59,48,67,14,7,4,2,265,4,0,269,0,269,--,400,131,265,269,269,Algún campo sin dato,1,99eb205f143bb14728a4328db2405e510805c3916ea106ccc104408f7850671a,26/06/2023 01:18:12,ESCANER
12073,"Suchitepéquez",10,"Samayac",8,1631,400,11,42,2,64,51,65,15,12,7,0,269,10,2,281,0,281,--,397,116,269,281,281,Algún campo sin dato,1,4ac32b2696e61ab7bbe3c2e571737f29ccf919181d977d74c012b277ca3d5c00,26/06/2023 01:46:24,ESCANER
12074,"Suchitepéquez",10,"Samayac",8,1632,400,12,52,3,59,62,67,11,9,5,2,282,4,1,287,0,287,--,400,113,282,287,287,Algún campo sin dato,1,c7c98aaae8f9011a6266924d0ca4c33b26d1b68a236736e6ceef2350a8eb92c7,25/06/2023 23:40:17,ESCANER
12075,"Suchitepéquez",10,"Samayac",8,1632,400,8,64,2,57,51,61,13,6,7,2,271,8,1,280,0,280,--,400,120,271,280,280,Algún campo sin dato,1,f6325d5d9ea92dfd33bfb3d56a3ff6e97cd64ca7ae42dbe2cfbcd0f527aba6ae,26/06/2023 00:03:56,ESCANER
12076,"Suchitepéquez",10,"Samayac",8,1632,400,17,42,4,60,37,66,7,12,1,2,248,3,2,253,0,253,--,400,147,248,253,253,Algún campo sin dato,1,52b352c7e1c285e40d4008d91e220e2f083881b7a42af148b22e206b4bbcb82b,26/06/2023 00:00:18,ESCANER
12077,"Suchitepéquez",10,"Samayac",8,1632,400,15,49,3,51,46,64,5,11,3,5,252,1,0,253,0,253,--,400,147,252,253,253,Algún campo sin dato,1,585e9a386a093cf3a3f63e128c3f0a36834aa495fad7eae2917505c3230086ec,26/06/2023 00:44:28,ESCANER
12078,"Suchitepéquez",10,"Samayac",8,1633,400,9,52,6,61,39,64,9,12,4,7,263,2,0,265,0,265,--,400,135,263,265,265,Algún campo sin dato,1,ee2b70f268446ab3f46694ddcb2418f8cd02e773c7fe01343c6d96c23263c116,26/06/2023 01:30:50,ESCANER
12079,"Suchitepéquez",10,"Samayac",8,1633,346,13,36,3,55,39,64,10,4,6,1,231,0,0,231,0,231,--,346,115,231,231,231,Algún campo sin dato,1,9bfa397b512217f2a999852ca635589ebd03c97c80246aab0314b0f0fba03800,25/06/2023 23:33:36,ESCANER
12080,"Suchitepéquez",10,"Samayac",8,1633,345,10,38,1,42,37,46,9,6,0,1,190,5,1,196,0,196,--,345,149,190,196,196,Algún campo sin dato,1,ee298bdb56726b920df771b2b9b9535b6c3c967d180500f1613f7417efbcf903,26/06/2023 00:45:39,ESCANER
12081,"Suchitepéquez",10,"Samayac",8,1634,400,4,71,1,61,58,40,11,20,0,1,267,11,6,284,0,284,--,400,116,267,284,284,Algún campo sin dato,1,6be90b15bf5c83752ff017d8f83ae4137d142b5102346b3d95455b2e2608aa33,26/06/2023 00:07:54,ESCANER
12082,"Suchitepéquez",10,"Samayac",8,1634,400,13,59,3,70,60,42,19,13,2,3,284,9,7,300,0,300,--,400,100,284,300,300,Algún campo sin dato,1,8016aada76f19cda391ea3b67f67831bce89349a927b354c8ecb4b2f684064ea,26/06/2023 00:35:16,ESCANER
12083,"Suchitepéquez",10,"Samayac",8,1634,400,7,51,2,72,66,36,10,11,3,3,261,18,5,284,0,284,--,401,117,261,284,284,Algún campo sin dato,1,3857470e7abaa1a9e3c81b2ad23275efe177af1d81313f48c0b8aea755410d04,26/06/2023 01:54:22,ESCANER
12084,"Suchitepéquez",10,"Samayac",8,1634,400,9,46,1,63,79,55,14,7,1,0,275,11,10,296,0,296,--,400,104,275,296,296,Algún campo sin dato,1,dd6c46964a183365a18855cfc5b5e751dc8de6a83627aa8dfd426af2f4c38594,26/06/2023 00:44:56,ESCANER
