TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
28 junio 2023 21:35 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
35,3,8.5714,3,8.5714,0,1160,795,68.5344

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,CABAL,VAMOS,VIVA,MLP,CAMBIO,UNE,ELEFANTE,TODOS,PPN,AZUL,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
12097,"Suchitepéquez",10,"San Pablo Jocopilas",9,1637,400,,,,,,,,,,,,,,,,,,,,,,,,0,,,
12098,"Suchitepéquez",10,"San Pablo Jocopilas",9,1637,400,,,,,,,,,,,,,,,,,,,,,,,,0,,,
12099,"Suchitepéquez",10,"San Pablo Jocopilas",9,1637,400,,,,,,,,,,,,,,,,,,,,,,,,0,,,
12100,"Suchitepéquez",10,"San Pablo Jocopilas",9,1637,400,,,,,,,,,,,,,,,,,,,,,,,,0,,,
12101,"Suchitepéquez",10,"San Pablo Jocopilas",9,1637,400,,,,,,,,,,,,,,,,,,,,,,,,0,,,
12102,"Suchitepéquez",10,"San Pablo Jocopilas",9,1637,400,,,,,,,,,,,,,,,,,,,,,,,,0,,,
12103,"Suchitepéquez",10,"San Pablo Jocopilas",9,1637,400,,,,,,,,,,,,,,,,,,,,,,,,0,,,
12104,"Suchitepéquez",10,"San Pablo Jocopilas",9,1637,400,,,,,,,,,,,,,,,,,,,,,,,,0,,,
12105,"Suchitepéquez",10,"San Pablo Jocopilas",9,1638,400,,,,,,,,,,,,,,,,,,,,,,,,0,,,
12106,"Suchitepéquez",10,"San Pablo Jocopilas",9,1638,400,,,,,,,,,,,,,,,,,,,,,,,,0,,,
12107,"Suchitepéquez",10,"San Pablo Jocopilas",9,1638,400,,,,,,,,,,,,,,,,,,,,,,,,0,,,
12108,"Suchitepéquez",10,"San Pablo Jocopilas",9,1638,400,,,,,,,,,,,,,,,,,,,,,,,,0,,,
12109,"Suchitepéquez",10,"San Pablo Jocopilas",9,1638,400,57,123,18,--,5,23,1,4,6,3,240,3,0,243,0,243,--,400,157,240,243,243,Algún campo sin dato,1,d1a39e2eb2bade6f41ebed20a18ba008590dc6ad6305ba98ed03f198902b908f,26/06/2023 01:31:43,MOVIL
12110,"Suchitepéquez",10,"San Pablo Jocopilas",9,1638,213,,,,,,,,,,,,,,,,,,,,,,,,0,,,
12111,"Suchitepéquez",10,"San Pablo Jocopilas",9,1638,212,,,,,,,,,,,,,,,,,,,,,,,,0,,,
