TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
22,22,100.0000,22,100.0000,0,7985,6037,75.6042

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,CABAL,TODOS,VAMOS,UNE,PODEMOS,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
12209,"Suchitepéquez",10,"San Miguel Panán",11,1653,400,70,97,105,3,1,276,17,4,297,0,297,--,400,103,276,297,297,Algún campo sin dato,1,60f7f7ce2c79b2ef642adef1eacbb9e4319f756a941a80f00f23e1211a45f269,26/06/2023 00:48:11,ESCANER
12210,"Suchitepéquez",10,"San Miguel Panán",11,1653,400,68,81,145,3,1,298,12,2,312,0,312,--,397,85,298,312,312,Algún campo sin dato,1,58f1390b7ff5f010f6ce8450a1ff5e8a5663250913bd261bb94ec613767600de,26/06/2023 01:30:03,ESCANER
12211,"Suchitepéquez",10,"San Miguel Panán",11,1653,400,83,68,153,2,0,306,20,6,332,0,332,--,400,68,306,332,332,Algún campo sin dato,1,66c27c0bb2ec76f0b7d6f8ebed1a25ab375dec4023ae25f896af37c8ba1e647b,26/06/2023 00:32:39,ESCANER
12212,"Suchitepéquez",10,"San Miguel Panán",11,1653,400,88,88,129,7,0,312,14,6,332,0,332,--,400,68,312,332,332,Algún campo sin dato,1,077d5f198cc18bb830797411cf25995f2a927452c48fc8cfbf313771ba89b5ab,26/06/2023 01:59:04,ESCANER
12213,"Suchitepéquez",10,"San Miguel Panán",11,1654,400,65,96,100,4,2,267,7,1,275,0,275,--,400,125,267,275,275,Algún campo sin dato,1,2862f51ef7a9acd7c3dfddd6fddfce9798d93db698db08f259f747ca7d3f19ed,26/06/2023 02:04:05,ESCANER
12214,"Suchitepéquez",10,"San Miguel Panán",11,1654,400,69,87,93,3,5,257,24,3,284,0,284,--,400,116,257,284,284,Algún campo sin dato,1,115b6687ed04740eff645048aa61757aa5c90836a8c619c94a41243ca3ab4fbe,26/06/2023 01:23:59,ESCANER
12215,"Suchitepéquez",10,"San Miguel Panán",11,1654,400,87,68,129,4,1,289,4,0,293,0,293,--,400,107,289,293,293,Algún campo sin dato,1,8dcaeb2c5b7c2c959f634c9da233784d879303a4fc29d5a3763bf6d95049bb51,26/06/2023 00:14:00,ESCANER
12216,"Suchitepéquez",10,"San Miguel Panán",11,1654,379,71,84,85,3,1,244,5,1,250,0,250,--,376,126,244,250,250,Algún campo sin dato,1,014aab880048b65f4e8b43b67c7a057b63a244c6e4ee97aae2398ea1a5d929c1,26/06/2023 00:06:24,ESCANER
12217,"Suchitepéquez",10,"San Miguel Panán",11,1654,378,56,75,116,1,1,249,6,0,255,0,255,--,378,123,249,255,255,Algún campo sin dato,1,e9c29dd3fff270562faeefdf8782c7e7c3e16f0ee3588584396d3f152e6e33cd,26/06/2023 00:29:01,ESCANER
12218,"Suchitepéquez",10,"San Miguel Panán",11,1655,380,134,106,43,3,0,286,11,2,299,--,--,--,380,81,286,299,299,Algún campo sin dato,1,56e316e0b7f2733159118241ec6a1bf0ba74e51f18614b14873b6b054773e34f,25/06/2023 23:21:58,ESCANER
12219,"Suchitepéquez",10,"San Miguel Panán",11,1655,380,111,109,42,2,2,266,21,3,290,0,290,--,381,91,266,290,290,Algún campo sin dato,1,592bd993bc0bbc1c977b69b8457aa198119edfaf4716d31c71a4ae3a91fd8258,26/06/2023 01:28:47,ESCANER
12220,"Suchitepéquez",10,"San Miguel Panán",11,1655,380,98,146,29,4,1,278,23,7,308,0,308,--,380,72,278,308,308,Algún campo sin dato,1,a94cf2c0a2f8963dd39558717e079ad3d1a57de5f7767a58b85dbe1cbbaa6004,26/06/2023 01:22:35,ESCANER
12221,"Suchitepéquez",10,"San Miguel Panán",11,1655,380,120,107,37,1,1,266,6,1,273,0,273,--,380,107,266,273,273,Algún campo sin dato,1,f29c86d6ce06dfab299fa28b7fb4eaa8b9b9e841b829300840d9cff1fb12d7a6,26/06/2023 01:33:52,ESCANER
12222,"Suchitepéquez",10,"San Miguel Panán",11,1655,380,110,118,42,1,0,271,24,0,295,0,295,--,377,82,271,295,295,Algún campo sin dato,1,ee6a419034c72567fb88da48285ac3c05e24132b21731d329a8fe5148e8d65ec,26/06/2023 02:06:26,ESCANER
