TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
20,20,100.0000,20,100.0000,0,7772,5280,67.9361

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,CABAL,AZUL,PODEMOS,UNE,CAMBIO,BIEN,VALOR,VAMOS,FCN-NACION,VIVA,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
12231,"Suchitepéquez",10,"San Gabriel",12,1658,400,45,40,33,20,54,3,12,56,2,3,268,18,5,291,0,291,--,397,106,268,291,291,Algún campo sin dato,1,d10ee315a12523fd63d56caf685747106c870f27729644baaafd893f32e3e1b3,26/06/2023 03:50:05,ESCANER
12232,"Suchitepéquez",10,"San Gabriel",12,1658,400,46,34,49,12,57,4,10,62,1,2,277,12,6,295,0,295,--,400,105,277,295,295,Algún campo sin dato,1,d512daa2bc57c8b15ad38395cf8931ec8c8897f62eb3e210464cce0e2a3835d6,26/06/2023 03:17:08,ESCANER
12233,"Suchitepéquez",10,"San Gabriel",12,1658,400,68,39,37,22,63,9,7,50,4,3,302,12,2,316,0,316,--,400,84,302,316,316,Algún campo sin dato,1,53f3d12b9249cf33676d4e314ade5c49565a5bfcd1663891b455daf5b8ecc29e,26/06/2023 02:54:23,ESCANER
12234,"Suchitepéquez",10,"San Gabriel",12,1658,400,46,40,36,18,65,1,11,64,1,4,286,12,0,298,0,298,1,400,102,286,298,298,,1,3fba8ee1fd18b5ddbc628c99e24ff8bfe22f7cca2b4a9c0c37d3a0462f4c8391,26/06/2023 03:23:50,ESCANER
12235,"Suchitepéquez",10,"San Gabriel",12,1658,400,42,39,62,20,59,4,10,62,1,5,304,10,1,315,0,315,5,400,85,304,315,315,,1,9d3d53502f838b0898b0a57aec9f00de9707b3878f7388f19c6005866f6c44f8,26/06/2023 03:38:49,ESCANER
12236,"Suchitepéquez",10,"San Gabriel",12,1658,400,49,34,48,15,59,7,13,73,0,6,304,10,3,317,0,317,1,400,83,304,317,317,,1,05ff85804b6949c9168085d9f3a25180134ae4bfee1768e88947a37f60dfe324,26/06/2023 03:40:15,ESCANER
12237,"Suchitepéquez",10,"San Gabriel",12,1658,400,42,40,56,6,73,2,3,58,2,0,282,18,2,302,0,302,--,400,98,282,302,302,Algún campo sin dato,1,496d58c262896e75ace4dab4564c32b9960725e2d4d7d37f718272b78ff404af,26/06/2023 02:58:36,ESCANER
12238,"Suchitepéquez",10,"San Gabriel",12,1658,400,27,33,55,9,72,4,8,41,3,4,256,8,1,265,0,265,--,400,135,256,265,265,Algún campo sin dato,1,864f52d5c4d8f4f6b8e51fea2dd3b5100eae52ab47937f69e01a73f5e08552b2,26/06/2023 01:22:37,ESCANER
12239,"Suchitepéquez",10,"San Gabriel",12,1659,400,38,36,49,18,40,3,9,44,2,2,241,9,9,259,0,259,--,400,141,241,259,259,Algún campo sin dato,1,e902b9bcfaf0729219843e2148d8f865f1ce3dd7c698dbea5df45ed34f5b83be,26/06/2023 03:23:15,ESCANER
12240,"Suchitepéquez",10,"San Gabriel",12,1659,400,37,24,43,21,54,3,9,54,4,3,252,17,2,271,0,271,1,398,127,252,271,271,,1,bebfea6645b28f3d4c8deec1cac81648d402624b378e992b0a517dd52e5bd087,26/06/2023 00:46:56,ESCANER
12241,"Suchitepéquez",10,"San Gabriel",12,1659,400,42,23,32,20,49,4,10,34,2,2,218,14,8,240,0,240,--,400,160,218,240,240,Algún campo sin dato,1,09757afaca46940f3511eba7ff779a8052f87a7fb10c72207e31f7674bb487d8,26/06/2023 00:54:19,ESCANER
12242,"Suchitepéquez",10,"San Gabriel",12,1659,400,39,22,39,17,52,7,9,51,3,3,242,19,3,264,0,264,--,400,136,242,264,264,Algún campo sin dato,1,2f5f4edc89a99eefd986ca050770d42f3bf7427a3df605811b47bb2fb0c5abba,26/06/2023 01:15:36,ESCANER
12243,"Suchitepéquez",10,"San Gabriel",12,1659,400,41,20,38,13,49,4,9,50,1,5,230,7,1,238,0,238,1,399,161,230,238,238,,1,fc02a9c17e16e33f67ebd3111d8a50bf3fe93ee6fd4d4e7fae46566388d60b03,26/06/2023 02:08:37,ESCANER
