TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
28 junio 2023 21:35 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
84,84,100.0000,84,100.0000,0,31254,19706,63.0511

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,TODOS,PODEMOS,VIVA,CABAL,MLP,UNE,BIEN,ELEFANTE,VAMOS,VALOR,AZUL,FCN-NACION,CAMBIO,P A N,PPN,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
12251,"Suchitepéquez",10,"Chicacao",13,1661,400,23,3,25,57,0,10,7,7,41,61,2,1,12,5,1,255,13,2,270,0,270,--,400,130,255,270,270,Algún campo sin dato,1,765f0739199431e862e4268856cdac1a345612e6c36e4629c6bb1989d60457cf,26/06/2023 02:05:17,ESCANER
12252,"Suchitepéquez",10,"Chicacao",13,1661,400,30,4,9,71,0,11,1,12,35,58,0,1,24,4,1,261,18,1,280,0,280,--,400,120,261,280,280,Algún campo sin dato,1,630fb1dd747b30caac2e9fb2b864fb8b0abc76eaba147b22f788677a4245f58b,26/06/2023 01:13:38,ESCANER
12253,"Suchitepéquez",10,"Chicacao",13,1661,400,27,3,16,80,1,8,4,10,45,50,3,1,15,2,--,265,11,5,281,--,--,--,400,119,265,281,281,Algún campo sin dato,1,0f88fefe9e45ebcbc2aaf98e99c843a43c65b5b1f728490f712463901a254ce4,26/06/2023 01:46:57,ESCANER
12254,"Suchitepéquez",10,"Chicacao",13,1661,400,31,5,15,65,1,7,1,6,45,51,1,6,17,4,1,256,14,3,273,0,273,--,400,127,256,273,273,Algún campo sin dato,1,17cffb1d0b32b1dceb8e88a5f6183ad60adee0be8f75c4002690080985b18fea,26/06/2023 00:39:46,ESCANER
12255,"Suchitepéquez",10,"Chicacao",13,1661,400,31,3,13,72,0,15,5,10,37,51,1,2,18,5,2,265,15,2,282,0,282,--,400,118,265,282,282,Algún campo sin dato,1,b88c6187950edb7ee2e9e28bb76737746407835975b603956747d82e20aa3fb7,26/06/2023 00:49:56,ESCANER
12256,"Suchitepéquez",10,"Chicacao",13,1661,400,36,3,20,75,1,18,2,10,34,52,3,2,20,1,3,280,19,3,302,0,302,--,400,98,280,302,302,Algún campo sin dato,1,efc0b3e410a7d2c233524a6567e9c231cf4fad62f13b2b0910c95fffc2587b6b,26/06/2023 01:06:44,ESCANER
12257,"Suchitepéquez",10,"Chicacao",13,1661,400,27,2,12,59,2,24,3,7,44,55,3,0,17,5,0,260,17,2,279,0,279,--,400,121,260,279,279,Algún campo sin dato,1,c0bc2c320d31b1b7fc1bd8029b3289838b349ff2e800ebe5c4940eb630f664cd,26/06/2023 02:06:47,ESCANER
12258,"Suchitepéquez",10,"Chicacao",13,1661,400,16,2,15,67,3,22,2,6,36,56,3,2,16,8,--,254,13,2,269,0,269,--,400,131,254,269,269,Algún campo sin dato,1,454996e39919b501b444a0f93924a110ae34fe385c58207d5ca1143b5ba13b70,26/06/2023 00:45:53,ESCANER
12259,"Suchitepéquez",10,"Chicacao",13,1662,400,38,1,14,55,3,10,2,11,39,41,3,0,20,4,0,241,7,0,248,0,248,--,400,152,241,248,248,Algún campo sin dato,1,f974ab2af65688bf78f4bf1eededadd6f1db7344d100751c45a5f187397a3138,26/06/2023 01:09:11,ESCANER
12260,"Suchitepéquez",10,"Chicacao",13,1662,400,28,3,13,48,2,11,7,7,41,50,4,2,20,6,1,243,10,3,256,0,256,--,400,144,243,256,256,Algún campo sin dato,1,ffba96231b1dc03d7c7a77b2fc5c8322ad0eee961c79e41af1e35ddb5fd7dc3e,25/06/2023 23:50:36,ESCANER
12261,"Suchitepéquez",10,"Chicacao",13,1663,400,28,4,13,43,2,12,5,9,32,57,5,1,23,5,0,239,12,8,259,0,259,1,400,141,239,259,259,,1,5ccfd2c680e896e067e72a9e8472ebe930b6854e5ea322c19b0f9395ec957011,26/06/2023 00:54:15,ESCANER
12262,"Suchitepéquez",10,"Chicacao",13,1663,400,32,3,16,51,3,14,4,8,33,51,1,0,22,6,1,245,11,2,258,0,258,--,400,142,245,258,258,Algún campo sin dato,1,51cc6c70065101ef05b08a53d70068c51b59420a4cdda6941db8c3c2b2f44dd8,26/06/2023 00:26:33,ESCANER
12263,"Suchitepéquez",10,"Chicacao",13,1663,400,24,1,20,45,1,11,2,10,34,50,0,3,29,7,3,240,7,4,251,0,251,--,400,149,240,251,251,Algún campo sin dato,1,7ed1ccff2e73b4dfa05f181da06a858c7e2eb34a21220b5784871499260f92ca,25/06/2023 23:49:34,ESCANER
12264,"Suchitepéquez",10,"Chicacao",13,1663,400,31,5,16,43,2,10,2,13,37,65,1,2,15,4,1,247,21,1,269,0,269,--,400,131,247,269,269,Algún campo sin dato,1,3ca036be527bceb806402e84157eb9dbb6a325ad753b8f0ddbaa10f2accac2a7,26/06/2023 00:05:30,ESCANER
12265,"Suchitepéquez",10,"Chicacao",13,1663,400,25,2,21,48,1,16,0,2,33,54,3,2,18,8,0,233,27,8,268,0,268,--,400,129,233,268,268,Algún campo sin dato,1,24351079fd54b8a0037efe86f76fdfe45e88fe090ae8603dd05717fd7a9fe7b0,25/06/2023 23:21:28,ESCANER
12266,"Suchitepéquez",10,"Chicacao",13,1663,400,23,4,20,61,2,16,3,5,31,43,1,4,19,2,0,234,16,8,258,0,258,--,399,141,234,258,258,Algún campo sin dato,1,f4c70efd73083903e1f6df570989b9c9dfcc678423a0a687fff0ab98eec1f947,26/06/2023 00:13:32,ESCANER
12267,"Suchitepéquez",10,"Chicacao",13,1664,400,25,6,22,73,0,15,6,9,30,47,2,4,9,5,1,254,16,6,276,0,276,1,397,121,254,276,276,,1,7959b5b9c2c0b6fa336c82fe977fc113040067587172bd180965fb95f3a21457,26/06/2023 01:17:24,ESCANER
12268,"Suchitepéquez",10,"Chicacao",13,1664,400,26,4,20,57,1,14,8,9,37,36,2,5,21,5,2,247,12,3,262,138,400,--,400,138,247,262,400,Algún campo sin dato,1,e81e544d7202a5b5eb1304f0cdeceb8dda1f51375e238820419cca29c94d00f2,25/06/2023 22:50:32,ESCANER
12269,"Suchitepéquez",10,"Chicacao",13,1664,400,34,2,14,44,1,12,3,8,37,58,1,3,20,5,2,244,4,4,252,0,--,--,400,148,244,252,252,Algún campo sin dato,1,a747b6d0e28ebb6dfebd107442ab45aa4092018778cf4c19f555cdc23be1726e,25/06/2023 23:40:51,ESCANER
12270,"Suchitepéquez",10,"Chicacao",13,1664,400,28,3,17,54,3,9,5,4,29,61,1,6,20,7,2,249,3,0,252,0,252,--,400,148,249,252,252,Algún campo sin dato,1,638336f65c2feab743756d4d808977da14232956dc60ad5cc8041f041f013ab7,26/06/2023 02:15:00,ESCANER
12271,"Suchitepéquez",10,"Chicacao",13,1664,400,26,2,22,48,1,12,2,7,25,57,5,2,11,2,0,222,3,1,226,0,226,--,400,174,222,226,226,Algún campo sin dato,1,757fa7c1741ef9dad3f24ff29c990e5ada6546e89bb9123ba163acd662b430e7,25/06/2023 23:10:44,ESCANER
12272,"Suchitepéquez",10,"Chicacao",13,1664,357,30,4,20,41,1,7,6,7,36,52,1,4,10,2,--,222,9,0,231,0,231,--,357,126,221,230,230,Sumas Asentadas sin cuadrar,1,dc9bd4d43498b55cad914487bf8d00f771fbc9d17e3e731967240266fb2fd341,25/06/2023 23:23:51,ESCANER
12273,"Suchitepéquez",10,"Chicacao",13,1664,356,24,1,13,45,1,8,6,2,31,29,2,7,12,2,0,183,11,0,194,0,194,--,356,162,183,194,194,Algún campo sin dato,1,a916c02f6f1a85843900942d38f3af3eb065b92f2d0aea7c162ac3341c6ba70c,25/06/2023 23:06:08,ESCANER
12274,"Suchitepéquez",10,"Chicacao",13,1665,293,13,2,11,54,1,11,4,1,14,58,0,0,3,0,1,173,13,1,187,0,187,--,293,106,173,187,187,Algún campo sin dato,1,048891fa174b2f04178fb822ae8b11c172a60e85f7f20654f368d3823096a620,26/06/2023 00:40:18,ESCANER
12275,"Suchitepéquez",10,"Chicacao",13,1666,400,37,1,12,26,1,12,6,13,80,40,2,4,27,0,1,262,25,6,293,0,293,--,397,107,262,293,293,Algún campo sin dato,1,1130c62d728f7ec4eed514a43648fd2fa6b1661a65e66d63856bff7f538e2582,26/06/2023 01:50:15,ESCANER
12276,"Suchitepéquez",10,"Chicacao",13,1666,400,23,1,12,24,1,16,5,18,87,35,2,1,36,3,0,264,11,5,280,0,280,--,400,120,264,280,280,Algún campo sin dato,1,10c858216a752d4634da7d93d5c4336384867ef681df7cdd7414c668b6e9c86e,26/06/2023 01:12:54,ESCANER
12277,"Suchitepéquez",10,"Chicacao",13,1666,348,18,3,9,29,0,14,5,8,82,37,3,1,34,1,0,244,16,18,278,0,278,--,348,70,244,278,278,Algún campo sin dato,1,c67b422ceda03f8c11ae415299f4a7ab658df8b79bb6a96706115a002009f291,26/06/2023 01:20:31,ESCANER
12278,"Suchitepéquez",10,"Chicacao",13,1666,348,22,1,4,18,1,3,5,11,82,29,0,1,27,1,0,205,6,3,214,0,214,--,345,131,205,214,214,Algún campo sin dato,1,7d72b191bcb819f6c21b5bed5ec6d41a3c0efc2b8489cb4db309e0abd5f8962a,25/06/2023 22:41:14,ESCANER
12279,"Suchitepéquez",10,"Chicacao",13,1667,400,25,2,12,89,1,3,6,15,23,40,2,1,9,0,1,229,29,4,262,0,262,--,397,135,229,262,262,Algún campo sin dato,1,4271793bdd59c041cc834d11af21eaa3d252f06ad5bdf7c9ce07b68ea11a311c,26/06/2023 01:03:20,ESCANER
12280,"Suchitepéquez",10,"Chicacao",13,1667,400,23,3,15,70,2,4,8,8,19,66,0,0,10,2,0,230,11,0,241,0,241,--,400,159,230,241,241,Algún campo sin dato,1,ceacb1fbcdd59abcea2494f8d5e8e06e0fdb6af70923833fd18e00e0799991b6,25/06/2023 22:51:03,ESCANER
12281,"Suchitepéquez",10,"Chicacao",13,1667,372,17,2,29,72,0,9,5,19,14,38,0,1,4,1,--,211,19,3,233,0,233,1,369,135,211,233,233,Algún campo sin dato,1,f544ffa311308daa4973895faf91dfb302deb9a98c6a9a707eb9eaa226939c80,25/06/2023 23:44:25,ESCANER
