TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
59,59,100.0000,59,100.0000,0,22202,13744,61.9043

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,CABAL,MLP,VAMOS,AZUL,VIVA,VICTORIA,PPN,PR,VOS,UNE,VALOR,TODOS,PODEMOS,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
12335,"Suchitepéquez",10,"Patulul",14,1676,400,14,2,77,2,35,9,16,5,18,44,8,0,8,238,20,5,263,0,263,--,400,137,238,263,263,Algún campo sin dato,1,907dc458597c3820685d4b7c0ea901f6c4c536ffd2e3715f6cb4c30dd97b0892,25/06/2023 22:05:41,ESCANER
12336,"Suchitepéquez",10,"Patulul",14,1676,400,18,2,74,5,46,6,42,14,17,36,6,0,6,272,9,3,284,0,284,--,393,109,272,284,284,Algún campo sin dato,1,908f3afd1fd6635175d53c6ef47384d505b2c08be9c3850e3da867208f9b047f,26/06/2023 01:16:24,ESCANER
12337,"Suchitepéquez",10,"Patulul",14,1676,400,22,2,64,1,52,8,33,11,22,35,4,3,6,263,23,6,292,0,292,--,400,108,263,292,292,Algún campo sin dato,1,5f8e049080acb5c747af95cc0cc5b94714a03fc1cc35249e18780dd45ff02455,26/06/2023 00:02:29,ESCANER
12338,"Suchitepéquez",10,"Patulul",14,1677,400,21,2,77,1,48,16,35,11,16,41,7,2,5,282,17,1,300,0,300,--,400,100,282,300,300,Algún campo sin dato,1,68bc3abf63301202608fbe878bd04c30a82480aa090abb777ceab25a8ff8c8fc,25/06/2023 23:01:46,ESCANER
12339,"Suchitepéquez",10,"Patulul",14,1677,400,25,2,78,5,64,10,19,10,21,38,6,1,3,282,20,5,307,0,307,--,400,93,282,307,307,Algún campo sin dato,1,33bcdec283af6fcc17d4d602ca936424712b94c7fe691e287bfa9aacfc3eaf90,25/06/2023 23:35:19,ESCANER
12340,"Suchitepéquez",10,"Patulul",14,1677,400,18,2,68,4,63,10,0,42,20,40,2,1,2,281,7,2,290,0,290,--,400,110,272,281,281,Sumas Asentadas sin cuadrar,1,3d79397e09ec0f5f53dca65e906b88a65ec6095d79cb7641068c2bae21c8ff74,26/06/2023 02:42:07,ESCANER
12341,"Suchitepéquez",10,"Patulul",14,1677,400,19,2,77,0,49,12,29,5,22,30,7,1,8,261,12,1,274,0,274,--,401,127,261,274,274,Algún campo sin dato,1,5967ae2b6b92d6b6b15e3a1543f9a657d93e9e8596042d5390aa62ef3613181d,25/06/2023 23:04:58,ESCANER
12342,"Suchitepéquez",10,"Patulul",14,1677,400,26,1,62,1,52,7,25,12,16,49,9,0,3,263,7,2,272,0,272,--,400,128,263,272,272,Algún campo sin dato,1,9d889e9796148b26af821c6a02cdfa0892798c9d7479b4eef8ef4d54b8581bd8,26/06/2023 00:13:41,ESCANER
12343,"Suchitepéquez",10,"Patulul",14,1678,400,20,4,56,1,63,5,21,8,22,40,2,2,7,261,9,1,271,0,271,--,400,129,251,261,261,Sumas Asentadas sin cuadrar,1,46d844300ae55ea78717a011eaeaa0501c9b8e016fd4cb3941c827532c4efff6,26/06/2023 00:31:43,ESCANER
12344,"Suchitepéquez",10,"Patulul",14,1678,400,17,2,72,1,44,7,34,11,13,45,12,1,9,268,13,1,282,0,282,--,400,118,268,282,282,Algún campo sin dato,1,a014b15fd78be50827a590f74a37184b7f534664ca868fb1875ad9d240af2865,25/06/2023 23:26:00,ESCANER
