TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
28 junio 2023 21:35 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
43,43,100.0000,42,97.6744,1,15445,10906,70.6118

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,UNE,CABAL,VAMOS,AZUL,PPN,ELEFANTE,BIEN,TODOS,CAMBIO,VALOR,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
12394,"Suchitepéquez",10,"Santa Bárbara",15,1687,400,52,31,51,50,34,27,10,27,0,3,285,14,6,305,0,305,--,381,76,285,305,305,Algún campo sin dato,1,27961fe679de7d4cd5966761c25eaf0862a89945daf7c7fe4bac88ca24b05aca,26/06/2023 02:46:53,ESCANER
12395,"Suchitepéquez",10,"Santa Bárbara",15,1687,400,56,41,63,53,23,15,7,20,0,5,283,18,3,304,0,304,--,400,96,283,304,304,Algún campo sin dato,1,70be0caad550e66508e4e8f13eba0a2cd9864e2b2378a4ca1f010e7de353a62b,26/06/2023 00:57:58,ESCANER
12396,"Suchitepéquez",10,"Santa Bárbara",15,1687,400,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,,,,Acta ilegible,0,e69e3d49228543b85fb5928900480619f24b17d92058a42e344ced80a4c06d36,26/06/2023 04:30:56,ESCANER
12397,"Suchitepéquez",10,"Santa Bárbara",15,1687,400,40,23,64,77,36,13,4,29,0,8,294,12,3,309,2,311,--,401,91,294,309,311,Algún campo sin dato,1,4cfa43ddf66c01e4c96f84f1e66bfd912ac1933b24edba8c352e5fdfcce1adcb,26/06/2023 04:44:59,ESCANER
12398,"Suchitepéquez",10,"Santa Bárbara",15,1687,400,61,18,75,75,35,8,7,15,0,2,296,14,2,312,0,312,--,400,88,296,312,312,Algún campo sin dato,1,b60cc71b98a8d50b76898f1f9842feec3e21c892063299fb557566d6664fd687,26/06/2023 02:32:55,ESCANER
12399,"Suchitepéquez",10,"Santa Bárbara",15,1687,400,42,29,93,71,48,9,4,19,0,4,319,12,2,333,0,333,--,404,71,319,333,333,Algún campo sin dato,1,972ec7576cdc19ad0d16bee060946546ef77cf6b9d0e2dba060617a9a50ca503,26/06/2023 02:51:03,ESCANER
12400,"Suchitepéquez",10,"Santa Bárbara",15,1687,400,52,23,73,67,24,8,5,14,1,10,277,11,4,292,0,292,--,400,108,277,292,292,Algún campo sin dato,1,3655708331a06b3eccc6d438fb107bb70fe4c9c24c0b34c428b1555e54540421,26/06/2023 02:49:55,ESCANER
12401,"Suchitepéquez",10,"Santa Bárbara",15,1688,400,51,15,63,57,31,18,7,17,4,9,272,13,5,290,1,291,1,403,112,272,290,291,,1,d71765d24d5c027a20f5c3c2d2ec9cb52a95c04ac0361967c2041695a11f6384,26/06/2023 01:28:43,ESCANER
12402,"Suchitepéquez",10,"Santa Bárbara",15,1688,400,43,27,51,66,23,24,3,28,1,10,276,5,4,285,0,285,--,381,96,276,285,285,Algún campo sin dato,1,495f487adda3e9fd8d9a938aaefff439089b9488917c9e814a767ee28663f529,26/06/2023 01:07:43,ESCANER
12403,"Suchitepéquez",10,"Santa Bárbara",15,1688,400,49,18,47,57,32,15,5,19,1,8,251,17,3,271,0,271,--,400,129,251,271,271,Algún campo sin dato,1,f35d8ab9fdbfb9775aa19fbf7b76d93046e9741afad5c1893fab020828c93a07,25/06/2023 23:41:27,ESCANER
