TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
14,14,100.0000,14,100.0000,0,5493,3874,70.5261

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,CABAL,UNE,VAMOS,ELEFANTE,CAMBIO,PPN,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
12437,"Suchitepéquez",10,"San Juan Bautista",16,1694,400,32,30,94,29,9,63,257,21,7,285,0,285,--,400,115,257,285,285,Algún campo sin dato,1,0c44bade15ee130fb54bbde89711737a0b8d847fac995bb1a45cd1d7bf820027,26/06/2023 01:29:21,ESCANER
12438,"Suchitepéquez",10,"San Juan Bautista",16,1694,400,44,14,109,23,9,59,258,15,11,284,0,284,--,400,116,258,284,284,Algún campo sin dato,1,71c36d80f65c4ee6c66de6a2db082d68f5800b3fa7578dc766e3e1382065efd9,26/06/2023 01:00:22,ESCANER
12439,"Suchitepéquez",10,"San Juan Bautista",16,1694,400,46,19,96,16,7,90,274,23,1,298,0,298,--,400,102,274,298,298,Algún campo sin dato,1,77f149995ac2b7d37daaab8d4fd7e6abf31f64841f33144a1a3d661495a86486,26/06/2023 02:59:41,ESCANER
12440,"Suchitepéquez",10,"San Juan Bautista",16,1694,400,27,17,126,16,11,96,293,12,6,311,0,311,--,400,89,293,311,311,Algún campo sin dato,1,ec8c6653e8a4fa19e0ce3b196b64a3411c39a98cb87644c2abf809f4797ae3b8,26/06/2023 01:40:59,ESCANER
12441,"Suchitepéquez",10,"San Juan Bautista",16,1694,400,46,27,110,27,5,98,313,19,5,337,0,337,--,400,63,313,337,337,Algún campo sin dato,1,6658bce0d14ffdfd4a8eeace1f97afdcbdc399cdee6e6b3015e96b617fd33693,26/06/2023 00:56:12,ESCANER
12442,"Suchitepéquez",10,"San Juan Bautista",16,1694,400,32,11,104,25,13,73,258,23,8,289,1,290,--,400,110,258,289,290,Algún campo sin dato,1,d974c1c85b4636b7c0e036f6831d3975df6528093b800e9a612b84b0256f1334,26/06/2023 03:16:36,ESCANER
12443,"Suchitepéquez",10,"San Juan Bautista",16,1694,400,45,12,121,24,5,59,266,13,7,286,0,286,--,400,114,266,286,286,Algún campo sin dato,1,547703880944fb29ef396e850244233ae76adec72c724698217fc392911151e4,26/06/2023 01:53:30,ESCANER
12444,"Suchitepéquez",10,"San Juan Bautista",16,1694,400,22,15,96,25,6,72,236,16,4,256,0,256,--,400,144,236,256,256,Algún campo sin dato,1,b3ed6fdbfa9cf9c5576c8fd0012005ee0ce4e38fa5581625aad11adf67799027,26/06/2023 01:04:45,ESCANER
12445,"Suchitepéquez",10,"San Juan Bautista",16,1694,400,29,19,104,17,5,68,242,15,11,268,0,268,--,400,129,242,268,268,Algún campo sin dato,1,6a3c9bc0a172c9d44201c3feae71afd28732c3315cbd6d62c21c3837e61f2cbf,26/06/2023 00:51:29,ESCANER
12446,"Suchitepéquez",10,"San Juan Bautista",16,1694,400,34,14,129,20,14,59,270,10,1,281,0,281,--,401,120,270,281,281,Algún campo sin dato,1,fb4847e22b9562487c6636692ff9480415be1ff35f6c77437d325bc6b730d0c5,26/06/2023 02:05:45,ESCANER
12447,"Suchitepéquez",10,"San Juan Bautista",16,1694,400,37,14,90,24,4,86,255,8,2,265,0,265,--,401,136,255,265,265,Algún campo sin dato,1,61ad443675390392d7540323c9b11439b97c5c109cfde449babd9cff5db82810,26/06/2023 01:58:12,ESCANER
12448,"Suchitepéquez",10,"San Juan Bautista",16,1694,400,27,15,96,26,9,78,251,4,0,255,0,255,--,400,145,251,255,255,Algún campo sin dato,1,25bf992fcf2465f032f00e36f2d89e2936a99f555f670c44ca3d8e85e1675a71,26/06/2023 01:17:23,ESCANER
12449,"Suchitepéquez",10,"San Juan Bautista",16,1694,347,50,8,104,10,5,63,240,7,2,249,0,249,--,347,98,240,249,249,Algún campo sin dato,1,e410fb5c813312ef8a4b2afe1e055e3209474486ee3fa768df14eb6027aa7a7d,26/06/2023 02:10:16,ESCANER
12450,"Suchitepéquez",10,"San Juan Bautista",16,1694,346,29,16,81,14,10,54,204,4,2,210,0,210,--,346,136,204,210,210,Algún campo sin dato,1,3d2b0b802667671311113c638007102cc2443b848f30536b442ea6e1ef38b2da,26/06/2023 01:58:35,ESCANER
