TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
22,22,100.0000,22,100.0000,0,8452,6302,74.5622

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,UNE,VIVA,PODEMOS,VAMOS,VICTORIA,PPN,CABAL,PHG,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
12451,"Suchitepéquez",10,"Santo Tomás La Unión",17,1695,400,85,121,4,79,21,1,1,3,315,7,4,326,0,326,--,400,74,315,326,326,Algún campo sin dato,1,5a6e595273a20a1c4ec3ce03d5d07734d38a92785f9fc68fb729a1f04834f02a,26/06/2023 00:38:51,ESCANER
12452,"Suchitepéquez",10,"Santo Tomás La Unión",17,1695,400,70,129,6,84,11,0,0,4,304,7,7,318,0,318,--,400,82,304,318,318,Algún campo sin dato,1,399855e4d40d5e45a4055a98fbb829e8aea1ef1ce833d979faf1b037cb869b2e,26/06/2023 00:46:58,ESCANER
12453,"Suchitepéquez",10,"Santo Tomás La Unión",17,1695,400,84,123,6,78,14,0,1,2,308,6,2,316,0,316,0,405,89,308,316,316,,1,7dae4bb334b7e4fc720a76a76df28123913867d24fb1d29a7a025ccf4dd20be1,26/06/2023 02:07:45,ESCANER
12454,"Suchitepéquez",10,"Santo Tomás La Unión",17,1695,400,64,118,7,97,11,2,0,3,302,11,7,320,0,320,0,400,80,302,320,320,,1,b51b502a06fce4a35ef78e7f7ef4bfe0ef5987faf67e6bc0dad4133716e8d5d6,26/06/2023 01:29:25,ESCANER
12455,"Suchitepéquez",10,"Santo Tomás La Unión",17,1695,400,67,121,2,110,14,0,3,3,320,11,4,335,0,335,--,400,65,320,335,335,Algún campo sin dato,1,e66a1ee2a06533d52fa5b53b86506bbb73b704dbf1f7759db814d1e44f9330c3,26/06/2023 02:01:29,ESCANER
12456,"Suchitepéquez",10,"Santo Tomás La Unión",17,1695,400,74,145,1,89,16,0,1,3,329,8,11,348,0,348,0,400,52,329,348,348,,1,b6adfdb8455a522c3c856c7aa451ca6816f062ed7382caf4357f1ffdf73511da,26/06/2023 01:54:07,ESCANER
12457,"Suchitepéquez",10,"Santo Tomás La Unión",17,1696,400,56,148,1,93,10,0,0,2,310,7,3,320,0,320,--,--,--,310,320,320,Algún campo sin dato,1,72f8007893556077a7eb2e043f0f86d5b47c0e66bf07ccefb38f091cd891d1c7,26/06/2023 00:44:05,ESCANER
12458,"Suchitepéquez",10,"Santo Tomás La Unión",17,1696,400,80,130,4,86,14,0,0,6,320,9,1,330,0,330,--,400,70,320,330,330,Algún campo sin dato,1,bddd880c863e7093a67d88ff8f62a4084d71d5016c41b84f2e8568c002760a63,26/06/2023 01:14:56,ESCANER
12459,"Suchitepéquez",10,"Santo Tomás La Unión",17,1696,400,59,134,3,66,13,1,1,7,284,2,2,288,0,288,--,399,111,284,288,288,Algún campo sin dato,1,ae37a12e0cb84d82ffecb5afba3d78c9c890ce4f690c9f755defb7a5454ff9aa,26/06/2023 01:37:56,ESCANER
12460,"Suchitepéquez",10,"Santo Tomás La Unión",17,1697,400,65,127,6,63,5,2,2,12,282,6,3,291,0,291,0,400,109,282,291,291,,1,b9ab73bac65e0990726e8317d57f65b296de9d8d193a76bb1dc96e5a13fc3e51,26/06/2023 02:19:35,ESCANER
12461,"Suchitepéquez",10,"Santo Tomás La Unión",17,1697,400,74,114,10,64,10,0,1,2,275,6,2,283,0,283,--,--,--,275,283,283,Algún campo sin dato,1,ca8ebf865dcadd875936bd5a39195a0c45f39038e8aeef6d101dcdf6ba3e713c,26/06/2023 04:44:06,ESCANER
12462,"Suchitepéquez",10,"Santo Tomás La Unión",17,1697,400,72,106,6,78,6,0,2,6,276,7,1,284,0,284,--,400,116,276,284,284,Algún campo sin dato,1,fa68c41519de28c223c1c3acc32d7c95e0fa9e63433c95ddd41af1c3ffcb43f2,26/06/2023 03:10:21,ESCANER
12463,"Suchitepéquez",10,"Santo Tomás La Unión",17,1697,400,77,123,2,76,6,0,0,5,289,6,3,298,0,298,0,405,107,289,298,298,,1,34085a3b4cc252c880272eb1750b5b3f2c8ee6d9ced0e4d801a73ec9aa7442b7,26/06/2023 02:23:18,ESCANER
12464,"Suchitepéquez",10,"Santo Tomás La Unión",17,1698,400,63,121,6,74,16,0,2,5,287,2,1,290,1,291,0,400,109,287,290,291,,1,8b268c3c6efd750dd7f9233fe8dd1b9fca820179d2b80f5107bb3bd24e65ace7,26/06/2023 01:13:59,ESCANER
12465,"Suchitepéquez",10,"Santo Tomás La Unión",17,1698,400,65,106,6,68,12,0,0,10,267,3,2,272,0,272,--,400,128,267,272,272,Algún campo sin dato,1,802803419b23f232ad838184051854698be0021f05316bad7a028e2cc69d83e5,26/06/2023 00:48:05,ESCANER
12466,"Suchitepéquez",10,"Santo Tomás La Unión",17,1698,400,84,129,5,62,10,0,1,3,294,2,1,297,0,297,1,400,102,294,297,297,,1,f1d0f08daee259527f02eff35135ac9f88bedf48e26491538f8ada08f78afc4b,26/06/2023 00:57:48,ESCANER
12467,"Suchitepéquez",10,"Santo Tomás La Unión",17,1698,400,63,128,5,61,21,0,0,4,282,3,0,285,0,285,--,400,115,282,285,285,Algún campo sin dato,1,2583726af2842c2d30f38b7d3e6f94736efa1ee4935ad4c777efe35ffabb1d8f,26/06/2023 00:53:52,ESCANER
12468,"Suchitepéquez",10,"Santo Tomás La Unión",17,1698,301,65,79,2,52,18,1,0,2,219,3,1,223,1,224,1,301,77,219,223,224,,1,6131b58ba5544e121b275d4a3dafb583e151b96a276adc699f6f8a889954fe7d,25/06/2023 23:53:22,ESCANER
12469,"Suchitepéquez",10,"Santo Tomás La Unión",17,1698,301,42,88,3,50,3,0,0,9,195,1,2,198,0,198,0,301,103,195,198,198,,1,160458383dd326aa7ce0c559605f2e397b74e52b86e9482f28c683dcad6ec301,26/06/2023 00:28:42,ESCANER
12470,"Suchitepéquez",10,"Santo Tomás La Unión",17,1699,400,29,129,0,101,18,1,0,6,--,9,4,297,--,--,--,400,103,284,297,297,Algún campo sin dato,1,4f422267705d0ec72c66e9fdba054c11cebf465a67846b66f7a32125bcab3eb6,26/06/2023 04:12:46,ESCANER
12471,"Suchitepéquez",10,"Santo Tomás La Unión",17,1699,325,37,74,1,59,17,0,1,7,196,4,2,202,0,202,--,325,123,196,202,202,Algún campo sin dato,1,2948d196cc423218d39403401c51177c18e50b4353ae88bb9f042f95c4d21ebf,26/06/2023 00:57:56,ESCANER
12472,"Suchitepéquez",10,"Santo Tomás La Unión",17,1699,325,15,75,0,72,14,0,0,1,177,3,1,181,1,182,1,325,143,177,181,182,,1,e26375431acce7587f0e27438cb36492a9327878d125e3aaa60d09508ed98554,26/06/2023 00:33:21,ESCANER
