TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
28 junio 2023 21:35 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
19,19,100.0000,19,100.0000,0,7076,5943,83.9881

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,TODOS,VAMOS,CAMBIO,UNE,BIEN,PPN,AZUL,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
12473,"Suchitepéquez",10,"Zunilito",18,1700,400,1,175,13,2,8,122,0,321,7,2,330,0,330,--,400,70,321,330,330,Algún campo sin dato,1,1497545414215383cec8fa0ec2d475d24c599602edc424f71ee19b1f533b1998,26/06/2023 00:37:06,ESCANER
12474,"Suchitepéquez",10,"Zunilito",18,1700,400,2,168,12,1,9,130,1,323,3,2,328,6,334,--,400,66,323,328,334,Algún campo sin dato,1,79ce7a48b0af6fc1f58592b0996e68bfde9c0ce0412d2c7336f8185ab7d9f9a0,26/06/2023 01:21:06,ESCANER
12475,"Suchitepéquez",10,"Zunilito",18,1700,400,7,189,24,1,6,129,0,356,5,1,362,0,362,--,400,38,356,362,362,Algún campo sin dato,1,870b511610aa991a28840b5c820c980c9d3adb30fef8b281115f95c97d866f3e,26/06/2023 01:23:51,ESCANER
12476,"Suchitepéquez",10,"Zunilito",18,1700,400,5,192,16,8,9,135,0,365,12,1,378,0,378,--,400,22,365,378,378,Algún campo sin dato,1,5c8c60b6693f96d25071b8e99df5a0732c1b12b3966638f2127b8b2c85624593,26/06/2023 00:51:10,ESCANER
12477,"Suchitepéquez",10,"Zunilito",18,1700,400,3,185,14,2,9,130,0,343,18,4,365,0,365,--,400,35,343,365,365,Algún campo sin dato,1,153cb2496c2f92add09d2d884ae23963ab25e9c6fb66dfafec2ae202f50e4c75,26/06/2023 00:58:00,ESCANER
12478,"Suchitepéquez",10,"Zunilito",18,1700,400,5,171,10,3,2,151,0,342,10,3,355,0,355,--,400,45,342,355,355,Algún campo sin dato,1,d265221ae450c0c9439dcad4895f9e3421d24f898fec73f327d805246daf76a0,26/06/2023 03:33:57,ESCANER
12479,"Suchitepéquez",10,"Zunilito",18,1700,400,4,163,15,6,2,145,0,335,11,2,348,0,348,--,400,52,335,348,348,Algún campo sin dato,1,b39adc932927fa1965b72c46c28c36ad10054c27aba23325f3f6124505df376e,26/06/2023 01:38:40,ESCANER
12480,"Suchitepéquez",10,"Zunilito",18,1700,400,5,165,18,4,5,124,0,321,2,0,323,77,400,--,400,77,321,323,400,Algún campo sin dato,1,f949b6fd8d8ab093ac163e7dac5a45894031d3c895355f16a4a40ba13c869818,26/06/2023 00:15:46,ESCANER
12481,"Suchitepéquez",10,"Zunilito",18,1700,400,4,153,10,5,9,139,1,321,6,3,330,0,330,--,400,70,321,330,330,Algún campo sin dato,1,2388d68b0ec10eebf0243247705712baffd4cc62415759749501ee3e5a8124f7,26/06/2023 01:02:37,ESCANER
12482,"Suchitepéquez",10,"Zunilito",18,1701,400,4,161,12,3,1,126,0,307,8,4,319,0,319,--,400,81,307,319,319,Algún campo sin dato,1,336cdd0fec2f5484e23b8e369c66f838dfd69d9a3bd87dfeae38ceffc6601a39,25/06/2023 22:49:52,ESCANER
12483,"Suchitepéquez",10,"Zunilito",18,1701,400,2,155,12,2,10,143,0,324,5,1,330,0,330,--,400,70,324,330,330,Algún campo sin dato,1,6973494d85472b7378f03426ce0911307056daebfde6a62dda50b34f8e7b31bc,26/06/2023 00:09:45,ESCANER
12484,"Suchitepéquez",10,"Zunilito",18,1701,400,4,159,11,0,9,139,1,323,4,1,328,0,328,--,400,72,323,328,328,Algún campo sin dato,1,cedacc9713a9b92576dfa9736b94cc610188686784d29e013e1eda549261d109,26/06/2023 00:55:28,ESCANER
12485,"Suchitepéquez",10,"Zunilito",18,1702,400,4,170,12,3,6,125,0,320,2,0,322,0,322,--,379,57,320,322,322,Algún campo sin dato,1,7ac845f6ff0f4c00d70e2832bc8b472677b2c0817f244410ee8893e5ef4f5919,25/06/2023 23:38:39,ESCANER
12486,"Suchitepéquez",10,"Zunilito",18,1702,363,1,138,15,3,7,139,0,303,0,1,304,3,307,--,363,56,303,304,307,Algún campo sin dato,1,665d8dfcc5445ee1cc5b9fc43e14d08af001cdb2b4e5c342801e855cdc682390,25/06/2023 23:13:04,ESCANER
12487,"Suchitepéquez",10,"Zunilito",18,1702,362,1,129,9,2,3,116,0,260,1,0,261,0,261,--,367,106,260,261,261,Algún campo sin dato,1,6e05e90eef37c5a0b8e22a92f6aa65c5dd6f44d645ecc9cd5f1890e41c36cfcd,25/06/2023 23:01:18,ESCANER
12488,"Suchitepéquez",10,"Zunilito",18,1703,380,1,228,2,3,3,89,0,326,11,1,338,0,338,--,400,62,326,338,338,Algún campo sin dato,1,1792e0950aba28abb512d24ef16ad05656ef8083bd3e7515e6ebd66ddfeed720,25/06/2023 23:37:39,ESCANER
12489,"Suchitepéquez",10,"Zunilito",18,1703,380,2,194,1,4,4,98,0,303,10,0,313,0,313,--,380,67,303,313,313,Algún campo sin dato,1,17fc974b3728994ac99b859e2d5ffc4629514eabd2ed56c7ba8ced5388f8acde,26/06/2023 00:06:52,ESCANER
12490,"Suchitepéquez",10,"Zunilito",18,1703,196,0,101,1,1,3,59,0,165,1,1,167,0,167,--,197,30,165,167,167,Algún campo sin dato,1,9e77b315ed378923c8b7cf3343d699cf662dc0e84be77d9ad9abbcbf6246f5a7,25/06/2023 22:53:36,ESCANER
12491,"Suchitepéquez",10,"Zunilito",18,1703,195,0,95,3,1,0,42,0,141,1,0,142,0,142,--,195,53,141,142,142,Algún campo sin dato,1,6ab01a04049ece515ea9b93a8b732bfb57d548170b2359b61648545b04295030,25/06/2023 22:08:17,ESCANER
