TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
21,21,100.0000,21,100.0000,0,7734,5879,76.0149

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,TODOS,ELEFANTE,VAMOS,PPN,UNE,PODEMOS,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
12492,"Suchitepéquez",10,"Pueblo Nuevo",19,1704,400,16,3,152,114,2,2,289,9,2,300,0,300,1,400,99,289,300,300,,1,4d5dfe4e1e36892f931432581c3f3d86390b1a35e80d40e55c35dfa02f4fde40,26/06/2023 01:50:05,ESCANER
12493,"Suchitepéquez",10,"Pueblo Nuevo",19,1704,400,22,5,168,92,4,2,293,9,4,306,0,306,--,400,94,293,306,306,Algún campo sin dato,1,6933f42e7ba6961ef4da782461516e34f4ba6ad80687384d42677187d6970c2b,26/06/2023 00:27:55,ESCANER
12494,"Suchitepéquez",10,"Pueblo Nuevo",19,1704,400,25,6,179,109,1,3,323,1,5,0,0,--,--,401,72,323,329,329,Algún campo sin dato,1,1c00c3b0834dcd7e479d9c2645bc19b6033f550f47529ca20481f6133ad71742,26/06/2023 02:43:25,ESCANER
12495,"Suchitepéquez",10,"Pueblo Nuevo",19,1704,400,22,9,208,81,0,3,323,1,2,326,0,326,--,400,74,323,326,326,Algún campo sin dato,1,7a3782823867207d375cbd862460c660375754f7a9015f9d35697828b9d91a38,26/06/2023 00:02:38,ESCANER
12496,"Suchitepéquez",10,"Pueblo Nuevo",19,1704,400,24,6,199,88,1,1,319,2,8,329,0,329,--,400,71,319,329,329,Algún campo sin dato,1,15942f419ef61472ed1c6bab081c3c7500a6991056d0e67d1f44579c4bde7f70,26/06/2023 01:54:25,ESCANER
12497,"Suchitepéquez",10,"Pueblo Nuevo",19,1705,400,27,6,185,115,2,3,338,4,5,347,0,347,--,400,53,338,347,347,Algún campo sin dato,1,380a11d1c3878dcffe7a0521fc9c92d98f1c1dc25785ac5ef49f045d480fec7c,25/06/2023 23:44:59,ESCANER
12498,"Suchitepéquez",10,"Pueblo Nuevo",19,1705,400,23,5,157,135,3,0,323,12,4,339,0,339,--,401,62,323,339,339,Algún campo sin dato,1,7b29893d563e272262ae1ccd32e7abeb2fd8c9341c7dd02a808320cd4b2cd7e0,26/06/2023 00:22:04,ESCANER
12499,"Suchitepéquez",10,"Pueblo Nuevo",19,1705,400,24,4,170,121,3,1,323,6,3,332,0,332,--,400,68,323,332,332,Algún campo sin dato,1,680b2786c9b40c7362e215b8d66d1a7fbe6e9e8ce1783ef02d01b849c718c2c6,26/06/2023 01:17:30,ESCANER
12500,"Suchitepéquez",10,"Pueblo Nuevo",19,1705,400,18,4,135,113,4,3,277,9,1,287,113,400,--,400,113,277,287,400,Algún campo sin dato,1,53765fe209622347fb453e3f7d1ce38bd852d26e725bf34e2eb95bd0c365e9d4,26/06/2023 00:25:52,ESCANER
12501,"Suchitepéquez",10,"Pueblo Nuevo",19,1706,400,11,3,149,104,1,4,272,6,3,281,0,281,--,400,119,272,281,281,Algún campo sin dato,1,13a9d77f26529633430b8f16609d5a8729ae67845898fa9de8353900b236500b,25/06/2023 23:36:38,ESCANER
