TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
43,43,100.0000,43,100.0000,0,16049,11057,68.8952

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,VAMOS,PODEMOS,VIVA,MLP,CAMBIO,TODOS,CABAL,VALOR,UNE,BIEN,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
12513,"Suchitepéquez",10,"Río Bravo",20,1710,400,123,5,6,0,1,103,7,21,6,1,273,22,2,297,0,297,--,400,102,273,297,297,Algún campo sin dato,1,46d8dc85bdb552df7b10185fc624cc8d353be01745649572100c186fdd1799aa,26/06/2023 00:45:14,ESCANER
12514,"Suchitepéquez",10,"Río Bravo",20,1710,400,108,0,6,0,0,112,3,26,6,1,262,24,1,287,113,400,--,400,113,262,287,400,Algún campo sin dato,1,5577847077e9962cbe4a8de10f60f00bfc69ec202d0bd61225439fc1552a7453,26/06/2023 00:03:40,ESCANER
12515,"Suchitepéquez",10,"Río Bravo",20,1710,400,125,7,6,0,1,110,3,25,6,0,283,21,1,305,95,400,--,400,95,283,305,400,Algún campo sin dato,1,56f64e9033d3d94f3b875553171b4051e9916e5ebc7d8b82a1462809e84c43f7,25/06/2023 23:42:58,ESCANER
12516,"Suchitepéquez",10,"Río Bravo",20,1710,400,121,1,7,1,1,93,3,27,12,0,266,22,4,292,0,292,1,400,108,266,292,292,,1,84195462f8fb5d11f69f719d392e7e8a165b4664f60c0e18f8a8d0e089e56b22,26/06/2023 02:34:00,ESCANER
12517,"Suchitepéquez",10,"Río Bravo",20,1710,400,129,2,8,0,1,105,3,32,5,1,286,18,2,306,0,306,0,400,94,286,306,306,,1,97534a84d722b21878b769ff63f136f27ae5f308386a820a49e4537925d846a5,25/06/2023 23:56:29,ESCANER
12518,"Suchitepéquez",10,"Río Bravo",20,1711,400,117,4,5,3,2,93,5,39,10,0,278,17,5,300,0,300,--,--,--,278,300,300,Algún campo sin dato,1,c51169156e59dd6ab6c610bedefb06a4b5d0c458f4507499f49da4f30d97ff59,26/06/2023 03:07:14,ESCANER
12519,"Suchitepéquez",10,"Río Bravo",20,1711,400,114,2,9,1,0,114,3,41,4,0,288,26,4,318,0,318,--,400,82,288,318,318,Algún campo sin dato,1,3d9753f7ed22a44d71aeac16304e7cc2d8375cca04278df15ca142e4aa3964bb,26/06/2023 04:31:45,ESCANER
12520,"Suchitepéquez",10,"Río Bravo",20,1711,400,117,5,9,2,1,104,5,33,10,1,287,20,83,390,7,397,--,397,83,287,390,397,Algún campo sin dato,1,2b0375e2e2ab95721112f5dc0af75799b35ad23b90140bf10160e0f083910eab,26/06/2023 03:03:07,ESCANER
12521,"Suchitepéquez",10,"Río Bravo",20,1711,400,115,2,10,2,1,102,5,35,12,1,281,10,2,293,0,293,--,400,107,285,297,297,Sumas Asentadas sin cuadrar,1,550a5535f362c4a632fd697dd048daf29b1f566fab38e8c7985ad89123e8013d,26/06/2023 00:56:19,ESCANER
12522,"Suchitepéquez",10,"Río Bravo",20,1711,400,103,1,4,0,1,100,5,20,3,0,237,3,0,240,8,248,--,400,152,237,240,248,Algún campo sin dato,1,aaec3a5baddeabad14e0a205e5737e6ed3767d11a3eaad44e2f09fcc1fa41b54,26/06/2023 03:03:00,ESCANER
12523,"Suchitepéquez",10,"Río Bravo",20,1711,400,90,0,5,0,1,90,1,25,4,0,216,21,4,216,25,241,--,397,158,216,241,266,Sumas Asentadas sin cuadrar,1,0b3a5b728513c8c985cb92c04b7efd6b73cf841adee6b29a05710bcb817927f0,26/06/2023 02:51:52,ESCANER
12524,"Suchitepéquez",10,"Río Bravo",20,1711,400,108,0,6,0,0,99,4,24,4,1,246,8,2,256,0,256,--,400,144,246,256,256,Algún campo sin dato,1,543117155beb0ac4b8a5737d47e0652a69ae213381e0e3fd6090a3ba6458b235,25/06/2023 23:20:48,ESCANER
12525,"Suchitepéquez",10,"Río Bravo",20,1711,400,105,3,8,0,0,99,3,28,0,0,246,11,1,258,0,258,--,400,142,246,258,258,Algún campo sin dato,1,60e91e38027fe3eb5216edd85e4d21d8a0ff9e15ab1e79eb9acd4116c9403d42,26/06/2023 01:50:48,ESCANER
12526,"Suchitepéquez",10,"Río Bravo",20,1712,400,93,1,7,--,3,108,4,24,4,2,246,14,5,265,--,265,--,400,132,246,265,265,Algún campo sin dato,1,fcf5ff40fac72d0698158300fe0d6ace224c5f0e6e0a5e9a750053294db88d5a,26/06/2023 04:25:10,ESCANER
12527,"Suchitepéquez",10,"Río Bravo",20,1712,400,107,2,3,1,0,79,2,18,6,1,219,21,3,243,0,243,--,--,--,219,243,243,Algún campo sin dato,1,fcf1b44a568c43bab29d7b93c9a6ace52dbaff776a1f8b0a0802640f98042501,26/06/2023 05:06:36,MOVIL
