TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
28 junio 2023 21:35 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
37,37,100.0000,37,100.0000,0,13841,8799,63.5719

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,CABAL,TODOS,PODEMOS,VIVA,VAMOS,UNE,MLP,FCN-NACION,ELEFANTE,CAMBIO,VALOR,PPN,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
12556,"Suchitepéquez",10,"San José La Máquina",21,1717,400,34,60,48,10,26,6,1,42,2,0,4,1,234,12,3,249,0,249,--,400,151,234,249,249,Algún campo sin dato,1,b5a4e5f67d9324b1a362c947b4e66d1c34be0aba372838fe584d617de1a4b4ba,26/06/2023 04:11:11,ESCANER
12557,"Suchitepéquez",10,"San José La Máquina",21,1717,400,29,64,32,9,26,10,4,47,4,1,4,3,233,15,5,253,--,253,--,400,147,233,253,253,Algún campo sin dato,1,32b992e4aa5707cad58fa222133a1b61757bf5d29602d2a733829c693712ba84,26/06/2023 02:26:24,ESCANER
12558,"Suchitepéquez",10,"San José La Máquina",21,1717,400,21,65,43,10,27,9,2,43,3,0,3,2,228,10,5,243,0,243,1,400,156,228,243,243,,1,99cab70c6c1ea9c301d886c3b8acca68216e0ac5e87781cd8670d07194e04a88,26/06/2023 01:21:44,ESCANER
12559,"Suchitepéquez",10,"San José La Máquina",21,1717,400,30,40,46,9,26,10,2,35,2,1,2,6,209,16,1,226,0,226,1,400,174,209,226,226,,1,c6d3306d640473b54bdbf4884f748a76af82500667750208aa37d80b68fcdff7,26/06/2023 00:30:34,ESCANER
12560,"Suchitepéquez",10,"San José La Máquina",21,1717,400,31,48,40,9,19,8,0,37,1,1,5,3,202,8,6,216,0,216,--,400,184,202,216,216,Algún campo sin dato,1,ca0ed0ff5692ad21697c85f89a802d495686ec15ca8c1643d48676b73b897008,26/06/2023 05:13:18,ESCANER
12561,"Suchitepéquez",10,"San José La Máquina",21,1717,400,22,51,42,7,23,7,3,42,3,0,0,1,201,24,4,229,170,399,0,400,170,201,229,399,,1,174251efe252097f949f537a74691a7d3528039bdbcf19efff1f0b2be5b88bd9,26/06/2023 01:54:13,ESCANER
12562,"Suchitepéquez",10,"San José La Máquina",21,1717,400,23,53,49,8,14,3,0,34,1,1,1,0,187,10,3,200,0,200,4,400,196,187,200,200,,1,8ff9b118dd0bffd85370e91392579ac9b2030ad421e546e5ee1e26bab51f0232,26/06/2023 01:22:27,ESCANER
12563,"Suchitepéquez",10,"San José La Máquina",21,1717,293,27,60,52,7,16,2,1,36,0,0,0,2,203,6,1,210,0,210,--,293,83,203,210,210,Algún campo sin dato,1,c440b4349e1a2f5295861698f9b51e0bbeea5fd1cddb15af98f0c5dd99a38616,26/06/2023 00:49:31,ESCANER
12564,"Suchitepéquez",10,"San José La Máquina",21,1717,293,20,34,26,6,8,2,0,15,1,1,2,2,117,3,4,124,168,292,1,--,--,117,124,292,Algún campo sin dato,1,a811832e659291875ab159d9aa7a6e96ef3fb07102c72c1e9f83dac3664fc89f,25/06/2023 22:58:14,ESCANER
12565,"Suchitepéquez",10,"San José La Máquina",21,1718,400,88,68,22,11,39,6,1,19,0,0,1,3,258,22,6,286,114,400,--,400,114,258,286,400,Algún campo sin dato,1,b8ef6c39d9306d425cd9490f85d04ce6c3d21f12d24369e46631accd3ebf648c,26/06/2023 03:01:36,ESCANER
12566,"Suchitepéquez",10,"San José La Máquina",21,1719,400,103,69,32,9,20,11,1,16,4,0,0,4,269,24,11,304,0,304,--,400,96,269,304,304,Algún campo sin dato,1,8c0d742ad2372001e68a430552131a6d2e50721c74f860bbe930f510f64ddcd6,26/06/2023 04:00:58,ESCANER
12567,"Suchitepéquez",10,"San José La Máquina",21,1719,400,72,78,35,9,21,9,3,31,2,0,1,5,266,25,4,295,0,295,--,400,526,266,295,295,Algún campo sin dato,1,116f3480660c5631a7a60931b4903faca9d3ebfb10cfd58fd4201da9e961fc90,26/06/2023 00:57:39,ESCANER
12568,"Suchitepéquez",10,"San José La Máquina",21,1719,400,97,76,27,14,35,5,1,16,2,1,3,10,287,18,2,307,0,307,--,400,93,287,307,307,Algún campo sin dato,1,4783aaf4a2f2f02b30bd4db694e667ba5c046a2ddbce53051304dae9deca11e4,26/06/2023 05:06:14,ESCANER
12569,"Suchitepéquez",10,"San José La Máquina",21,1719,400,87,59,45,10,37,14,1,17,5,1,2,3,281,23,5,309,0,309,--,400,309,281,309,309,Algún campo sin dato,1,d6666cd77be33f018e822f7fa7ef8385e0b0b4e07edd44de2f820f22f90b5bd0,26/06/2023 03:46:10,ESCANER
12570,"Suchitepéquez",10,"San José La Máquina",21,1719,400,82,76,36,15,26,8,3,22,7,1,5,3,284,20,3,307,0,307,--,400,93,284,307,307,Algún campo sin dato,1,0e25d066537a05e9bad14c645f170d18c63ee766726d65be50f91833eb16c8d5,26/06/2023 03:51:25,ESCANER
12571,"Suchitepéquez",10,"San José La Máquina",21,1719,400,51,58,40,7,30,3,2,16,2,0,3,3,215,14,3,232,0,232,2,400,168,215,232,232,,1,957fc6cd22017389d5bc1859c0c2dc746c62cb2e25b98bcc8b6279a55637d49a,26/06/2023 04:04:53,ESCANER
12572,"Suchitepéquez",10,"San José La Máquina",21,1719,400,86,53,24,3,20,3,2,11,3,0,1,7,213,19,2,234,0,234,1,400,163,213,234,234,,1,233667be2c30a38d4d37618c21d6cd351acc0b656a8422f79551dede81e0e1c5,26/06/2023 02:29:29,ESCANER
12573,"Suchitepéquez",10,"San José La Máquina",21,1719,400,82,70,34,8,16,8,1,19,4,1,2,2,247,8,0,258,0,258,3,400,142,247,255,255,Sumas Asentadas sin cuadrar,1,44035c4a7c415fd42f98609e0d8bb38839d8cca60806e5da6a79a8504b3f9a6f,26/06/2023 02:45:07,ESCANER
12574,"Suchitepéquez",10,"San José La Máquina",21,1719,400,78,63,39,5,17,3,3,22,7,0,1,2,240,26,7,273,0,273,1,400,127,240,273,273,,1,3aca6d62ba9a25dd5f862ec710f084a0cb09bc1f00aa68acff2bb29a3c5198d2,26/06/2023 04:48:54,ESCANER
12575,"Suchitepéquez",10,"San José La Máquina",21,1719,400,106,68,29,3,23,6,1,24,5,0,3,2,270,21,5,296,0,270,--,400,104,270,296,296,Sumas Asentadas sin cuadrar,1,961ae734e875d87cd639acd5ae77ef1b37fc207e8255516719128196fd2de239,26/06/2023 05:26:52,ESCANER
12576,"Suchitepéquez",10,"San José La Máquina",21,1719,400,75,62,34,10,19,6,3,18,3,0,3,4,237,9,9,237,1,256,1,400,144,237,255,256,Sumas Asentadas sin cuadrar,1,d1e0be6f1026ccfae47e91ba059f2a4d31de5f62697af4e019808ffb2a3fdfa2,26/06/2023 02:58:28,ESCANER
12577,"Suchitepéquez",10,"San José La Máquina",21,1720,400,89,53,26,11,20,0,2,16,3,0,4,3,227,8,1,236,0,236,--,--,--,227,236,236,Algún campo sin dato,1,4bae0433b45bdd244645516f16f3d78b616f1c243949efe9638ae24c722e0513,26/06/2023 00:50:08,ESCANER
12578,"Suchitepéquez",10,"San José La Máquina",21,1720,400,89,62,19,11,23,3,1,10,5,0,1,3,227,3,0,400,170,400,--,400,170,227,230,400,Sumas Asentadas sin cuadrar,1,e0bce13506d24d043e60d06c8122d7970cd31d459bca3dfa94aed9491d10d4c1,26/06/2023 04:27:55,ESCANER
12579,"Suchitepéquez",10,"San José La Máquina",21,1720,400,83,75,18,6,17,1,0,28,3,0,2,2,235,4,2,241,0,241,--,--,159,235,241,241,Algún campo sin dato,1,e3915056fe747daf356ad2c07785c7e6f6674088778c2647f666ae6ffeb320c8,26/06/2023 04:13:58,ESCANER
12580,"Suchitepéquez",10,"San José La Máquina",21,1720,400,84,62,22,4,32,4,0,20,3,0,2,1,234,4,3,241,0,241,--,400,159,234,241,241,Algún campo sin dato,1,e14d078069ac236ef418cbdc9085ca4da8b48f15f38d1413a74325e8f0e1077a,26/06/2023 01:41:04,ESCANER
12581,"Suchitepéquez",10,"San José La Máquina",21,1720,286,72,49,8,2,12,8,1,9,0,1,4,2,168,6,1,175,0,0,--,286,111,168,175,175,Algún campo sin dato,1,b75d77d47fcd3356546a936cb5c0d5aa17d0e1bb789f1b3dd49f7dd816820a21,26/06/2023 01:24:35,ESCANER
12582,"Suchitepéquez",10,"San José La Máquina",21,1720,285,67,39,26,5,11,6,1,16,6,1,1,2,181,8,5,194,--,--,--,285,91,181,194,194,Algún campo sin dato,1,cb146b5cacd01ea8c43d9cfd6e5b3b7889cc60e9d2695421899f77ba16443020,26/06/2023 02:03:59,ESCANER
12583,"Suchitepéquez",10,"San José La Máquina",21,1721,380,59,41,39,21,23,18,8,15,3,0,1,2,230,19,3,252,0,252,1,380,127,230,252,252,,1,79dbf1e96486d23795edb4a8019e67ca6ad86462c80d3daf510b538b3fb1343b,26/06/2023 04:46:45,ESCANER
12584,"Suchitepéquez",10,"San José La Máquina",21,1721,380,51,43,46,22,15,11,13,20,7,0,4,4,236,22,2,260,0,260,--,380,120,236,260,260,Algún campo sin dato,1,f66f154556d4ea32bc21f8082f8babdfc21feec2ac27c728918872d155e998f1,25/06/2023 23:50:07,ESCANER
12585,"Suchitepéquez",10,"San José La Máquina",21,1721,380,72,48,34,5,14,8,6,15,5,0,2,4,213,11,2,226,0,226,--,380,154,213,226,226,Algún campo sin dato,1,94ee9d1e1a8a52577229bca248d8cee179ab50613b2036e4dd3077ce57dbac62,26/06/2023 00:16:42,ESCANER
12586,"Suchitepéquez",10,"San José La Máquina",21,1721,380,70,34,37,21,15,12,3,23,6,0,3,5,229,14,3,246,0,246,--,377,131,229,246,246,Algún campo sin dato,1,77d4fc4f712d5773fb5cd2870a85b96630127c1e0b44b591aab85ee601c3c022,26/06/2023 03:04:09,ESCANER
12587,"Suchitepéquez",10,"San José La Máquina",21,1721,380,55,25,35,20,17,13,11,20,9,1,2,1,209,12,1,222,0,222,--,380,158,209,222,222,Algún campo sin dato,1,46458740aff2a815e6a2b774e46ba3d6b46972050c797091aa6f9e1a68cfd8da,26/06/2023 01:36:47,ESCANER
12588,"Suchitepéquez",10,"San José La Máquina",21,1721,380,86,36,34,14,18,11,6,12,7,1,0,5,230,15,10,255,0,255,--,380,125,230,255,255,Algún campo sin dato,1,32e1d4f9afe7e49db332475376315f09f26e094b1ec483c9871417b25d83012a,26/06/2023 00:10:25,ESCANER
12589,"Suchitepéquez",10,"San José La Máquina",21,1721,380,71,24,28,22,9,13,5,23,6,0,3,2,206,15,2,223,0,--,--,380,157,206,223,223,Algún campo sin dato,1,c878aa52bf815a99426b556b84e52d81a428e2f02ae46b8dcd83ae270288297c,26/06/2023 02:07:21,ESCANER
12590,"Suchitepéquez",10,"San José La Máquina",21,1721,380,79,44,31,11,18,10,7,16,3,0,3,3,225,9,0,234,0,234,--,380,146,225,234,234,Algún campo sin dato,1,3deb8bffa3f4ae9026d65c1c9442e76c687a92e5219f376183cf33591eab8add,26/06/2023 02:43:15,ESCANER
12591,"Suchitepéquez",10,"San José La Máquina",21,1721,222,58,21,23,5,9,5,4,6,2,0,0,1,134,4,4,142,0,142,--,222,80,134,142,142,Algún campo sin dato,1,28a30d287af8a50b07a877a92ab1d1f02364375f315559d30ae791dac5849c9d,26/06/2023 03:00:47,ESCANER
12592,"Suchitepéquez",10,"San José La Máquina",21,1721,222,49,17,20,2,6,4,4,5,1,0,1,1,110,8,1,119,--,119,--,219,100,110,119,119,Algún campo sin dato,1,26b95ad654e7d188dde744fa50d39807d41298867fa098179da436fedd606e1e,26/06/2023 00:00:34,ESCANER
