TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
28 junio 2023 21:35 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
146,146,100.0000,146,100.0000,0,56448,35342,62.6098

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,CABAL,VALOR,UNE,VAMOS,MLP,BIEN,SEMILLA,PPN,AZUL,WINAQ,CAMBIO,UR,PIN,TODOS,VIVA,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
12593,"Retalhuleu",11,"Retalhuleu",1,1722,400,15,93,6,16,5,103,1,1,2,1,0,0,0,0,4,247,23,1,271,0,271,--,400,129,247,271,271,Algún campo sin dato,1,54cf6fa30999217eb3cd39a5aae614f0beca0d08a7168044552511b17675bd56,26/06/2023 01:53:34,ESCANER
12594,"Retalhuleu",11,"Retalhuleu",1,1722,400,16,94,8,18,5,132,3,3,0,0,0,0,0,0,2,281,21,1,303,0,303,--,400,97,281,303,303,Algún campo sin dato,1,052a912d4f43d36e99d9787198d726ca6a3952a9543d8b37ff0c062c017f5d49,26/06/2023 01:40:29,ESCANER
12595,"Retalhuleu",11,"Retalhuleu",1,1722,400,12,92,3,18,8,117,3,0,2,1,0,1,1,1,2,261,17,3,281,0,281,--,400,119,261,281,281,Algún campo sin dato,1,84b5f180525811f2321d110be3ba205f63e307eb4616d5037d56b3e569f876ec,26/06/2023 01:19:02,ESCANER
12596,"Retalhuleu",11,"Retalhuleu",1,1722,400,18,67,8,24,4,127,8,1,2,0,0,1,2,0,4,266,15,2,283,0,283,--,400,117,266,283,283,Algún campo sin dato,1,9d01f9aa4bd7e03bae3b57d43c073242f01ee5fe75941bd55d2cf234ec42787c,26/06/2023 02:12:31,ESCANER
12597,"Retalhuleu",11,"Retalhuleu",1,1722,400,16,88,4,18,1,124,4,2,2,2,0,1,0,1,3,266,19,4,289,1,290,1,400,110,266,289,290,,1,43695b29c07cd95c20c47447f7aaa1cd5e88a86a988e9914aff80c0f9e99a5ea,26/06/2023 01:05:31,ESCANER
12598,"Retalhuleu",11,"Retalhuleu",1,1722,400,14,95,6,23,1,133,6,3,1,2,0,0,0,3,5,292,9,--,301,16,317,1,--,--,292,301,317,Algún campo sin dato,1,ed931556a36cc30e3be180e8b6ef9fde3afabfc730882258a3ee1e9cd04e4afa,26/06/2023 02:36:17,ESCANER
12599,"Retalhuleu",11,"Retalhuleu",1,1722,400,14,84,6,17,1,153,4,2,1,1,0,1,1,0,2,287,6,0,293,0,293,--,400,107,287,293,293,Algún campo sin dato,1,0d762627672757d4d70027d9857910eddd312002c506f8b8e5c28cd533071386,26/06/2023 01:14:57,ESCANER
12600,"Retalhuleu",11,"Retalhuleu",1,1722,400,16,91,4,15,4,134,2,3,2,0,0,0,0,2,6,279,17,1,297,0,297,--,396,99,279,297,297,Algún campo sin dato,1,811924f92d0a18f2f166ab5490adb6749744937ad8e60646043671b944f20ff4,26/06/2023 02:38:35,ESCANER
12601,"Retalhuleu",11,"Retalhuleu",1,1722,400,14,105,9,18,2,122,4,1,2,2,1,1,0,0,1,282,19,1,302,0,302,--,400,98,282,302,302,Algún campo sin dato,1,ce0c91112773f4b7cae69ea7597014db36a42b6997183461e9bd19188412c7e2,26/06/2023 02:23:50,ESCANER
12602,"Retalhuleu",11,"Retalhuleu",1,1722,400,17,92,1,15,5,97,3,1,0,0,0,0,0,0,4,235,7,0,242,1,243,--,400,157,235,242,243,Algún campo sin dato,1,1efadac0d6293f141620c70b9c296e8a49df64c1d6e8c7f57dee24481ca6dfec,25/06/2023 23:41:33,ESCANER
