TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
28 junio 2023 21:35 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
49,49,100.0000,49,100.0000,0,18338,11593,63.2184

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,CABAL,UNE,BIEN,VALOR,MLP,AZUL,VAMOS,TODOS,VIVA,PODEMOS,SEMILLA,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
12739,"Retalhuleu",11,"San Sebastián",2,1738,400,68,31,0,32,1,38,28,3,1,2,18,222,27,3,252,0,252,--,400,148,222,252,252,Algún campo sin dato,1,fa2666bd36a920cb1a7c2c49620ce2c46d5a37ebb922d54b37a318062c2600cd,26/06/2023 01:56:06,ESCANER
12740,"Retalhuleu",11,"San Sebastián",2,1738,400,59,37,1,39,2,32,42,2,0,0,17,231,28,1,260,0,260,0,396,136,231,260,260,,1,9d10f2fabc34a85d3c6e8e3b2147dc5b6b276f07b34981a0a2c608648b354d93,26/06/2023 02:07:43,ESCANER
12741,"Retalhuleu",11,"San Sebastián",2,1738,400,76,36,0,46,3,27,43,6,2,1,29,269,19,7,295,0,295,--,400,105,269,295,295,Algún campo sin dato,1,1a73d9458b46446566b9d4ab493f905d3fddb6f5b9bb1404b8cd1be2f8083369,26/06/2023 03:22:52,ESCANER
12742,"Retalhuleu",11,"San Sebastián",2,1738,400,72,22,3,39,3,34,30,3,1,0,18,225,64,5,294,0,294,--,400,106,225,294,294,Algún campo sin dato,1,691110aeacfd0721559059d6fb7cf56c7c64414ba71626e2b105fb89f412abc3,26/06/2023 02:44:54,ESCANER
12743,"Retalhuleu",11,"San Sebastián",2,1738,400,60,35,2,45,10,44,39,1,2,0,4,242,55,1,298,0,298,--,400,102,242,298,298,Algún campo sin dato,1,55108c5dab3699568af047c166c4054f205da6f3b46dabd47c2396117b362024,26/06/2023 02:53:00,ESCANER
12744,"Retalhuleu",11,"San Sebastián",2,1738,400,73,32,3,43,5,32,50,3,1,0,11,253,35,2,290,0,290,--,400,110,253,290,290,Algún campo sin dato,1,7f89b5ffab8a7cb51404dff771378dda3141189e4d57fcc3d9897cfb74e857f2,26/06/2023 01:56:42,ESCANER
12745,"Retalhuleu",11,"San Sebastián",2,1738,400,55,24,4,28,1,41,33,3,1,0,11,201,34,0,235,0,235,--,400,165,201,235,235,Algún campo sin dato,1,71d8e094171c2223ae9ce8795dacc5e980c44852e94aeed61ce2e70e3b8cc8d7,26/06/2023 00:55:18,ESCANER
12746,"Retalhuleu",11,"San Sebastián",2,1738,400,62,22,2,31,1,41,33,5,2,1,18,218,29,1,248,0,248,--,400,152,218,248,248,Algún campo sin dato,1,0e54f5b18fd821c460d2455824699bd60e89d6ba05983362e9dff18c51f870e6,26/06/2023 01:05:27,ESCANER
12747,"Retalhuleu",11,"San Sebastián",2,1738,400,62,17,5,34,2,24,36,2,0,2,17,201,41,1,243,0,243,--,--,--,201,243,243,Algún campo sin dato,1,c2a06ad4778425db5f5255acbf4c3c3bef4f541439256b1b4a1b51a4b886cc8a,26/06/2023 00:08:37,ESCANER
12748,"Retalhuleu",11,"San Sebastián",2,1738,400,53,33,1,41,6,26,39,0,2,1,24,226,26,1,253,0,253,--,400,147,226,253,253,Algún campo sin dato,1,dcada383990d916668e66f0e0d185ee7d51cfa79bfddbf7ef2fe5f215e2bb1e2,26/06/2023 01:12:45,ESCANER
12749,"Retalhuleu",11,"San Sebastián",2,1738,400,66,33,1,35,2,30,41,3,0,0,10,221,36,3,260,0,260,--,400,140,221,260,260,Algún campo sin dato,1,80a9883976d0d6e40a9900cc15cb88cc475051ea6f772313705e199a74851078,26/06/2023 01:50:48,ESCANER
12750,"Retalhuleu",11,"San Sebastián",2,1738,400,56,19,1,29,3,28,37,2,0,1,13,189,35,2,227,0,227,1,100,173,189,226,226,Sumas Asentadas sin cuadrar,1,51ba6e4d8d6c0081b7b8087ac40847d2cb068f0a775195d8828cbda386e30cc2,26/06/2023 00:41:27,ESCANER
12751,"Retalhuleu",11,"San Sebastián",2,1738,400,66,25,2,34,5,32,30,5,0,1,22,222,25,0,247,0,247,--,400,153,222,247,247,Algún campo sin dato,1,bb1dafbea67c06a5fbb0ed23e582bcc24d13d35e47e7313304176fab16d53987,26/06/2023 02:50:55,ESCANER
12752,"Retalhuleu",11,"San Sebastián",2,1738,400,64,25,3,42,4,25,34,2,0,1,17,217,29,1,247,0,247,--,400,153,217,247,247,Algún campo sin dato,1,4462b4426650fcf9129fdc191c94a6941eb5276cd85a66849e2f8fadd4929ce7,26/06/2023 00:27:40,ESCANER
12753,"Retalhuleu",11,"San Sebastián",2,1738,400,81,17,0,28,8,28,45,0,0,0,19,226,28,0,254,0,254,--,400,146,226,254,254,Algún campo sin dato,1,6faf9dea737ee38462e6a0411db65b9bfb4367ff090a55d0f510a7692f01e438,26/06/2023 01:20:52,ESCANER
12754,"Retalhuleu",11,"San Sebastián",2,1738,240,44,11,0,21,1,16,24,0,0,0,11,128,19,0,147,0,147,--,240,93,128,147,147,Algún campo sin dato,1,21036735d009cc46160276837a409deaf074aecb53664de0a5a43ddffadc1982,26/06/2023 02:19:09,ESCANER
12755,"Retalhuleu",11,"San Sebastián",2,1738,240,29,12,1,18,1,16,24,1,0,0,12,114,15,1,130,1,131,1,240,106,114,130,131,,1,4492173c313b6b532b7a375c7a6fdf268abfe0f263f3ce7237f14a88c615191f,26/06/2023 01:09:38,ESCANER
12756,"Retalhuleu",11,"San Sebastián",2,1739,400,59,26,5,58,1,28,52,2,3,1,9,244,27,2,273,0,273,--,400,127,244,273,273,Algún campo sin dato,1,abe0c54dc45a15946628c6c92204f0b0bf514a20bf17e9cb2b5e252f184fa7bc,26/06/2023 02:50:14,ESCANER
12757,"Retalhuleu",11,"San Sebastián",2,1739,400,59,44,2,58,1,23,48,1,3,5,2,246,40,2,288,5,293,--,400,107,246,288,293,Algún campo sin dato,1,da14ebd57143d227d05f2b942bf1c5733b3ef0183b21508717fa316ed90c6925,26/06/2023 02:20:08,ESCANER
12758,"Retalhuleu",11,"San Sebastián",2,1739,400,57,39,2,55,2,28,48,3,1,1,4,240,22,0,262,0,262,--,400,138,240,262,262,Algún campo sin dato,1,ba07c408140ba98023eca4c450e5093976554d67ba31bd552a6d6300e66c3cae,26/06/2023 00:21:06,ESCANER
